Time,Interest Value
0,0
0.5000001,0
0.9999996,0
1.499999,0
1.999999,0
2.499998,0
2.999998,0
3.499997,0
3.999997,0
4.499997,0
4.999996,0
5.499996,0
5.999995,0
6.499995,0
6.999994,0
7.499994,0
7.999993,0
8.500005,0.9889628
9.000016,0.9973481
9.500028,0.9818417
10.00004,0.9904825
10.50005,0.9515868
11.00006,0.9515868
11.50007,0.9515868
12.00008,0.9515868
12.5001,0.9515868
13.00011,0.9515868
13.50012,0.9515868
14.00013,0.9515868
14.50014,0.9515868
15.00015,0.9515868
15.50016,0.9515868
16.00018,0.9515868
16.50019,0.9515868
17.0002,0.0004583476
17.50021,0.0004583476
18.00022,0.0004583476
18.50023,0.0004583476
19.00024,0.0004583476
19.50026,0.0004583476
20.00027,0.0004583476
20.50028,0.6741375
21.00029,0.9300494
21.5003,0.9300494
22.00031,0.2269665
22.50032,0.2269665
23.00034,0.2269665
23.50035,0.2269665
24.00036,0.2269665
24.50037,0.2269665
25.00038,0.2269665
25.50039,0.2269665
26.0004,0.2269665
26.50042,0.2269665
27.00043,0.2269665
27.50044,0.0006612161
28.00045,0.0006612161
28.50046,0.9864898
29.00047,0.9864898
29.50048,0.9131551
30.0005,0.9416879
30.50051,0.9601538
31.00052,0.9601538
31.50053,0.9818725
32.00054,0.8867282
32.50055,0.8678278
33.00056,0.8696347
33.50058,0.920294
34.00059,0.9848719
34.5006,0.8736113
35.00061,0.9314024
35.50062,0.9681363
36.00063,0.9535846
36.50064,0.9125509
37.00066,0.6103616
37.50067,0.6103616
38.00068,0.6103616
38.50069,0.9216694
39.0007,0.8693206
39.50071,0.7762901
40.00072,0.7184034
40.50074,0.7873262
41.00075,0.7329438
41.50076,0.7747953
42.00077,0.6471547
42.50078,0.6569282
43.00079,0.615572
43.5008,0.5397831
44.00082,0.5272003
44.50083,0.4860556
45.00084,0.4796058
45.50085,0.409917
46.00086,0.380455
46.50087,0.4673251
47.00089,0.4277739
47.5009,0.4996829
48.00091,0.3644946
48.50092,0.5664756
49.00093,0.5441964
49.50094,0.4751888
50.00095,0.4751888
50.50097,0.4751888
51.00098,0.4751888
51.50099,0.4751888
52.001,0.4751888
52.50101,0.4751888
53.00102,0.4751888
53.50103,0.4751888
54.00105,0.4751888
54.50106,0.4751888
55.00107,0.4751888
55.50108,0.4751888
56.00109,0.4751888
56.5011,0.4751888
57.00111,0.4751888
57.50113,0.4751888
58.00114,0.4751888
58.50115,0.4751888
59.00116,0.4751888
59.50117,0.4751888
60.00118,7.660098E-06
60.50119,5.390333E-08
61.00121,5.390333E-08
61.50122,5.390333E-08
62.00123,5.390333E-08
62.50124,5.390333E-08
63.00125,5.390333E-08
63.50126,5.390333E-08
64.00127,0.9993688
64.50119,0.9993688
65.00111,0.9887745
65.50102,0.9773487
66.00094,0.9946358
66.50085,0.9946358
67.00077,0.8519291
67.50069,0.8223429
68.0006,0.8223429
68.50052,0.8223429
69.00043,0.8223429
69.50035,0.8223429
70.00027,0.8223429
70.50018,0.9968392
71.0001,0.9968392
71.50002,0.9968392
71.99993,0.9968392
72.49985,0.9968392
72.99976,0.9968392
73.49968,0.9968392
73.9996,0.9968392
74.49951,0.9968392
74.99943,0.001055605
75.49934,0.001055605
75.99926,0.001055605
76.49918,0.001055605
76.99909,0.001055605
77.49901,1.09528E-06
77.99892,0
78.49884,0
78.99876,0
79.49867,0.9767255
79.99859,0.9880965
80.4985,0.9715102
80.99842,0.9328982
81.49834,0.9315788
81.99825,0.9639667
82.49817,0.8688321
82.99809,0.8859615
83.498,0.7995759
83.99792,0.7720039
84.49783,0.000892685
84.99775,0.000892685
85.49767,0.000892685
85.99758,0.000892685
86.4975,0.000892685
86.99741,0.000892685
87.49733,0.000892685
87.99725,0.000892685
88.49716,0.000892685
88.99708,0.000892685
89.49699,0.000892685
89.99691,0.000892685
90.49683,0.000892685
90.99674,0.000892685
91.49666,0.000892685
91.99657,0.000892685
92.49649,0.000892685
92.99641,0.000892685
93.49632,0.000892685
93.99624,0.000892685
94.49615,0.000892685
94.99607,0.000892685
95.49599,0.000892685
95.9959,5.894596E-05
96.49582,5.894596E-05
96.99574,5.894596E-05
97.49565,5.894596E-05
97.99557,5.894596E-05
98.49548,5.894596E-05
98.9954,5.894596E-05
99.49532,5.894596E-05
99.99523,5.894596E-05
100.4951,5.894596E-05
100.9951,5.894596E-05
101.495,5.894596E-05
101.9949,5.894596E-05
102.4948,5.894596E-05
102.9947,5.894596E-05
103.4946,5.894596E-05
103.9946,5.894596E-05
104.4945,5.894596E-05
104.9944,5.894596E-05
105.4943,5.894596E-05
105.9942,5.894596E-05
106.4941,5.894596E-05
106.9941,5.894596E-05
107.494,5.894596E-05
107.9939,5.894596E-05
108.4938,5.894596E-05
108.9937,5.894596E-05
109.4936,5.894596E-05
109.9936,5.894596E-05
110.4935,5.894596E-05
110.9934,5.894596E-05
111.4933,5.894596E-05
111.9932,5.894596E-05
112.4931,5.894596E-05
112.993,5.894596E-05
113.493,5.894596E-05
113.9929,5.894596E-05
114.4928,5.894596E-05
114.9927,5.894596E-05
115.4926,5.894596E-05
115.9925,5.894596E-05
116.4925,5.894596E-05
116.9924,5.894596E-05
117.4923,5.894596E-05
117.9922,5.894596E-05
118.4921,5.894596E-05
118.992,5.894596E-05
119.492,5.894596E-05
119.9919,5.894596E-05
120.4918,5.894596E-05
120.9917,5.894596E-05
121.4916,5.894596E-05
121.9915,0.9966203
122.4915,0.9966203
122.9914,0.9709575
123.4913,0.9709575
123.9912,0.6751645
124.4911,0.8990694
124.991,0.9257671
125.491,0.9024812
125.9909,0.8600472
126.4908,0.9771803
126.9907,0.8519137
127.4906,0.8657473
127.9905,0.7139376
128.4906,0.6831603
128.9907,0.6644909
129.4908,0.7265112
129.991,0.9655728
130.4911,0.8299111
130.9912,0.5777326
131.4913,0.7318696
131.9914,0.8466516
132.4915,0.9840698
132.9916,0.5440921
133.4917,0.9688652
133.9918,0.9688652
134.4919,0.4790869
134.992,0.5623992
135.4921,0.448975
135.9922,0.6587615
136.4923,0.7757183
136.9924,0.4310381
137.4926,0.4399025
137.9927,0.4453446
138.4928,0.4401146
138.9929,0.4395939
139.493,0.4431337
139.9931,0.446187
140.4932,0.4534707
140.9933,0.3071834
141.4934,0.2989306
141.9935,0.3535745
142.4936,0.3856156
142.9937,0.3211876
143.4938,0.614016
143.9939,0.3751112
144.494,0.4227886
144.9942,0.3503669
145.4943,0.2767636
145.9944,0.2643063
146.4945,0.2748898
146.9946,0.2748898
147.4947,0.2748898
147.9948,0.2748898
148.4949,0.2748898
148.995,0.2748898
149.4951,0.2748898
149.9952,0.2748898
150.4953,0.2748898
150.9954,0.2748898
151.4955,0.2748898
151.9957,0.2748898
152.4958,0.2748898
152.9959,0.2748898
153.496,0.2748898
153.9961,0.2748898
154.4962,0.2748898
154.9963,0.2748898
155.4964,0.2748898
155.9965,0.2748898
156.4966,0.2748898
156.9967,0.2748898
157.4968,0.2748898
157.9969,0.2748898
158.497,0.2748898
158.9971,0.2748898
159.4973,0.2748898
159.9974,0.2748898
160.4975,0.2748898
160.9976,0.2748898
161.4977,0.2748898
161.9978,0.2748898
162.4979,0.2748898
162.998,0.2748898
163.4981,0.2748898
163.9982,0.2748898
164.4983,0.2748898
164.9984,0.2748898
165.4985,0.2748898
165.9986,0.2748898
166.4987,0.2748898
166.9989,0.2748898
167.499,0.2748898
167.9991,0.2748898
168.4992,0.2748898
168.9993,0.2748898
169.4994,0.2748898
169.9995,0.2748898
170.4996,0.2748898
170.9997,0.2748898
171.4998,0.2748898
171.9999,0.2748898
172.5,0.2748898
173.0001,0.2748898
173.5002,0.2748898
174.0004,0.2748898
174.5005,0.2748898
175.0006,0.2748898
175.5007,0.2748898
176.0008,0.2748898
176.5009,0.2748898
177.001,0.2748898
177.5011,0.2748898
178.0012,0.2748898
178.5013,0.2748898
179.0014,0.2748898
179.5015,0.2748898
180.0016,0.2748898
