Time,X,Z
0.02,54.7,181.32
0.04,54.7,181.32
0.06,54.63158,181.5079
0.08,54.50268,181.862
0.09999999,54.43185,182.0566
0.12,54.36884,182.2297
0.14,54.29653,182.4283
0.16,54.23021,182.6105
0.18,54.15532,182.8162
0.2,54.10043,182.997
0.22,54.06856,183.1843
0.24,54.03616,183.3746
0.26,53.99808,183.5984
0.28,53.96423,183.7973
0.3,53.93026,183.9969
0.32,53.90093,184.1693
0.34,53.86274,184.3937
0.36,53.83304,184.5851
0.38,53.82295,184.7912
0.4,53.81402,184.9734
0.42,53.80438,185.1702
0.4400001,53.7945,185.3719
0.4600001,53.78481,185.5698
0.4800001,53.77497,185.7707
0.5000001,53.76448,185.9848
0.52,53.75499,186.1786
0.54,53.75345,186.3625
0.56,53.75266,186.579
0.58,53.75198,186.7663
0.6,53.75117,186.9861
0.6199999,53.75047,187.1787
0.6399999,53.74977,187.3716
0.6599999,53.74907,187.5641
0.6799999,53.74827,187.7838
0.6999999,53.7499,187.973
0.7199998,53.75256,188.1654
0.7399998,53.7556,188.3854
0.7599998,53.75798,188.5583
0.7799998,53.76086,188.7662
0.7999998,53.76395,188.9904
0.8199998,53.76645,189.1715
0.8399997,53.76928,189.3764
0.8599997,53.76971,189.5683
0.8799997,53.76749,189.7655
0.8999997,53.76497,189.9899
0.9199997,53.76294,190.1705
0.9399996,53.76059,190.3801
0.9599996,53.7585,190.5654
0.9799996,53.75633,190.7588
0.9999996,53.75375,190.9886
1.02,53.7523,191.1742
1.04,53.75272,191.3884
1.06,53.75278,191.4159
1.08,53.75278,191.4159
1.1,53.75388,191.9748
1.12,53.7543,192.1882
1.14,53.75468,192.383
1.159999,53.75507,192.5772
1.179999,53.75546,192.7695
1.199999,53.7585,192.99
1.219999,53.76118,193.1839
1.239999,53.76381,193.3744
1.259999,53.76648,193.5678
1.279999,53.76948,193.785
1.299999,53.77211,193.9749
1.319999,53.77495,194.181
1.339999,53.77765,194.3765
1.359999,53.77548,194.5831
1.379999,53.77254,194.7796
1.399999,53.76968,194.9703
1.419999,53.76644,195.1873
1.439999,53.76355,195.3804
1.459999,53.76008,195.5762
1.479999,53.73524,195.7713
1.499999,53.68595,195.9342
1.519999,53.59614,196.1092
1.539999,53.48853,196.2495
1.559999,53.34091,196.388
1.579999,53.1656,196.5093
