Time,Novelty Score
0.7017792,0.3990935
1.708495,0.2485341
2.709364,0.2496079
3.710972,0.2498176
4.710984,0.2494426
5.711407,0.2490202
6.71295,0.2473427
7.714782,0.2498317
8.716613,0.2499191
9.718369,0.249882
10.71931,0.2496756
11.71984,0.2495695
12.72118,0.2498045
13.72294,0.2499322
14.72586,0.2496868
15.72593,0.2490132
16.72821,0.2491681
17.73041,0.2499341
18.73186,0.2497822
19.73241,0.2494589
20.73266,0.2494283
21.73296,0.2494299
22.7333,0.2494529
23.7375,0.2475609
24.73823,0.2496248
25.73943,0.2497422
26.74052,0.2497015
27.7421,0.199874
28.74536,0.1998057
29.75776,0.2997313
30.76,0.2499381
31.77004,0.2494833
32.77022,0.2494827
33.77205,0.2498705
34.77317,0.2496368
35.77485,0.2497263
36.77629,0.2468735
37.77666,0.2495537
38.77777,0.2497753
39.77905,0.2497538
40.77987,0.2496481
41.79045,0.2495392
42.79601,0.2476545
43.79721,0.2497178
44.79802,0.2496279
45.79846,0.2494683
46.80108,0.2499016
47.80568,0.2499803
48.80649,0.2491263
49.80746,0.2491373
50.80938,0.2497778
51.81186,0.2472837
52.81297,0.249713
53.81331,0.249551
54.81477,0.2498109
55.81625,0.2498373
56.8165,0.249504
57.81853,0.1999489
58.82019,0.1999273
59.82826,0.1990983
60.83314,0.1983542
61.83334,0.2994374
62.83575,0.2499574
63.83623,0.2494477
64.83796,0.2496634
65.83823,0.2493766
66.84045,0.2499354
67.84206,0.2497597
68.84303,0.2486246
69.84668,0.249837
70.84866,0.2498582
71.84944,0.2495605
72.85154,0.2499066
73.85274,0.2496457
74.85512,0.2499704
75.85524,0.249325
76.85551,0.2494784
77.85721,0.2498139
78.85793,0.2495624
79.85795,0.2494074
80.85934,0.2497703
81.86045,0.2497171
82.86061,0.2494581
83.86167,0.2497014
84.86266,0.2496815
85.86484,0.2495341
86.86519,0.2490855
87.86803,0.2476603
88.86871,0.2496851
89.87041,0.1998658
90.87165,0.1498573
91.87173,0.1496752
92.87219,0.1497522
93.8734,0.1497255
94.87363,0.1497129
95.88585,0.1497813
96.88598,0.149398
97.88792,0.09947695
98.8887,0.09981192
99.8904,0.09990201
100.8995,0.09967196
101.9016,0.09992518
102.9037,0.09991059
103.9053,0.04987554
104.9071,0.1498865
105.9095,0.09998892
106.9105,0.04988885
107.9118,0.1499438
108.9128,0.09985669
109.9145,0.09992193
110.915,0.09982231
111.9163,0.09985483
112.9176,0.09990697
113.9208,0.09910788
114.9214,0.09985314
115.9264,0.09998754
116.928,0.09964635
117.9294,0.09986414
118.9298,0.09955116
119.9322,0.09992018
120.9329,0.09976036
121.9334,0.1997956
122.9359,0.1499051
123.938,0.1499359
124.9404,0.2499839
125.9433,0.1999613
126.9463,0.1498032
127.9464,0.2493146
128.9482,0.19985
129.9511,0.199984
130.9543,0.2999964
131.9548,0.2495396
132.9568,0.2498841
133.9572,0.2494849
134.9589,0.249846
135.9598,0.249682
136.9625,0.2476144
137.9628,0.24953
138.9637,0.2495052
139.9668,0.2496874
140.9696,0.249854
141.97,0.2495128
142.9702,0.2495527
143.9715,0.2498203
144.9722,0.2494245
145.9733,0.249666
146.9741,0.2496053
147.9751,0.2496638
148.9767,0.2497829
149.9855,0.2490826
150.9886,0.1996636
151.9908,0.1999588
152.9919,0.1997711
153.992,0.1995609
154.9926,0.1497214
155.994,0.1498235
156.9967,0.1499234
157.9983,0.2498725
158.9996,0.1998082
159.9998,0.1995697
161.0001,0.1996488
162.0004,0.1996344
163.0013,0.2997045
164.0042,0.2499317
165.0062,0.249467
166.0114,0.2480218
167.0135,0.2499178
168.0154,0.2499291
169.0167,0.2497657
170.0173,0.2496498
171.0183,0.249709
172.0204,0.2499594
173.0227,0.1999592
174.0312,0.1981473
175.0331,0.1999529
176.0406,0.1456761
177.0425,0.1499068
178.0466,0.2499367
179.0477,0.1993392
