Time,Interest Value
0,0
0.5000001,1
0.9999996,1
1.499999,1
1.999999,1
2.499998,1
2.999998,1
3.499997,1
3.999997,1
4.499997,1
4.999996,1
5.499996,1
5.999995,0.9
6.499995,0.96
6.999994,0.96
7.499994,0.96
7.999993,0.9599999
8.500005,1
9.000016,0.96
9.500028,0.9
10.00004,0.96
10.50005,0.66
11.00006,1
11.50007,1
12.00008,0.9599999
12.5001,1
13.00011,1
13.50012,0.66
14.00013,0.66
14.50014,0.78
15.00015,1
15.50016,0.66
16.00018,1
16.50019,1
17.0002,1
17.50021,1
18.00022,1
18.50023,1
19.00024,1
19.50026,1
20.00027,1
20.50028,1
21.00029,1
21.5003,1
22.00031,1
22.50032,1
23.00034,1
23.50035,1
24.00036,1
24.50037,1
25.00038,1
25.50039,1
26.0004,1
26.50042,1
27.00043,1
27.50044,1
28.00045,1
28.50046,1
29.00047,1
29.50048,1
30.0005,1
30.50051,1
31.00052,1
31.50053,1
32.00054,1
32.50055,1
33.00056,1
33.50058,0.33
34.00059,1
34.5006,1
35.00061,1
35.50062,1
36.00063,1
36.50064,1
37.00066,1
37.50067,1
38.00068,1
38.50069,1
39.0007,1
39.50071,1
40.00072,1
40.50074,1
41.00075,1
41.50076,1
42.00077,1
42.50078,1
43.00079,1
43.5008,1
44.00082,0.715
44.50083,0.715
45.00084,0.6899999
45.50085,0.6899999
46.00086,0.6899999
46.50087,0.55
47.00089,0.6899999
47.5009,0.6899999
48.00091,0.795
48.50092,0.845
49.00093,0.9449999
49.50094,0.9799999
50.00095,0.85
50.50097,0.55
51.00098,0.55
51.50099,0.55
52.001,0.6
52.50101,0.6699999
53.00102,0.8199999
53.50103,0.55
54.00105,0.42
54.50106,0.42
55.00107,0
55.50108,0
56.00109,0
56.5011,0
57.00111,0
57.50113,0
58.00114,0
58.50115,0
59.00116,0
59.50117,0
60.00118,0
60.50119,0
61.00121,0
61.50122,0
62.00123,0
62.50124,0
63.00125,0
63.50126,0
64.00127,0
64.50119,0
65.00111,0
65.50102,0
66.00094,0
66.50085,0
67.00077,0
67.50069,0
68.0006,0
68.50052,0.33
69.00043,0.33
69.50035,0.33
70.00027,0.48
70.50018,0.48
71.0001,0.51
71.50002,0.66
71.99993,0.6
72.49985,0.9899999
72.99976,0.51
73.49968,0.33
73.9996,0.33
74.49951,0.33
74.99943,0.78
75.49934,0.78
75.99926,0.9899999
76.49918,0.78
76.99909,0.78
77.49901,0.78
77.99892,0.7499999
78.49884,0.78
78.99876,0.78
79.49867,0.66
79.99859,0.57
80.4985,0.78
80.99842,0.48
81.49834,0.66
81.99825,0.78
82.49817,1
82.99809,1
83.498,0.9899999
83.99792,0.96
84.49783,0.96
84.99775,1
85.49767,1
85.99758,1
86.4975,1
86.99741,1
87.49733,1
87.99725,1
88.49716,1
88.99708,1
89.49699,1
89.99691,0.9899999
90.49683,1
90.99674,1
91.49666,1
91.99657,1
92.49649,1
92.99641,1
93.49632,1
93.99624,1
94.49615,1
94.99607,1
95.49599,1
95.9959,1
96.49582,1
96.99574,1
97.49565,1
97.99557,1
98.49548,1
98.9954,1
99.49532,1
99.99523,1
100.4951,1
100.9951,1
101.495,1
101.9949,1
102.4948,1
102.9947,1
103.4946,1
103.9946,1
104.4945,1
104.9944,1
105.4943,1
105.9942,0.9899999
106.4941,1
106.9941,0.9299999
107.494,1
107.9939,1
108.4938,0.69
108.9937,0.51
109.4936,0.48
109.9936,0.6
110.4935,0.36
110.9934,0.33
111.4933,0.33
111.9932,0.69
112.4931,0.48
112.993,0.48
113.493,0
113.9929,0.55
114.4928,0.8199999
114.9927,0.55
115.4926,0.55
115.9925,0.55
116.4925,0.55
116.9924,0.55
117.4923,0.55
117.9922,0.55
118.4921,0.55
118.992,0.55
119.492,0.55
119.9919,0.55
120.4918,0.55
120.9917,0.55
121.4916,0.6
121.9915,0.55
122.4915,0.55
122.9914,0.55
123.4913,0.55
123.9912,0.55
124.4911,0.55
124.991,0.55
125.491,0.6
125.9909,0.55
126.4908,0.8099999
126.9907,0.63
127.4906,0.69
127.9905,0.75
128.4906,0.75
128.9907,0.72
129.4908,0.78
129.991,0.51
130.4911,0.54
130.9912,0.57
131.4913,0.6
131.9914,0.87
132.4915,0.33
132.9916,0.33
133.4917,0.33
133.9918,0.75
134.4919,0.54
134.992,0.48
135.4921,0.33
135.9922,0.33
136.4923,0.33
136.9924,0.33
137.4926,0.75
137.9927,0.75
138.4928,0.75
138.9929,0.72
139.493,0.78
139.9931,0.72
140.4932,0.51
140.9933,0.33
141.4934,0.72
141.9935,0.66
142.4936,0.69
142.9937,0.7499999
143.4938,0.72
143.9939,0.48
144.494,0.66
144.9942,0.72
145.4943,1
145.9944,1
146.4945,1
146.9946,1
147.4947,1
147.9948,1
148.4949,1
148.995,1
149.4951,1
149.9952,1
150.4953,1
150.9954,1
151.4955,0.51
151.9957,0.48
152.4958,0.51
152.9959,1
153.496,0.33
153.9961,0.33
154.4962,0.33
154.9963,0.33
155.4964,0
155.9965,0
156.4966,1
156.9967,1
157.4968,1
157.9969,1
158.497,0.33
158.9971,0.33
159.4973,0.33
159.9974,0.33
160.4975,0.33
160.9976,0
161.4977,0
161.9978,0.36
162.4979,0
162.998,0
163.4981,0
