Time,X,Z
0.02,210.9522,19.91951
0.04,210.9922,20.27915
0.06,211.0137,20.47187
0.08,211.0373,20.68391
0.09999999,211.0596,20.88399
0.12,211.0812,21.07762
0.14,211.1047,21.28868
0.16,211.127,21.48861
0.18,211.1409,21.67482
0.2,211.1456,21.84358
0.22,211.1525,22.08661
0.24,211.1578,22.27488
0.26,211.1637,22.48548
0.28,211.1691,22.6758
0.3,211.1746,22.86925
0.32,211.1806,23.08206
0.34,211.1858,23.26873
0.36,211.1911,23.48847
0.38,211.1956,23.67838
0.4,211.2003,23.87486
0.42,211.2054,24.08572
0.4400001,211.2099,24.27426
0.4600001,211.215,24.48661
0.4800001,211.2195,24.6752
0.5000001,211.224,24.86291
0.52,211.227,25.07675
0.54,211.2295,25.28553
0.56,211.2318,25.47273
0.58,211.2343,25.6853
0.6,211.2366,25.87448
0.6199999,211.239,26.0718
0.6399999,211.2416,26.28496
0.6599999,211.2427,26.37931
0.6799999,211.2419,26.67443
0.6999999,211.2381,26.88786
0.7199998,211.2348,27.07469
0.7399998,211.2313,27.27163
0.7599998,211.2275,27.48329
0.7799998,211.2242,27.67062
0.7999998,211.2204,27.88611
0.8199998,211.2169,28.08245
0.8399997,211.2168,28.27822
0.8599997,211.2193,28.48689
0.8799997,211.2217,28.67301
0.8999997,211.2243,28.88663
0.9199997,211.2267,29.0747
0.9399996,211.2291,29.27122
0.9599996,211.2308,29.40931
0.9799996,211.2342,29.67744
0.9999996,211.2363,29.88808
1.02,211.2375,30.07915
1.04,211.2388,30.2725
1.06,211.2402,30.48521
1.08,211.2415,30.67081
1.1,211.2429,30.8829
1.12,211.2442,31.08163
1.14,211.2454,31.26455
1.159999,211.2458,31.48725
1.179999,211.2434,31.67962
1.199999,211.241,31.86827
1.219999,211.2384,32.07695
1.239999,211.2358,32.28799
1.259999,211.2343,32.41285
1.279999,211.231,32.67871
1.299999,211.2284,32.88557
1.319999,211.2263,33.07236
1.339999,211.2289,33.28396
1.359999,211.2314,33.4819
1.379999,211.2337,33.66734
1.399999,211.2363,33.88233
1.419999,211.2388,34.07795
1.439999,211.2411,34.26807
1.459999,211.2439,34.48656
1.479999,211.2462,34.67434
1.499999,211.2467,34.88851
1.519999,211.2469,35.07792
1.539999,211.2472,35.28653
1.559999,211.2474,35.45216
1.579999,211.2477,35.67897
1.599999,211.2479,35.88703
1.619999,211.2482,36.07326
1.639999,211.2484,36.28077
1.659999,211.2475,36.46966
1.679999,211.2459,36.68851
1.699999,211.2446,36.87679
1.719999,211.244,36.96618
1.739999,211.2418,37.28217
1.759999,211.2405,37.46702
1.779999,211.239,37.67963
1.799999,211.2376,37.87521
1.819999,211.2385,38.0846
1.839999,211.2408,38.27316
1.859999,211.2435,38.48557
1.879999,211.2459,38.67923
1.899999,211.2483,38.87724
1.919999,211.2509,39.08696
1.939999,211.2533,39.27192
1.959999,211.2558,39.48118
1.979999,211.2569,39.66658
1.999999,211.256,39.88561
2.019999,211.2555,40.00315
2.039999,211.2544,40.26806
2.059999,211.2536,40.48093
2.079999,211.2528,40.66748
2.099999,211.2519,40.88704
2.119999,211.2511,41.07594
2.139999,211.2504,41.28479
2.159999,211.25,41.47276
2.179999,211.2497,41.66502
2.199999,211.2494,41.86666
2.219999,211.249,42.08719
2.239999,211.2487,42.27459
2.259999,211.2484,42.48617
2.279999,211.2481,42.6745
2.299999,211.2481,42.88503
2.319999,211.2502,43.05864
2.339998,211.253,43.27732
2.359998,211.2556,43.48687
2.379998,211.2579,43.6735
2.399998,211.2605,43.88519
2.419998,211.263,44.08807
2.439998,211.2654,44.27782
2.459998,211.268,44.48596
2.479998,211.2672,44.57644
2.499998,211.2644,44.87187
2.519998,211.2624,45.07809
2.539998,211.2606,45.26822
2.559998,211.2586,45.47776
2.579998,211.2566,45.68851
2.599998,211.2548,45.87435
2.619998,211.2528,46.08843
2.639998,211.253,46.26681
2.659998,211.2538,46.4845
2.679998,211.2545,46.67201
2.699998,211.2553,46.88481
2.719998,211.256,47.07278
2.739998,211.2567,47.26082
2.759998,211.2575,47.48318
2.779998,211.258,47.60057
2.799998,211.2599,47.86741
2.819998,211.2626,48.0803
2.839998,211.2649,48.26576
2.859998,211.2676,48.48512
2.879998,211.2699,48.6702
2.899998,211.2726,48.8842
2.919998,211.2749,49.06854
2.939998,211.2773,49.2634
2.959998,211.2774,49.48705
2.979998,211.2746,49.67426
2.999998,211.2714,49.88669
3.019998,211.2686,50.07573
3.039998,211.2655,50.28554
3.059998,211.2625,50.48084
3.079998,211.2601,50.64484
3.099998,211.2568,50.86565
3.119998,211.2549,51.0737
3.139998,211.2568,51.28015
3.159998,211.2585,51.46529
3.179998,211.2605,51.68309
3.199998,211.2622,51.87197
3.219998,211.2641,52.0797
3.239998,211.2659,52.2742
3.259998,211.2678,52.48562
3.279998,211.2696,52.67754
3.299998,211.2722,52.88593
3.319998,211.2746,53.07269
3.339998,211.2771,53.27968
3.359998,211.2794,53.46443
3.379997,211.2818,53.65751
3.399997,211.2846,53.88119
3.419997,211.2872,54.08787
3.439997,211.2895,54.27338
3.459997,211.2852,54.48175
3.479997,211.2808,54.67577
3.499997,211.2761,54.88321
3.519997,211.2718,55.07353
3.539997,211.2697,55.16347
3.559997,211.2626,55.47974
3.579997,211.2582,55.67129
3.599997,211.2534,55.88436
3.619997,211.2535,56.06913
3.639997,211.2551,56.2774
3.659997,211.2566,56.48683
3.679997,211.2579,56.67219
3.699997,211.2595,56.87769
3.719997,211.261,57.0841
3.739997,211.2623,57.26733
3.759997,211.2638,57.47572
3.779997,211.2654,57.67913
3.799997,211.2668,57.87027
3.819997,211.2684,58.07825
3.839997,211.2693,58.18937
3.859997,211.2715,58.47868
3.879997,211.273,58.68306
3.899997,211.2744,58.86436
3.919997,211.276,59.0793
3.939997,211.2741,59.28362
3.959997,211.2689,59.46587
3.979997,211.2629,59.67325
3.999997,211.2574,59.86679
4.019997,211.2512,60.08302
4.039997,211.2459,60.26825
4.059997,211.24,60.47548
4.079997,211.2341,60.68054
4.099997,211.2301,60.86362
4.119997,211.2314,61.07822
4.139997,211.2322,61.21341
4.159997,211.2337,61.4777
4.179997,211.2349,61.68249
4.199997,211.236,61.86633
4.219997,211.2373,62.08061
4.239997,211.2384,62.27808
4.259997,211.2396,62.48186
