Time,Interest Value
0,0
0.5000001,0.1227899
0.9999996,0.1001945
1.499999,0.08656331
1.999999,0.07960959
2.499998,0
2.999998,0
3.499997,0
3.999997,0
4.499997,0
4.999996,0.4597805
5.499996,0.4208806
5.999995,0.3831539
6.499995,0.318725
6.999994,0.3133383
7.499994,0.2811879
7.999993,0.2297472
8.500005,0.2222257
9.000016,0.1957482
9.500028,0.1567407
10.00004,0.1359376
10.50005,0.1273242
11.00006,0.1083015
11.50007,0.09108667
12.00008,0.068402
12.5001,0.05525498
13.00011,0.04635304
13.50012,0.03251113
14.00013,0
14.50014,0
15.00015,0
15.50016,0
16.00018,0
16.50019,0
17.0002,0
17.50021,0
18.00022,0
18.50023,0
19.00024,0
19.50026,0
20.00027,0
20.50028,0
21.00029,0
21.5003,0
22.00031,0
22.50032,0
23.00034,0
23.50035,0
24.00036,0
24.50037,0
25.00038,0
25.50039,0
26.0004,0
26.50042,0
27.00043,0
27.50044,1
28.00045,1
28.50046,1
29.00047,1
29.50048,1
30.0005,1
30.50051,1
31.00052,1
31.50053,1
32.00054,1
32.50055,1
33.00056,1
33.50058,1
34.00059,1
34.5006,1
35.00061,1
35.50062,1
36.00063,1
36.50064,1
37.00066,1
37.50067,1
38.00068,1
38.50069,1
39.0007,1
39.50071,1
40.00072,1
40.50074,1
41.00075,1
41.50076,1
42.00077,1
42.50078,1
43.00079,1
43.5008,1
44.00082,0.7535173
44.50083,0.6109113
45.00084,0.4315094
45.50085,0.07436474
46.00086,0
46.50087,0.08005697
47.00089,0.02065818
47.5009,0
48.00091,0
48.50092,0
49.00093,0
49.50094,0
50.00095,0
50.50097,0
51.00098,0
51.50099,0
52.001,0
52.50101,0
53.00102,0
53.50103,0
54.00105,0
54.50106,0
55.00107,0
55.50108,0
56.00109,0
56.5011,0
57.00111,0
57.50113,0
58.00114,0
58.50115,0
59.00116,0
59.50117,0
60.00118,0
60.50119,1
61.00121,0
61.50122,0
62.00123,0
62.50124,0
63.00125,0
63.50126,1
64.00127,1
64.50119,0
65.00111,0
65.50102,0
66.00094,0
66.50085,0
67.00077,0
67.50069,1
68.0006,1
68.50052,0
69.00043,0
69.50035,0
70.00027,0
70.50018,0
71.0001,0.4291628
71.50002,0.427534
71.99993,0.3895201
72.49985,0.3525538
72.99976,0.7494003
73.49968,1
73.9996,1
74.49951,1
74.99943,0
75.49934,0
75.99926,0
76.49918,0
76.99909,0
77.49901,0
77.99892,0
78.49884,0
78.99876,0
79.49867,0
79.99859,0
80.4985,0
80.99842,0
81.49834,0
81.99825,0
82.49817,0
82.99809,0
83.498,0
83.99792,1
84.49783,1
84.99775,1
85.49767,1
85.99758,1
86.4975,1
86.99741,1
87.49733,1
87.99725,1
88.49716,1
88.99708,1
89.49699,1
89.99691,1
90.49683,1
90.99674,1
91.49666,1
91.99657,1
92.49649,1
92.99641,1
93.49632,0.4029053
93.99624,0.4337508
94.49615,0.393998
94.99607,0.9369459
95.49599,1
95.9959,1
96.49582,1
96.99574,1
97.49565,1
97.99557,1
98.49548,1
98.9954,1
99.49532,1
99.99523,1
100.4951,1
100.9951,1
101.495,0.253994
101.9949,0.2453133
102.4948,0.2252702
102.9947,0.2762154
103.4946,0.260984
103.9946,1
104.4945,1
104.9944,1
105.4943,1
105.9942,1
106.4941,1
106.9941,1
107.494,1
107.9939,1
108.4938,1
108.9937,1
109.4936,1
109.9936,1
110.4935,1
110.9934,1
111.4933,1
111.9932,1
112.4931,1
112.993,1
113.493,1
113.9929,1
114.4928,0.9370567
114.9927,0.6195594
115.4926,0.4431492
115.9925,0.2683315
116.4925,0.1003294
116.9924,0.08284811
117.4923,0.07059995
117.9922,0.05666712
118.4921,0.04328006
118.992,0.03158115
119.492,0
119.9919,0
120.4918,0
120.9917,0
121.4916,0
121.9915,0
122.4915,0
122.9914,0
123.4913,0
123.9912,0
124.4911,0
124.991,0
125.491,0
125.9909,0
126.4908,0
126.9907,0
127.4906,0
127.9905,0
128.4906,0
128.9907,1
129.4908,1
129.991,1
130.4911,1
130.9912,1
131.4913,1
131.9914,1
132.4915,1
132.9916,1
133.4917,1
133.9918,1
134.4919,1
134.992,1
135.4921,1
135.9922,1
136.4923,1
136.9924,1
137.4926,0.7657898
137.9927,0.5598193
138.4928,0.4189336
138.9929,0.297773
139.493,0.2018175
139.9931,0.06193343
140.4932,0.002409524
140.9933,0
141.4934,0
141.9935,0
142.4936,0
142.9937,0.8683614
143.4938,0
143.9939,1
144.494,1
144.9942,1
145.4943,1
145.9944,1
146.4945,1
146.9946,1
147.4947,1
147.9948,1
148.4949,1
148.995,1
149.4951,1
149.9952,1
150.4953,0.9018323
150.9954,0.7327721
151.4955,0.476727
151.9957,0.566551
152.4958,0.3621542
152.9959,0.2202509
153.496,0.154362
153.9961,0.04844648
154.4962,0
154.9963,0.06797023
155.4964,0.01817015
155.9965,0
156.4966,0
156.9967,0
157.4968,0
157.9969,0
158.497,0
158.9971,0
159.4973,0
159.9974,0
160.4975,0
160.9976,0
161.4977,0
161.9978,0
162.4979,0
162.998,0
163.4981,0
163.9982,0
164.4983,0
164.9984,0
165.4985,0
165.9986,0
166.4987,0
166.9989,0
167.499,0
167.9991,0
168.4992,0
168.9993,1
169.4994,1
169.9995,0
170.4996,0
170.9997,0
171.4998,0
171.9999,0.4388079
172.5,0.4394018
173.0001,0.4010758
173.5002,0.3331849
174.0004,0.3280758
174.5005,0.2952043
175.0006,0.5718834
175.5007,0.5556825
176.0008,0.3799214
176.5009,0.4562091
177.001,0.435376
177.5011,0.396942
178.0012,0.3337187
178.5013,0.2580536
179.0014,0.2414118
179.5015,0.8508179
180.0016,1
