Time,Novelty Score
1.000541,0.2
2.001424,0.09982915
3.002979,0.09990145
4.003829,0.0998282
5.00534,0.09992439
6.006655,0.09983814
7.008993,0.0999724
8.010584,0.09993323
9.01178,0.09989399
10.01261,0.0998605
11.01268,0.09976904
12.01379,0.09985658
13.01566,0.0998869
14.01599,0.0997516
15.01821,0.09993464
16.02107,0.09999529
17.02394,0.09997635
18.02434,0.09972324
19.02634,0.09992434
20.02665,0.09975894
21.02704,0.09975572
22.02947,0.09995484
23.0302,0.09978513
24.03148,0.09984643
25.03431,0.09997913
26.03546,0.09982497
27.03683,0.09990703
28.03811,0.199839
29.039,0.09984048
30.04119,0.09994221
31.04157,0.09983739
32.04367,0.1998882
33.04407,0.09979872
34.04442,0.09974977
35.04689,0.09992733
36.04844,0.099843
37.04982,0.1998424
38.05242,0.1499476
39.05482,0.1498332
40.05627,0.2497728
41.05921,0.1999847
42.05997,0.1996011
43.06127,0.1997755
44.06221,0.199679
45.06389,0.1996692
46.06428,0.1994637
47.06432,0.1993973
48.06546,0.2996425
49.06671,0.2497411
50.06684,0.249451
51.06814,0.2495701
52.06916,0.2495244
53.06927,0.2494822
54.07111,0.2498913
55.07185,0.2496348
56.07247,0.2495863
57.07432,0.2499245
58.07608,0.2499055
59.07749,0.2497256
60.08004,0.2499977
61.08197,0.2499264
62.08324,0.2496864
63.08498,0.2498548
64.08698,0.2498966
65.08863,0.249841
66.09059,0.249915
67.09163,0.2497308
68.09383,0.2498944
69.09453,0.2496591
70.09621,0.2497936
71.09801,0.2499406
72.09831,0.249544
73.10026,0.2498869
74.10116,0.2496139
75.10171,0.2495981
76.10201,0.2495066
77.10285,0.2494942
78.10571,0.2498898
79.10594,0.2495039
80.10645,0.2495897
81.10754,0.2496339
82.10822,0.2494196
83.10829,0.2493153
84.10902,0.24959
85.10923,0.2494573
86.11038,0.2497281
87.11117,0.2496658
88.11167,0.2495736
89.11235,0.2495622
90.11475,0.2499877
91.11488,0.2495121
92.11515,0.249495
93.11607,0.2496385
94.11771,0.2497502
95.11919,0.2498197
96.11968,0.2495773
97.12013,0.2495268
98.1227,0.2498579
99.12521,0.249874
100.1266,0.2498149
101.1277,0.1997107
102.1288,0.1997914
103.1297,0.1997428
104.1298,0.1994742
105.1305,0.1996189
106.1323,0.1998873
107.1344,0.2997995
108.1352,0.2495525
109.1366,0.2497107
110.138,0.2497961
111.1389,0.1997202
112.1394,0.1996673
113.1413,0.1999682
114.1437,0.199912
115.1439,0.1993461
116.1462,0.1999023
117.1478,0.2997269
118.1486,0.2495386
119.1508,0.2499136
120.1522,0.2498024
121.1544,0.1999792
122.1547,0.1996355
123.1557,0.1997748
124.1565,0.1994545
125.1568,0.1994397
126.1575,0.199606
127.1594,0.2997541
128.1594,0.2494085
129.1625,0.249975
130.1629,0.2494864
131.1651,0.2498478
132.1664,0.2496071
133.1674,0.2496654
134.1685,0.2497187
135.1687,0.2494989
136.1705,0.2498987
137.1718,0.2497095
138.1734,0.2499104
139.1738,0.1996506
140.1745,0.1996615
141.1758,0.2997115
142.1782,0.2498877
143.1785,0.1996354
144.1794,0.1996529
145.1803,0.2996981
146.1834,0.2499999
147.1848,0.2496158
148.1868,0.2499019
149.1876,0.2495098
150.1886,0.2497201
151.1904,0.1999399
152.192,0.1998833
153.1921,0.2995495
154.1942,0.2498905
155.1944,0.2494963
156.196,0.2498792
157.1974,0.2497831
158.1989,0.2497931
159.1994,0.249584
160.2017,0.2497396
161.2038,0.2498865
162.205,0.2497224
163.2061,0.2496636
164.2072,0.2497099
165.2091,0.1999482
166.211,0.1998656
167.2126,0.2998037
168.2134,0.2495866
169.2153,0.2498241
170.2163,0.2496637
171.2171,0.1996123
172.2179,0.199478
173.2197,0.299729
174.2206,0.249647
175.2213,0.199694
176.2227,0.1997362
177.2237,0.2995424
178.226,0.2499608
179.2277,0.2497911
