Time,X,Z
0.02,80.65784,32.89233
0.04,80.78468,33.25376
0.06,80.83251,33.39003
0.08,80.87872,33.52171
0.09999999,80.97868,33.80652
0.12,81.04695,34.00105
0.14,81.11259,34.18809
0.16,81.18414,34.39196
0.18,81.27608,34.55577
0.2,81.37642,34.73052
0.22,81.47724,34.90612
0.24,81.572,35.07115
0.26,81.67817,35.25606
0.28,81.76979,35.41563
0.3,81.9013,35.57613
0.32,82.06554,35.66307
0.34,82.2502,35.76084
0.36,82.43459,35.85846
0.38,82.52433,35.90596
0.4,82.78197,36.04237
0.42,82.95248,36.12717
0.4400001,83.16489,36.16514
0.4600001,83.35223,36.19862
0.4800001,83.54824,36.23365
0.5000001,83.73557,36.26713
0.52,83.94504,36.30457
0.54,83.9691,36.30887
0.56,84.32761,36.37295
0.58,84.52653,36.44366
0.6,84.52653,36.44366
0.6199999,84.90529,36.58561
0.6399999,85.09027,36.65493
0.6599999,85.28107,36.72644
0.6799999,85.41201,36.77551
0.6999999,85.61808,36.9106
0.7199998,85.75622,37.05283
0.7399998,85.8897,37.19026
0.7599998,86.04108,37.34612
0.7799998,86.17652,37.48557
0.7999998,86.31042,37.62343
0.8199998,86.46314,37.75668
0.8399997,86.6167,37.88439
0.8599997,86.78184,38.02174
0.8799997,86.92262,38.13884
0.8999997,87.07129,38.26249
0.9199997,87.23793,38.40109
0.9399996,87.42265,38.44962
0.9599996,87.63091,38.49652
0.9799996,87.78964,38.53227
0.9999996,87.99048,38.5775
1.02,88.20426,38.62565
1.04,88.393,38.66816
1.06,88.60007,38.71338
1.08,88.80203,38.7487
1.1,89.00159,38.78358
1.12,89.19514,38.81742
1.14,89.27125,38.83073
1.159999,89.58426,38.88546
1.179999,89.78537,38.92062
1.199999,89.98488,38.95823
1.219999,90.14207,39.06273
1.239999,90.31493,39.17766
1.259999,90.46807,39.27948
1.279999,90.6443,39.39664
1.299999,90.81891,39.51272
1.319999,90.97535,39.61673
1.339999,91.09917,39.76651
1.359999,91.23566,39.93311
1.379999,91.35661,40.08075
1.399999,91.47577,40.2262
1.419999,91.61388,40.39478
1.439999,91.68727,40.48437
1.459999,91.91386,40.63048
1.479999,92.07899,40.72877
1.499999,92.2674,40.8409
1.519999,92.4358,40.94112
1.539999,92.6163,41.04855
1.559999,92.79235,41.1336
1.579999,92.98295,41.16767
1.599999,93.16119,41.19953
1.619999,93.36182,41.23539
1.639999,93.57765,41.27396
1.659999,93.75161,41.30505
1.679999,93.97211,41.34446
1.699999,94.15767,41.37788
1.719999,94.33958,41.42955
1.739999,94.49406,41.47342
1.759999,94.72919,41.54021
1.779999,94.93428,41.59846
1.799999,95.11731,41.65045
1.819999,95.30622,41.7041
1.839999,95.48943,41.81023
1.859999,95.63238,41.94335
1.879999,95.77161,42.07301
1.899999,95.92347,42.21444
1.919999,96.06297,42.34435
1.939999,96.22302,42.4934
1.959999,96.35306,42.61237
1.979999,96.51927,42.76336
1.999999,96.66534,42.89604
2.019999,96.80743,43.0251
2.039999,96.94701,43.15189
2.059999,97.09911,43.29004
2.079999,97.28327,43.35645
2.099999,97.47198,43.40621
2.119999,97.68442,43.46222
2.139999,97.87202,43.51169
2.159999,98.05744,43.56058
2.179999,98.24716,43.61061
2.199999,98.35023,43.63779
2.219999,98.6368,43.69133
2.239999,98.85122,43.72823
2.259999,99.03808,43.76038
2.279999,99.23331,43.79398
2.299999,99.44556,43.8305
2.319999,99.629,43.86207
2.339998,99.81756,43.89866
2.359998,99.99162,44.00581
2.379998,100.1582,44.10834
2.399998,100.3426,44.22186
2.419998,100.502,44.31999
2.439998,100.6707,44.42386
2.459998,100.8346,44.52732
2.479998,100.974,44.7005
2.499998,101.0605,44.80809
2.519998,101.2255,45.01318
2.539998,101.3437,45.15999
2.559998,101.4787,45.32784
2.579998,101.6114,45.45421
2.599998,101.7799,45.56275
2.619998,101.9409,45.66647
