Time,X,Z
0.02,51.57,22.2
0.04,51.57,22.2
0.06,51.78178,22.32596
0.08,51.9057,22.39967
0.09999999,52.14459,22.58327
0.12,52.24927,22.75486
0.14,52.35715,22.93168
0.16,52.45994,23.10017
0.18,52.56384,23.27048
0.2,52.65958,23.42808
0.22,52.75913,23.61037
0.24,52.85652,23.78872
0.26,52.94816,23.95653
0.28,53.04991,24.14286
0.3,53.14095,24.30957
0.32,53.23363,24.47929
0.34,53.33823,24.67084
0.36,53.45034,24.82524
0.38,53.52084,24.91896
0.4,53.69812,25.15464
0.42,53.81414,25.30889
0.4400001,53.93241,25.46611
0.4600001,54.04878,25.62083
0.4800001,54.16387,25.77382
0.5000001,54.29923,25.95263
0.52,54.43587,26.08967
0.54,54.59001,26.20913
0.56,54.7476,26.29954
0.58,54.91282,26.36666
0.6,55.11134,26.41686
0.6199999,55.30349,26.45847
0.6399999,55.49428,26.48446
0.6599999,55.71317,26.49687
0.6799999,55.86226,26.49594
0.6999999,56.1797,26.47198
0.7199998,56.39167,26.47782
0.7399998,56.57103,26.56483
0.7599998,56.75009,26.66186
0.7799998,56.90705,26.74691
0.7999998,57.10407,26.85367
0.8199998,57.27013,26.94365
0.8399997,57.45758,27.04522
0.8599997,57.63146,27.13944
0.8799997,57.79367,27.2319
0.8999997,57.95708,27.33973
0.9199997,58.13806,27.45915
0.9399996,58.30081,27.56654
0.9599996,58.46317,27.67367
0.9799996,58.63705,27.7884
0.9999996,58.78773,27.88783
1.02,58.95619,27.99899
1.04,59.10944,28.11415
1.06,59.2395,28.24085
1.08,59.36469,28.40016
1.1,59.46009,28.56146
1.12,59.53934,28.74266
1.14,59.58186,28.87263
1.159999,59.64256,29.15857
1.179999,59.6655,29.3911
1.199999,59.6517,29.63874
1.219999,59.60448,29.90392
1.239999,59.64505,30.10197
1.259999,59.69205,30.29776
1.279999,59.7385,30.49133
1.299999,59.78224,30.67356
1.319999,59.82972,30.87139
1.339999,59.87426,31.05699
1.359999,59.92236,31.25739
1.379999,59.95424,31.44863
1.399999,59.97009,31.65089
1.419999,59.98585,31.85217
1.439999,59.99847,32.01329
1.459999,60.01708,32.25085
1.479999,60.03427,32.47031
1.499999,60.04987,32.66945
1.519999,60.06345,32.84287
1.539999,60.08107,33.0679
1.559999,60.08715,33.26045
1.579999,60.08472,33.44901
1.599999,60.08201,33.6584
1.619999,60.07956,33.84832
1.639999,60.07692,34.05258
1.659999,60.07438,34.24977
1.679999,60.07192,34.43993
1.699999,60.06914,34.65544
1.719999,60.06659,34.85326
1.739999,60.0622,35.05734
1.759999,60.05475,35.26185
1.779999,60.04794,35.44881
1.799999,60.04078,35.64537
1.819999,60.03306,35.85732
1.839999,60.02582,36.05605
1.859999,60.01873,36.25045
1.879999,60.01175,36.44213
1.899999,60.00682,36.57738
1.919999,59.99858,36.86536
1.939999,60.00149,37.06205
1.959999,60.00424,37.2484
1.979999,60.00748,37.46703
1.999999,60.01018,37.64982
2.019999,60.0215,37.84192
2.039999,60.06857,38.02378
2.059999,60.14334,38.16986
2.079999,60.26487,38.31409
2.099999,60.39899,38.41905
2.119999,60.56611,38.50992
2.139999,60.80526,38.59619
2.159999,61.05322,38.62792
2.179999,61.35188,38.631
2.199999,61.58205,38.61725
2.219999,61.91722,38.63153
2.239999,62.12597,38.70612
2.259999,62.3073,38.77091
2.279999,62.5055,38.81558
2.299999,62.69315,38.84146
2.319999,62.90685,38.87094
2.339998,63.10231,38.89791
2.359998,63.30466,38.92582
2.379998,63.49502,38.95208
2.399998,63.69746,38.96537
2.419998,63.88407,38.97363
2.439998,64.08469,38.98251
2.459998,64.30002,38.99203
2.479998,64.493,39.00057
2.499998,64.69793,39.00964
2.519998,64.88039,39.00763
2.539998,65.03976,39.00584
2.559998,65.17026,39.00438
2.579998,65.24739,39.00352
2.599998,65.27634,39.03426
2.619998,65.24043,39.13267
2.639998,65.15153,39.26957
2.659998,65.05835,39.38686
2.679998,64.798,39.67236
2.699998,64.54034,39.92923
2.719998,64.26631,40.18881
2.739998,64.17777,40.39535
2.759998,64.10809,40.58098
2.779998,64.0331,40.7804
2.799998,63.96037,40.97298
2.819998,63.89073,41.15741
2.839998,63.82922,41.32029
2.859998,63.75662,41.51254
2.879998,63.68887,41.69196
2.899998,63.61106,41.89801
2.919998,63.53634,42.09587
2.939998,63.46709,42.28432
2.959998,63.42541,42.42129
2.979998,63.35569,42.65038
2.999998,63.29635,42.84534
3.019998,63.24126,43.02635
3.039998,63.18328,43.21688
3.059998,63.12366,43.41277
3.079998,63.06272,43.61303
3.099998,63.01323,43.81778
3.119998,62.99741,43.89348
3.139998,62.93539,44.19019
3.159998,62.89251,44.39531
3.179998,62.84969,44.60016
3.199998,62.81003,44.78991
3.219998,62.77277,44.96819
3.239998,62.72829,45.18098
3.259998,62.706,45.36289
3.279998,62.68444,45.5541
3.299998,62.66037,45.76749
3.319998,62.63865,45.96009
3.339998,62.61446,46.17466
3.359998,62.59348,46.36067
3.379997,62.57022,46.5669
3.399997,62.54674,46.77514
3.419997,62.53287,46.89888
3.439997,62.53233,47.16569
3.459997,62.53192,47.37316
3.479997,62.53156,47.55514
3.499997,62.53114,47.76259
3.519997,62.53072,47.97395
3.539997,62.53036,48.15308
3.559997,62.52991,48.37605
3.579997,62.52957,48.54872
3.599997,62.53173,48.75908
3.619997,62.53979,48.9642
3.639997,62.54783,49.16881
3.659997,62.55537,49.36061
3.679997,62.56358,49.56955
3.699997,62.57064,49.74936
3.719997,62.57728,49.91824
