Time,Interest Value
0,0
0.5000001,0.22
0.9999996,1
1.499999,1
1.999999,1
2.499998,1
2.999998,1
3.499997,0.8099999
3.999997,1
4.499997,1
4.999996,1
5.499996,0.97
5.999995,0.54
6.499995,0.28
6.999994,0.33
7.499994,0.11
7.999993,0.51
8.500005,0.51
9.000016,0.11
9.500028,0
10.00004,0.11
10.50005,0
11.00006,0
11.50007,0
12.00008,0
12.5001,0
13.00011,0
13.50012,0
14.00013,0
14.50014,0
15.00015,0
15.50016,0
16.00018,1
16.50019,1
17.0002,1
17.50021,1
18.00022,1
18.50023,1
19.00024,1
19.50026,0.6899999
20.00027,0.35
20.50028,0.22
21.00029,0.6899999
21.5003,0.22
22.00031,0.25
22.50032,0.92
23.00034,0.86
23.50035,0.6599999
24.00036,0.5899999
24.50037,1
25.00038,1
25.50039,1
26.0004,0.9499999
26.50042,0.8399999
27.00043,0.6999999
27.50044,0.9999999
28.00045,0.52
28.50046,0
29.00047,0
29.50048,0
30.0005,0.17
30.50051,0.17
31.00052,0.11
31.50053,0
32.00054,0
32.50055,0
33.00056,0
33.50058,0
34.00059,0
34.5006,0
35.00061,0
35.50062,0
36.00063,0
36.50064,0
37.00066,0
37.50067,0
38.00068,0
38.50069,0
39.0007,0
39.50071,0
40.00072,0
40.50074,0
41.00075,0
41.50076,0
42.00077,0
42.50078,0
43.00079,0
43.5008,0
44.00082,0
44.50083,0
45.00084,0
45.50085,0.12
46.00086,0.51
46.50087,0.8299999
47.00089,1
47.5009,1
48.00091,1
48.50092,1
49.00093,1
49.50094,1
50.00095,1
50.50097,1
51.00098,1
51.50099,0.9799999
52.001,1
52.50101,0.41
53.00102,0.41
53.50103,0.39
54.00105,0.31
54.50106,0.16
55.00107,0.11
55.50108,0.14
56.00109,0
56.5011,0
57.00111,0
57.50113,0
58.00114,0
58.50115,0
59.00116,0
59.50117,0
60.00118,0
60.50119,0
61.00121,0
61.50122,0
62.00123,0
62.50124,0
63.00125,0
63.50126,0
64.00127,0
64.50119,0
65.00111,0
65.50102,0
66.00094,0
66.50085,0
67.00077,0
67.50069,0
68.0006,0
68.50052,0
69.00043,0
69.50035,0
70.00027,0
70.50018,0
71.0001,0
71.50002,0
71.99993,0
72.49985,0
72.99976,0
73.49968,0
73.9996,0
74.49951,0
74.99943,0
75.49934,0.29
75.99926,0.35
76.49918,0
76.99909,0.17
77.49901,0.11
77.99892,0
78.49884,0
78.99876,0.11
79.49867,0
79.99859,0
80.4985,0
80.99842,0
81.49834,0
81.99825,0
82.49817,0
82.99809,0
83.498,0
83.99792,0
84.49783,0
84.99775,0
85.49767,0.4999999
85.99758,0.4899999
86.4975,0.45
86.99741,0.56
87.49733,0.51
87.99725,0.38
88.49716,0.34
88.99708,0.16
89.49699,0.11
89.99691,0.11
90.49683,0.2
90.99674,0
91.49666,0.11
91.99657,0.11
92.49649,0.11
92.99641,0.11
93.49632,0.11
93.99624,0.12
94.49615,0.11
94.99607,0
95.49599,0
95.9959,0
96.49582,0.12
96.99574,0.12
97.49565,0.86
97.99557,0.3999999
98.49548,0.11
98.9954,0.16
99.49532,0.3
99.99523,0.19
100.4951,0.12
100.9951,0.14
101.495,0
101.9949,0
102.4948,0
102.9947,0
103.4946,0
103.9946,0
104.4945,0
104.9944,0
105.4943,0
105.9942,0
106.4941,0
106.9941,0
107.494,0
107.9939,0
108.4938,0
108.9937,0
109.4936,0
109.9936,0
110.4935,0
110.9934,0
111.4933,0
111.9932,0
112.4931,0
112.993,0
113.493,0
113.9929,0
114.4928,0
114.9927,0
115.4926,0
115.9925,1
116.4925,1
116.9924,1
117.4923,0.17
117.9922,0
118.4921,0
118.992,0.11
119.492,0.17
119.9919,0
120.4918,0.17
120.9917,0.17
121.4916,0.16
