Time,Novelty Score
0.5068647,0.4499161
1.508744,0.2499113
2.508962,0.2495059
3.509137,0.2494839
4.511085,0.3499287
5.512225,0.3997087
6.512585,0.3493799
7.512795,0.3493384
8.514266,0.34982
9.515648,0.299775
10.51642,0.2996095
11.51682,0.1996719
12.51747,0.1497936
13.51957,0.148531
14.51987,0.1497262
15.52162,0.1499478
16.52178,0.1497145
17.52192,0.1497203
18.52536,0.1499633
19.52725,0.1499723
20.52757,0.1497525
21.528,0.1497707
22.52914,0.1498689
23.52968,0.1497707
24.53141,0.1499343
25.53178,0.1497283
26.53308,0.1498616
27.53395,0.1498081
28.53408,0.1497014
29.5352,0.1498636
30.53705,0.1499721
31.53783,0.1497971
32.53842,0.1998518
33.53958,0.2498799
34.54105,0.1999033
35.54457,0.1999926
36.54484,0.2993516
37.54488,0.2491599
38.54525,0.2492198
39.54809,0.2477866
40.54863,0.2495831
41.55041,0.3497849
42.55284,0.2999763
43.55505,0.2999066
44.55744,0.2999829
45.55758,0.2992636
46.55873,0.2996721
47.56747,0.3990727
48.56925,0.3498954
49.57079,0.3498369
50.57076,0.3492874
51.57113,0.1996628
52.57152,0.1497476
53.57316,0.1499014
54.57543,0.1499364
55.57743,0.1499724
56.57926,0.1499571
57.58015,0.1498296
58.58129,0.1498663
59.58235,0.1498613
60.58252,0.14974
61.58441,0.1497682
62.58631,0.09999936
63.58828,0.09997387
64.58842,0.09982023
65.59025,0.09998684
66.5914,0.09992913
67.59254,0.09992182
68.59428,0.09997264
69.59479,0.09987219
70.59518,0.09984791
71.59697,0.09997854
72.5971,0.09973482
73.59798,0.09989658
74.59869,0.09984981
75.59939,0.09987673
76.60048,0.09986157
77.60106,0.09983241
78.60249,0.09993254
79.60452,0.04991771
80.6067,0.04999552
81.6085,0.1499748
82.61329,0.09960639
83.61395,0.09985409
84.62292,0.09971337
85.62578,0.09991466
86.62685,0.09989936
87.62842,0.09994783
88.62971,0.09993096
89.63151,0.09998043
90.63305,0.09995918
91.63332,0.09982717
92.63665,0.09994885
93.6377,0.09989811
94.63802,0.04991618
95.63813,0.04990143
96.63877,0.04993626
97.63877,0.04990208
98.64018,0.04997296
99.64195,0.0499933
100.6545,0.04996082
101.6553,0.04993114
102.6565,0.0499622
103.6571,0.04993592
104.6575,0.04988524
105.6577,0.0499232
106.6591,0.04997443
107.6597,0.04990384
108.6672,0.04976908
109.6683,0.0499301
110.6692,0.04991404
111.6713,0.04998254
112.6715,0.04989495
113.6733,0.0499746
114.6751,0.04998505
115.6772,0.04998963
116.6783,0.04988582
117.6785,0.0498947
118.68,0.04996016
119.6808,0.04993882
120.6815,0.04992938
121.6839,0.1499297
122.6838,0.09962842
123.6847,0.09967814
124.6853,0.09968963
125.6854,0.09964258
126.6857,0.09965732
127.6863,0.09984842
128.6867,0.0998358
129.6883,0.0999535
130.6901,0.04999549
131.6924,0.04993151
132.6931,0.04992225
133.6945,0.04996749
134.6984,0.04961417
135.6985,0.04990697
136.6994,0.04993949
137.7011,0.04999898
138.7012,0.04990844
139.7014,0.04990764
140.7016,0.04988892
141.705,0.04996558
142.7097,0.04962346
143.7113,0.1499601
144.7125,0.09988958
145.7124,0.09977736
146.7129,0.09980743
147.7153,0.09981727
148.7165,0.09987824
149.7168,0.09973992
150.7186,0.09993782
151.7204,0.09997708
152.7207,0.09977005
153.7253,0.09997448
154.7254,0.1995796
155.7256,0.1494133
156.7262,0.1497206
157.7285,0.1499678
158.7305,0.1499273
159.7312,0.1497419
160.7411,0.1496373
161.7413,0.1496914
162.7418,0.1496327
163.7436,0.149723
164.7446,0.1495777
165.7465,0.1499801
166.7476,0.1498526
167.7488,0.1498937
168.7556,0.1492159
169.7556,0.1497043
170.7566,0.1497423
171.7584,0.1499933
172.7591,0.1496728
173.7594,0.1497512
174.7627,0.1499533
175.7633,0.09969474
176.7696,0.09936265
177.7712,0.09997779
178.7719,0.09987896
179.7726,0.09987755
