Time,X,Z
0.02,211.4914,277.2465
0.04,211.3755,277.6134
0.06,211.3197,277.7903
0.08,211.3018,277.8468
0.09999999,211.2492,278.0134
0.12,211.1469,278.3495
0.14,211.0972,278.55
0.16,211.0528,278.7291
0.18,211.0063,278.9164
0.2,210.9621,279.0948
0.22,210.9082,279.3119
0.24,210.8757,279.443
0.26,210.8076,279.6985
0.28,210.7599,279.8696
0.3,210.702,280.0768
0.32,210.6541,280.2483
0.34,210.599,280.4456
0.36,210.545,280.6386
0.38,210.491,280.832
0.4,210.4404,281.021
0.42,210.3967,281.1938
0.4400001,210.3473,281.3893
0.4600001,210.2979,281.5848
0.4800001,210.2514,281.7691
0.5000001,210.2039,281.957
0.52,210.1533,282.1574
0.54,210.119,282.293
0.56,210.078,282.4554
0.58,210.0535,282.5522
0.6,210.0412,282.6007
0.6199999,210.0375,282.6155
0.6399999,210.0445,282.5878
0.6599999,210.0603,282.5254
0.6799999,210.0852,282.4266
0.6999999,210.0557,282.1817
0.7199998,210.0035,281.8229
0.7399998,209.9293,281.456
0.7599998,209.8401,281.2931
0.7799998,209.7388,281.1083
0.7999998,209.6496,280.9456
0.8199998,209.5507,280.7789
0.8399997,209.4321,280.6305
0.8599997,209.2967,280.461
0.8799997,209.1761,280.31
0.8999997,209.0563,280.1601
0.9199997,208.9299,280.002
0.9399996,208.8073,279.8485
0.9599996,208.6825,279.6923
0.9799996,208.5507,279.54
0.9999996,208.4839,279.4701
1.02,208.2772,279.2538
1.04,208.1518,279.1225
1.06,208.0136,278.978
1.08,207.8773,278.8353
1.1,207.7389,278.6904
1.12,207.6012,278.5463
1.14,207.4561,278.3945
1.159999,207.3201,278.2559
1.179999,207.1793,278.1144
1.199999,207.0403,277.9748
1.219999,206.9009,277.8347
1.239999,206.7714,277.7046
1.259999,206.6261,277.5586
1.279999,206.484,277.4158
1.299999,206.3974,277.3288
1.319999,206.2053,277.1358
1.339999,206.0589,276.9898
1.359999,205.9179,276.8497
1.379999,205.7945,276.7271
1.399999,205.6526,276.5861
1.419999,205.5092,276.4436
1.439999,205.3666,276.3019
1.459999,205.2187,276.1549
1.479999,205.076,276.0132
1.499999,204.9339,275.872
1.519999,204.811,275.7461
1.539999,204.6969,275.5942
1.559999,204.6064,275.422
1.579999,204.554,275.2688
1.599999,204.5256,275.1303
1.619999,204.5122,274.8901
1.639999,204.5336,274.6829
1.659999,204.5959,274.4554
1.679999,204.69,274.2178
1.699999,204.7961,274.0049
1.719999,204.9046,273.7627
1.739999,204.9131,273.5627
1.759999,204.9162,273.4876
1.779999,204.9295,273.1741
1.799999,204.9364,272.9756
1.819999,204.9409,272.7751
1.839999,204.9454,272.576
1.859999,204.9494,272.3994
1.879999,204.9541,272.19
1.899999,204.958,272.015
1.919999,204.963,271.7932
1.939999,204.967,271.6158
1.959999,204.9715,271.4163
1.979999,204.9701,271.2008
1.999999,204.9641,271.0103
2.019999,204.958,270.8158
