Time,X,Z
0.02,212,276.3
0.04,211.4561,277.1791
0.06,211.4123,277.1389
0.08,211.4123,277.1389
0.09999999,211.3002,277.0364
0.12,211.3002,277.0364
0.14,211.2304,276.9726
0.16,211.2304,276.9726
0.18,211.1489,276.8981
0.2,211.0765,276.8319
0.22,211.021,276.7811
0.24,210.9774,276.7413
0.26,210.9302,276.6981
0.28,210.8881,276.6596
0.3,210.845,276.6201
0.32,210.8029,276.5816
0.34,210.7553,276.5381
0.36,210.7443,276.528
0.38,210.6693,276.4595
0.4,210.6266,276.4205
0.42,210.5836,276.381
0.4400001,210.5361,276.3377
0.4600001,210.4934,276.2986
0.4800001,210.4508,276.2596
0.5000001,210.414,276.226
0.52,210.3642,276.1804
0.54,210.3209,276.1408
0.56,210.2721,276.0962
0.58,210.2297,276.0574
0.6,210.1866,276.018
0.6199999,210.1442,275.9792
0.6399999,210.0999,275.9388
0.6599999,210.0837,275.924
0.6799999,210.0137,275.8582
0.6999999,209.9666,275.8138
0.7199998,209.9245,275.7742
0.7399998,209.8819,275.734
0.7599998,209.8402,275.6947
0.7799998,209.7929,275.6501
0.7999998,209.756,275.6154
0.8199998,209.708,275.5702
0.8399997,209.6641,275.5288
0.8599997,209.6231,275.4902
0.8799997,209.5771,275.4469
0.8999997,209.5337,275.4059
0.9199997,209.4903,275.3651
0.9399996,209.4512,275.3282
0.9599996,209.4295,275.3078
0.9799996,209.3628,275.245
0.9999996,209.319,275.2037
1.02,209.2741,275.1614
1.04,209.2359,275.1254
1.06,209.1913,275.0833
1.08,209.1478,275.0424
1.1,209.1053,275.0023
1.12,209.0997,274.997
1.14,209.0189,274.921
1.159999,208.9713,274.8761
1.179999,208.9287,274.8359
1.199999,208.8868,274.7965
1.219999,208.8446,274.7567
1.239999,208.8021,274.7166
1.259999,208.7751,274.6913
1.279999,208.7161,274.6356
1.299999,208.6701,274.59
1.319999,208.6289,274.5491
1.339999,208.5873,274.5078
1.359999,208.5454,274.4661
1.379999,208.5045,274.4255
1.399999,208.4594,274.3806
1.419999,208.4541,274.3754
1.439999,208.3756,274.2974
1.459999,208.3347,274.2567
1.479999,208.294,274.2163
1.499999,208.2477,274.1703
1.519999,208.2076,274.1304
1.539999,208.1671,274.0901
1.559999,208.1362,274.0594
1.579999,208.0793,274.0029
1.599999,208.0383,273.9622
1.619999,207.9978,273.9219
1.639999,207.9566,273.881
1.659999,207.9139,273.8385
1.679999,207.8732,273.798
1.699999,207.8277,273.7528
1.719999,207.817,273.7422
1.739999,207.7449,273.6706
1.759999,207.7029,273.6288
1.779999,207.6626,273.5887
1.799999,207.6162,273.5427
1.819999,207.5751,273.5018
1.839999,207.5339,273.4609
1.859999,207.4978,273.425
