Time,Novelty Score
0.7886415,0.3493212
1.789756,0.3486086
2.794012,0.346853
3.798051,0.3499108
4.801139,0.3498351
5.802287,0.3490954
6.804121,0.2993132
7.804695,0.3992942
8.810911,0.2999493
9.813857,0.3998377
10.81534,0.3494482
11.82251,0.3478799
12.82526,0.3497977
13.83004,0.3496438
14.83104,0.3482446
15.83272,0.3495114
16.83365,0.3491839
17.8341,0.3489758
18.83414,0.3479048
19.83714,0.3498131
20.838,0.3492217
21.83949,0.3449636
22.84048,0.3493077
23.84279,0.3497543
24.84451,0.3483248
25.84509,0.3491984
26.84524,0.3490224
27.85085,0.3498422
28.8517,0.3492711
29.85238,0.3488382
30.85331,0.3457322
31.85416,0.3494305
32.85867,0.3495464
33.85967,0.3494875
34.86139,0.349724
35.86278,0.3496689
36.86333,0.3493022
37.86412,0.3490684
38.86822,0.3496925
39.86862,0.3483749
40.87028,0.3497664
41.87215,0.2997499
42.87537,0.2999366
43.87731,0.2997765
44.88056,0.3992753
45.88253,0.3497357
46.88371,0.3487983
47.88987,0.3496046
48.89101,0.3481266
49.90482,0.349741
50.90861,0.3493528
51.90981,0.3455251
52.91204,0.3997871
53.91376,0.3497283
54.91621,0.3499885
55.91771,0.3496626
56.91905,0.3496321
57.92145,0.3499477
58.92334,0.3498032
59.93831,0.3497485
60.94089,0.349855
61.942,0.3492603
62.94281,0.3491723
63.94312,0.3487615
64.95296,0.3491013
65.95455,0.4495176
66.96785,0.3994837
67.96937,0.3981726
68.97019,0.3981102
69.97118,0.3981642
70.97143,0.3491143
71.97208,0.34547
72.97221,0.2991486
73.97385,0.1998236
74.9739,0.1993721
75.97495,0.1997288
76.97575,0.1996307
77.97878,0.1999575
78.98071,0.1998686
79.98218,0.1998287
80.98286,0.1996363
81.98358,0.1996226
82.9839,0.1995499
83.9882,0.1998817
84.98939,0.1992421
85.99037,0.1990955
87.0023,0.1997229
88.00465,0.1996168
89.00922,0.1995253
90.01035,0.1988183
91.01352,0.1999965
92.02337,0.1993169
93.02521,0.1996428
94.03061,0.1997323
95.03187,0.199631
96.0327,0.1994221
97.03288,0.2993621
98.03555,0.3498415
99.04131,0.397102
100.0448,0.5499396
101.0514,0.4499789
102.0625,0.4471443
103.0653,0.4493325
104.0692,0.4490668
105.0731,0.4499675
106.0761,0.4496841
107.0762,0.4487472
108.0764,0.4477355
109.0776,0.3988882
110.081,0.3490881
111.0819,0.3492187
112.0835,0.3495382
113.085,0.3494746
114.0892,0.3494758
115.1018,0.3488552
116.1027,0.3491699
117.1049,0.2994181
118.1057,0.3990228
119.112,0.3498286
120.1145,0.3493798
121.1149,0.3487743
122.1254,0.3493964
123.1257,0.3486946
124.1301,0.349151
125.1316,0.3482859
126.1347,0.2998941
127.137,0.2996877
128.1387,0.2994402
129.1419,0.2998833
130.144,0.2994821
131.1448,0.3992146
132.1453,0.3488977
133.1463,0.3485308
134.1503,0.3490578
135.1537,0.349408
136.1564,0.3496199
137.161,0.3493991
138.1636,0.3497498
139.1685,0.3496971
140.1694,0.3483596
141.1719,0.3496244
142.1721,0.3489675
143.1744,0.3498342
144.177,0.3499478
145.1775,0.3492128
146.178,0.3492252
147.1783,0.3492163
148.1803,0.3497534
149.1815,0.34954
150.1821,0.3493471
151.1824,0.3492536
152.1833,0.3494695
153.1846,0.29937
154.19,0.2497894
155.1925,0.1999755
156.1995,0.1983884
157.202,0.1999943
158.2076,0.1998888
159.2092,0.1991498
160.2105,0.1997415
161.2148,0.2982649
162.2169,0.2498194
163.2296,0.249046
164.232,0.249791
165.2326,0.4493507
166.2428,0.3486353
167.2444,0.3494537
168.2495,0.349674
169.258,0.3476185
170.2607,0.3499421
171.2619,0.349672
172.2652,0.3498439
173.269,0.3490013
174.2695,0.3479122
175.2705,0.3483723
176.2729,0.3496559
177.2744,0.349462
178.2749,0.3455387
179.2777,0.3499642
