Time,Novelty Score
0.5043359,0.3961827
1.508494,0.3494307
2.510748,0.3497559
3.511286,0.3491021
4.511685,0.3490568
5.521071,0.3487083
6.522277,0.3457668
7.523736,0.349514
8.527509,0.5493736
9.529819,0.4497746
10.53216,0.4498026
11.53235,0.4488189
12.54107,0.4481568
13.54281,0.4494675
14.54803,0.4497957
15.55002,0.4495849
16.55008,0.4488006
17.56039,0.4478935
18.56197,0.4495656
19.56325,0.3994377
20.5675,0.2997664
21.568,0.2488806
22.57341,0.1985845
23.5755,0.1999087
24.57675,0.1997357
25.57913,0.1999857
26.57995,0.1996804
27.58214,0.1999382
28.58279,0.1996394
29.5877,0.1999826
30.60015,0.1993383
31.60279,0.1999881
32.60297,0.1994781
33.60712,0.1998486
34.61054,0.1982492
35.62011,0.1988668
36.62217,0.2999207
37.62265,0.2494942
38.6237,0.3496419
39.62853,0.2999009
40.63087,0.3998905
41.63235,0.349505
42.63319,0.3493882
43.63368,0.3492313
44.63487,0.4495777
45.63555,0.3993235
46.63761,0.3498826
47.63859,0.3494703
48.63892,0.3492716
49.65076,0.3498104
50.65168,0.3495007
51.65274,0.3495375
52.65366,0.3495378
53.65516,0.349741
54.65693,0.3497622
55.65921,0.2499657
56.66127,0.249931
57.66458,0.3499869
58.66964,0.3997739
59.67094,0.3496607
60.6726,0.3494902
61.67359,0.2496435
62.67447,0.2496245
63.67622,0.1998706
64.67812,0.2999099
65.68024,0.2495499
66.68313,0.4497457
67.68325,0.3486939
68.68845,0.3495964
69.68964,0.3455801
70.69115,0.2986061
71.69175,0.2990624
72.69522,0.2999496
73.6985,0.2999093
74.70145,0.2997723
75.70228,0.2995295
76.7037,0.2967297
77.708,0.2997599
78.70826,0.3985626
79.71031,0.3498755
80.71185,0.2997426
81.71315,0.2996362
82.71389,0.2995092
83.71461,0.299519
84.87535,0.2663913
85.87637,0.2996207
86.87689,0.2991731
87.87862,0.2995462
88.88055,0.2995545
89.88115,0.3990202
90.88341,0.3498872
91.88972,0.3493802
92.89302,0.3498768
93.89636,0.3495288
94.89909,0.3498711
95.90644,0.3472784
96.91028,0.3484328
97.91218,0.3480022
98.91223,0.3486816
99.91506,0.3497139
100.9157,0.3464877
101.9181,0.3496308
102.9205,0.3496201
103.9222,0.3493104
104.9234,0.3493319
105.9255,0.2992299
106.9381,0.1993198
107.9411,0.1998453
108.9433,0.1999639
109.9476,0.1998695
110.9497,0.1993423
111.9519,0.199225
112.9541,0.1998013
113.9548,0.1996546
114.9559,0.1996586
115.9585,0.1999963
116.9595,0.1996685
117.9598,0.149661
118.9609,0.1497748
119.9621,0.1497088
120.9637,0.1498825
121.9653,0.1481216
122.9656,0.1494122
123.9704,0.1497587
124.9728,0.1498497
125.9733,0.1495526
126.9761,0.09995176
127.9777,0.09977856
128.9778,0.09937714
129.9786,0.1996922
130.9819,0.1499398
131.9882,0.1499521
132.9888,0.2491376
133.9915,0.1991995
134.9924,0.1996561
135.9942,0.1998242
136.9946,0.1994874
137.9964,0.1998397
138.9992,0.299971
139.9996,0.2492621
141.0016,0.3497302
142.0047,0.2499492
143.0104,0.1998239
144.013,0.1997234
145.0253,0.1996359
146.0254,0.1990196
147.0317,0.199935
148.0343,0.1997008
149.0352,0.1996302
150.0363,0.1996384
151.039,0.1999485
152.0454,0.1981319
153.0475,0.1993111
154.0493,0.1991359
155.0509,0.1997618
156.0527,0.2997341
157.057,0.2494487
158.0582,0.4492934
159.0597,0.3491413
160.061,0.3490172
161.0614,0.3488636
162.0641,0.3499442
163.07,0.3499998
164.0708,0.3492742
165.0735,0.3499309
166.0874,0.3499174
167.0896,0.3486923
168.09,0.3479293
169.091,0.3494226
170.1046,0.3493253
171.1089,0.3495451
172.1093,0.3481146
173.1094,0.3477643
174.1113,0.3494495
175.1132,0.3495648
176.1149,0.349427
177.1151,0.3491271
178.1181,0.3499434
179.118,0.3490435
