Time,Novelty Score
1.000371,0.3
2.001446,0.09989837
3.004384,0.09993879
4.006365,0.199995
5.015455,0.0995528
6.104608,0.1984368
7.106621,0.1499789
8.106802,0.1497348
9.1078,0.1498553
10.11082,0.1486606
11.11203,0.1498926
12.11369,0.1499619
13.11383,0.1497286
14.11506,0.1499007
15.11649,0.0999546
16.11737,0.04994929
17.11803,0.04993751
18.12346,0.04967881
19.12368,0.04984259
20.12437,0.04986624
21.1261,0.04999269
22.12745,0.04997187
23.12797,0.04992264
24.12801,0.04988404
25.1281,0.04987798
26.13013,0.04997656
27.13198,0.04996606
28.13458,0.1499933
29.13591,0.1998879
30.1376,0.1498291
31.1394,0.1498945
32.14019,0.1497601
33.1426,0.1499735
34.14478,0.1497394
35.14536,0.2494882
36.14592,0.1993453
37.1473,0.1998076
38.14774,0.1996033
39.14985,0.1999585
40.1501,0.1996051
41.15189,0.2999116
42.15389,0.2499248
43.15425,0.2495104
44.15554,0.2497377
45.15778,0.2499292
46.1603,0.249999
47.1607,0.2495612
48.17067,0.2484089
49.17276,0.2499968
50.17321,0.2495683
51.17329,0.2494708
52.17504,0.2499138
53.17689,0.2499111
54.17776,0.2496334
55.17782,0.2494136
56.18474,0.2485683
57.1855,0.2492377
58.18583,0.2495411
59.18791,0.2499722
60.1893,0.1998355
61.19037,0.1482814
62.1925,0.1499925
63.19257,0.1496985
64.19347,0.1498298
65.19533,0.1499075
66.20429,0.149358
67.2061,0.1499372
68.20798,0.1499372
69.20942,0.1498547
70.21019,0.1498172
71.21043,0.1496731
72.2345,0.1489367
73.23466,0.1497205
74.23621,0.1499662
75.23739,0.1498374
76.23865,0.1498557
77.23927,0.1497038
78.24152,0.1499709
79.24388,0.149745
80.24571,0.1496708
81.24615,0.1494021
82.24715,0.149698
83.24789,0.149738
84.25063,0.1497697
85.25084,0.1496547
86.2552,0.1497524
87.25605,0.3497994
88.2562,0.3495249
89.25643,0.2994498
90.26483,0.2984707
91.26614,0.299756
92.2681,0.2999162
93.26966,0.299858
94.27097,0.3997678
95.27371,0.3498653
96.27529,0.3498184
97.28539,0.2456114
98.2875,0.2499627
99.29059,0.2479426
100.2914,0.2497386
101.2918,0.2495953
102.292,0.2495692
103.2929,0.2497615
104.2933,0.2496042
105.2948,0.2498858
106.2962,0.2498523
107.2967,0.249517
108.2985,0.2499402
109.3001,0.2498369
110.3048,0.2499313
111.3065,0.2498316
112.3182,0.2497135
113.3194,0.2496995
114.3199,0.2496023
115.3223,0.2499059
116.3252,0.3497849
117.3272,0.3998712
118.329,0.2997383
119.3291,0.2993504
120.3307,0.2965283
121.3311,0.2993911
122.3415,0.2990842
123.3415,0.2993461
124.3453,0.2996321
125.3472,0.2999469
126.3472,0.2994145
127.3572,0.2492147
128.3587,0.2498681
129.3598,0.2497659
130.3609,0.1998065
131.3608,0.149717
132.3647,0.1498834
133.3651,0.1494752
134.3656,0.1497724
135.3761,0.09987662
136.377,0.09989916
137.3777,0.09987537
138.3793,0.09996261
139.3798,0.09985305
140.3798,0.09981787
141.3801,0.09986085
142.3806,0.09986007
143.3878,0.09951635
144.3895,0.09981678
145.3908,0.09987039
146.3923,0.09993499
147.3949,0.09999698
148.3976,0.1991043
149.3985,0.1497318
150.4096,0.1483543
151.4097,0.1496368
152.4117,0.1499424
153.4129,0.2497932
154.4155,0.1999585
155.4202,0.2982913
156.4204,0.3494718
157.4204,0.299287
158.4339,0.3998492
159.4355,0.3497873
160.4357,0.2493975
161.4372,0.2497884
162.4392,0.2497536
163.4397,0.2496317
164.4426,0.2493065
165.4448,0.2496082
166.4453,0.2496274
167.4464,0.2488893
168.4475,0.2497223
169.4491,0.2498457
170.4495,0.2495548
171.4509,0.2497741
172.4529,0.1999768
173.4632,0.1997578
174.4638,0.1993833
175.4653,0.1998863
176.4662,0.1997297
177.4666,0.1996966
178.4668,0.1497102
179.4668,0.1497032
