Time,Novelty Score
0.4129801,0.3496981
1.414241,0.2997408
2.41525,0.2995216
3.416108,0.2995149
4.416175,0.2494511
5.418053,0.2499283
6.423573,0.248347
7.42542,0.3499233
8.425802,0.2994363
9.427442,0.299877
10.42894,0.2983933
11.43386,0.2969352
12.43705,0.2999818
13.43827,0.2992055
14.43975,0.2995413
15.44007,0.2991667
16.44229,0.2997902
17.44617,0.2998714
18.44631,0.2990856
19.44689,0.2993062
20.45439,0.298512
21.45505,0.2993316
22.45767,0.2999212
23.46018,0.2998884
24.46244,0.2498453
25.46428,0.2497514
26.46658,0.2498938
27.4692,0.2475784
28.47094,0.2492389
29.47219,0.3491712
30.48574,0.2954514
31.48622,0.3994323
32.49099,0.4499043
33.49235,0.3984184
34.49244,0.3491762
35.49275,0.3492757
36.49399,0.3495682
37.4948,0.2496152
38.49491,0.2494091
39.49533,0.1996352
40.49654,0.1997597
41.49683,0.1995284
42.49731,0.1996447
43.49889,0.1996066
44.49898,0.1994952
45.50064,0.299493
46.50309,0.2498196
47.50401,0.4494646
48.50585,0.3495255
49.50694,0.4493627
50.5079,0.3992566
51.51309,0.3494189
52.51611,0.3499709
53.52279,0.2983344
54.5283,0.2978987
55.53122,0.2994687
56.54011,0.398432
57.54086,0.4493682
58.54129,0.3991733
59.54136,0.3990428
60.54374,0.3998085
61.55575,0.3997086
62.55592,0.3989907
63.55703,0.3993399
64.55865,0.3496213
65.56011,0.3496849
66.56212,0.3495021
67.56273,0.4489992
68.56362,0.3991465
69.56497,0.399539
70.56712,0.3498431
71.57191,0.2999616
72.5761,0.2975797
73.57714,0.299453
74.57744,0.2993306
75.59166,0.2999472
76.59366,0.2988827
77.59581,0.2999152
78.60099,0.2968875
79.60178,0.2994815
80.60415,0.2999604
81.60509,0.2992074
82.60717,0.2962708
83.61045,0.299583
84.61435,0.2992343
85.61452,0.299135
86.62579,0.2996417
87.62621,0.2962494
88.62742,0.2965136
89.63158,0.299658
90.63282,0.2988051
91.63297,0.2985044
92.63481,0.2497346
93.63548,0.2469665
94.63651,0.2494565
95.64295,0.2478515
96.64496,0.2496171
97.64547,0.2495039
98.64745,0.3499106
99.6498,0.4993576
100.6504,0.398218
101.6519,0.3987134
102.6563,0.3472416
103.6582,0.3497958
104.6599,0.3497561
105.6613,0.2497851
106.6615,0.249479
107.6635,0.1998743
108.6637,0.1995709
109.6651,0.1988397
110.6672,0.1997615
111.6703,0.1996234
112.6718,0.1975606
113.6726,0.1991297
114.6741,0.1998315
115.6762,0.1999285
116.678,0.2997232
117.6826,0.248023
118.6849,0.2499615
119.6862,0.3496514
120.6907,0.2499323
121.693,0.349925
122.695,0.3998193
123.6964,0.3495661
124.6965,0.3490738
125.6967,0.4490993
126.6983,0.3996057
127.6984,0.5491881
128.6989,0.4491705
129.7109,0.3982806
130.7126,0.3997372
131.7133,0.3992612
132.7237,0.3992636
133.7256,0.3996733
134.7263,0.3944929
135.7271,0.399079
136.7274,0.3990793
137.7377,0.3989172
138.7397,0.3996966
139.7399,0.3989873
140.74,0.2992759
141.7422,0.4996932
142.7444,0.3996458
143.7449,0.3984132
144.7563,0.4993358
145.7582,0.3997427
146.7584,0.3991174
147.7584,0.4491819
148.7598,0.3495961
149.7624,0.3499591
150.7632,0.4493718
151.7647,0.3996224
152.7653,0.2994411
153.7673,0.299905
154.7712,0.2498332
155.7729,0.2997059
156.7737,0.2496454
157.7817,0.2483659
158.7825,0.1996682
159.7842,0.1998887
160.7858,0.199849
161.7891,0.2998041
162.7914,0.2474296
163.7919,0.4487289
164.7925,0.348338
165.7962,0.349907
166.7982,0.4496594
167.7985,0.3989996
168.8013,0.3499728
169.8032,0.2958243
170.8044,0.2995912
171.8059,0.2997073
172.8105,0.3999179
173.8131,0.4499844
174.8241,0.399436
175.8264,0.3999446
176.8368,0.3993532
177.8392,0.3998718
178.8414,0.3999717
179.8431,0.3995064
