Time,X,Z
0.02,273.6071,139.7878
0.04,273.6071,139.7878
0.06,273.6255,140.2254
0.08,273.6751,140.4175
0.09999999,273.7326,140.5509
0.12,273.838,140.7188
0.14,273.9738,140.8719
0.16,274.121,140.9679
0.18,274.3161,141.0313
0.2,274.5816,141.0755
0.22,274.7093,141.0849
0.24,275.1988,141.0739
0.26,275.5072,141.0507
0.28,275.6786,141.1101
0.3,275.8943,141.1361
0.32,276.0784,141.1499
0.34,276.2759,141.1647
0.36,276.4911,141.1808
0.38,276.6938,141.196
0.4,276.894,141.211
0.42,277.0965,141.2262
0.4400001,277.2167,141.2352
0.4600001,277.5036,141.2401
0.4800001,277.682,141.241
0.5000001,277.9008,141.2421
0.52,277.992,141.2425
0.54,278.2948,141.2441
0.56,278.4941,141.2451
0.58,278.6954,141.2461
0.6,278.8938,141.2471
0.6199999,279.0928,141.245
0.6399999,279.2977,141.2428
0.6599999,279.4973,141.2406
0.6799999,279.6846,141.2386
0.6999999,279.8849,141.2364
0.7199998,280.0834,141.2343
0.7399998,280.2844,141.2321
0.7599998,280.4957,141.2298
0.7799998,280.6924,141.2314
0.7999998,280.8883,141.2338
0.8199998,280.9979,141.2352
0.8399997,281.2954,141.2389
0.8599997,281.4982,141.2414
0.8799997,281.697,141.2439
0.8999997,281.8833,141.2462
0.9199997,282.0818,141.2487
0.9399996,282.3015,141.2496
0.9599996,282.4839,141.2496
0.9799996,282.6966,141.2495
0.9999996,282.8923,141.2494
1.02,283.0936,141.2493
1.04,283.292,141.2493
1.06,283.5019,141.2492
1.08,283.7007,141.2491
1.1,283.897,141.2485
1.12,284.0286,141.2478
1.14,284.2817,141.2465
1.159999,284.4867,141.2453
1.179999,284.6825,141.2443
1.199999,284.8817,141.2432
1.219999,285.1019,141.242
1.239999,285.3002,141.2409
1.259999,285.5022,141.2463
1.279999,285.6892,141.2625
1.299999,285.8876,141.2796
1.319999,286.0844,141.2966
1.339999,286.2813,141.3136
1.359999,286.4803,141.3308
1.379999,286.685,141.3485
1.399999,286.8794,141.3653
1.419999,287.0667,141.4204
1.439999,287.2586,141.5011
1.459999,287.4408,141.5777
1.479999,287.6273,141.656
1.499999,287.8089,141.7323
1.519999,287.9897,141.8083
1.539999,288.1545,141.9184
1.559999,288.2855,142.0606
1.579999,288.3612,142.1429
1.599999,288.5544,142.3526
1.619999,288.687,142.4966
1.639999,288.8191,142.6402
1.659999,288.9806,142.7859
1.679999,289.1188,142.8978
1.699999,289.2783,143.0267
1.719999,289.4298,143.1493
1.739999,289.5949,143.2828
1.759999,289.7467,143.4056
1.779999,289.9297,143.4644
1.799999,290.1353,143.5063
1.819999,290.3301,143.5459
1.839999,290.5249,143.5856
1.859999,290.7189,143.6251
1.879999,290.8462,143.6511
1.899999,291.1075,143.7043
1.919999,291.3056,143.714
1.939999,291.5052,143.7211
1.959999,291.7032,143.7281
1.979999,291.8904,143.7347
1.999999,292.0976,143.7421
2.019999,292.2916,143.749
2.039999,292.5095,143.7567
2.059999,292.709,143.7638
2.079999,292.894,143.7769
2.099999,293.0981,143.7913
2.119999,293.308,143.8062
2.139999,293.4866,143.8188
2.159999,293.6911,143.8333
2.179999,293.8717,143.8461
2.199999,294.1025,143.8624
2.219999,294.3035,143.8903
2.239999,294.4951,143.9524
2.259999,294.6845,144.0138
2.279999,294.8737,144.0752
2.299999,295.0624,144.1363
2.319999,295.2562,144.1992
2.339998,295.4334,144.2566
2.359998,295.582,144.3849
2.379998,295.7218,144.5242
2.399998,295.8611,144.6631
2.419998,296.0109,144.8123
2.439998,296.1348,144.9357
2.459998,296.2804,145.0808
