Time,Interest Value
0,0
0.5000001,0
0.9999996,0
1.499999,0
1.999999,0
2.499998,0
2.999998,0
3.499997,0
3.999997,0
4.499997,0
4.999996,0
5.499996,0
5.999995,0
6.499995,0
6.999994,0
7.499994,0
7.999993,0
8.500005,0
9.000016,0
9.500028,0
10.00004,0
10.50005,0
11.00006,0
11.50007,0
12.00008,0
12.5001,0
13.00011,0
13.50012,0
14.00013,0
14.50014,0
15.00015,0
15.50016,0
16.00018,0
16.50019,0
17.0002,0
17.50021,0
18.00022,0
18.50023,0
19.00024,0
19.50026,1
20.00027,1
20.50028,1
21.00029,1
21.5003,1
22.00031,1
22.50032,1
23.00034,1
23.50035,1
24.00036,1
24.50037,1
25.00038,1
25.50039,1
26.0004,1
26.50042,1
27.00043,1
27.50044,1
28.00045,1
28.50046,1
29.00047,1
29.50048,1
30.0005,1
30.50051,1
31.00052,1
31.50053,1
32.00054,1
32.50055,1
33.00056,1
33.50058,1
34.00059,1
34.5006,1
35.00061,1
35.50062,1
36.00063,1
36.50064,1
37.00066,1
37.50067,1
38.00068,1
38.50069,1
39.0007,0.9271405
39.50071,0.7372004
40.00072,0.5451743
40.50074,0.3042453
41.00075,0.1496644
41.50076,0.3633298
42.00077,0.2799251
42.50078,0.241687
43.00079,0.190644
43.5008,0.1328256
44.00082,0.06639981
44.50083,0.0436791
45.00084,0.02348289
45.50085,0.01623521
46.00086,0.01125936
46.50087,0.006053957
47.00089,0
47.5009,0
48.00091,0
48.50092,0
49.00093,0
49.50094,0
50.00095,0
50.50097,0
51.00098,0
51.50099,0
52.001,0
52.50101,0
53.00102,0
53.50103,0
54.00105,0
54.50106,0
55.00107,0
55.50108,0
56.00109,0
56.5011,0
57.00111,0
57.50113,0
58.00114,0
58.50115,0
59.00116,0
59.50117,0
60.00118,0
60.50119,0
61.00121,0
61.50122,0
62.00123,0
62.50124,0
63.00125,0
63.50126,0
64.00127,0
64.50119,0
65.00111,0
65.50102,0
66.00094,0
66.50085,0
67.00077,0
67.50069,0
68.0006,0
68.50052,0
69.00043,0
69.50035,0
70.00027,0
70.50018,0
71.0001,0
71.50002,0
71.99993,0
72.49985,0
72.99976,0
73.49968,0
73.9996,0
74.49951,0
74.99943,0
75.49934,0
75.99926,0
76.49918,0
76.99909,0
77.49901,1
77.99892,1
78.49884,0.8945125
78.99876,0.6935059
79.49867,0.5960224
79.99859,0.6433984
80.4985,1
80.99842,1
81.49834,1
81.99825,1
82.49817,1
82.99809,1
83.498,1
83.99792,1
84.49783,1
84.99775,1
85.49767,1
85.99758,1
86.4975,1
86.99741,1
87.49733,1
87.99725,1
88.49716,1
88.99708,1
89.49699,1
89.99691,1
90.49683,1
90.99674,1
91.49666,1
91.99657,1
92.49649,1
92.99641,1
93.49632,1
93.99624,1
94.49615,1
94.99607,1
95.49599,1
95.9959,1
96.49582,1
96.99574,1
97.49565,1
97.99557,1
98.49548,1
98.9954,1
99.49532,1
99.99523,1
100.4951,1
100.9951,1
101.495,1
101.9949,1
102.4948,0.6351272
102.9947,0.4115705
103.4946,0.2225883
103.9946,0.1907398
104.4945,0.0692346
104.9944,0.1531758
105.4943,1
105.9942,1
106.4941,1
106.9941,0.005452751
107.494,0
107.9939,1
108.4938,1
108.9937,1
109.4936,1
109.9936,1
110.4935,1
110.9934,0.9569345
111.4933,0.6213711
111.9932,0.3504184
112.4931,0.1753669
112.993,0.07625394
113.493,0.04453035
113.9929,0.01787367
114.4928,0.00720384
114.9927,0.003573797
115.4926,0
115.9925,0.1798144
116.4925,0.08510794
116.9924,0.09043342
117.4923,0.05747195
117.9922,1
118.4921,1
118.992,1
119.492,1
119.9919,0.9221141
120.4918,1
120.9917,1
121.4916,1
121.9915,1
122.4915,1
122.9914,0.8789332
123.4913,1
123.9912,1
124.4911,1
124.991,1
125.491,1
125.9909,1
126.4908,1
126.9907,0.6337008
127.4906,0.9597176
127.9905,1
128.4906,1
128.9907,1
129.4908,1
129.991,1
130.4911,1
130.9912,1
131.4913,1
131.9914,1
132.4915,1
132.9916,0.806825
133.4917,0.5093978
133.9918,0.6044081
134.4919,0.2463081
134.992,0.4482062
135.4921,0.2512417
135.9922,0.2234106
136.4923,0.1869336
136.9924,0.1571111
137.4926,0.1891031
137.9927,0.1078928
138.4928,0.07959773
138.9929,0.05998936
139.493,0.05104673
139.9931,0.02962581
140.4932,0.01559482
140.9933,0.01268649
141.4934,0.004072591
141.9935,0
142.4936,0
142.9937,0
143.4938,0
143.9939,0
144.494,0
144.9942,0
145.4943,0
145.9944,0
146.4945,1
146.9946,1
147.4947,1
147.9948,1
148.4949,1
148.995,0.8428607
149.4951,0.5946298
149.9952,0.4510408
150.4953,0.3169183
150.9954,0.2554796
151.4955,0.1166121
151.9957,0.5305928
152.4958,0.4840664
152.9959,0.03652197
153.496,1
153.9961,1
154.4962,1
154.9963,1
155.4964,1
155.9965,1
156.4966,1
156.9967,1
157.4968,1
157.9969,1
158.497,1
158.9971,1
159.4973,1
159.9974,1
160.4975,1
160.9976,1
161.4977,1
161.9978,1
162.4979,1
162.998,0.9241207
163.4981,0.5890092
163.9982,0.1846693
164.4983,0.1211943
164.9984,0.007739728
165.4985,0
165.9986,0
166.4987,1
166.9989,1
167.499,1
167.9991,0.7801415
168.4992,0
168.9993,1
169.4994,1
169.9995,0.7198038
170.4996,0.540584
170.9997,0.1752036
171.4998,0.3531547
171.9999,0.5599036
172.5,0.4281742
173.0001,0.2186819
173.5002,0.09448417
174.0004,0.03581734
174.5005,0.1838817
175.0006,0.1900071
175.5007,0.1502609
176.0008,0.1128245
176.5009,0.0681076
177.001,0.04339671
177.5011,0.02978728
178.0012,0.01598276
178.5013,0.002935101
179.0014,0
179.5015,0.002963651
180.0016,0
