Time,Novelty Score
0.7722858,0.04971003
1.772598,0.04941285
2.783373,0.04985216
3.793266,0.0498885
4.793577,0.04882939
5.802828,0.04976923
6.822178,0.0498859
7.834483,0.04997997
8.83818,0.04899066
9.849282,0.04997213
10.858,0.04926677
11.861,0.0494617
12.86232,0.04937821
13.87136,0.04987502
14.87236,0.0494276
15.88246,0.04980015
16.89065,0.04982255
17.89931,0.04974474
18.908,0.1497331
19.91822,0.09863462
20.92013,0.2988347
21.9275,0.2968087
22.93145,0.3481069
23.94171,0.3966543
24.949,0.3477838
25.9529,0.3472753
26.95403,0.346304
27.96598,0.349429
28.97427,0.3488111
29.98034,0.3473389
30.9894,0.3484245
31.99686,0.3478713
33.00835,0.3457848
34.0095,0.3463249
35.02351,0.3472183
36.0277,0.3465298
37.04062,0.3459323
38.05136,0.3489093
39.05816,0.3476071
40.06145,0.3429362
41.07541,0.3462314
42.0851,0.3485078
43.08757,0.3457201
44.09983,0.3461052
45.10426,0.2474042
46.12473,0.2498076
47.13113,0.2455586
48.14857,0.2485238
49.15294,0.2452235
50.15969,0.2482236
51.18153,0.2496912
52.21414,0.245709
53.22711,0.2498045
54.22916,0.2471007
55.23665,0.2484997
56.25053,0.2474162
57.26604,0.2480236
58.27828,0.2470906
59.28244,0.2453232
60.28748,0.2473391
61.29266,0.2483155
62.29777,0.2479194
63.30221,0.2476357
64.30373,0.2469843
65.30623,0.2471419
66.31537,0.2478755
67.32435,0.2485825
68.33297,0.2493165
69.33997,0.2464443
70.34798,0.1989004
71.3517,0.1982507
72.35724,0.1488301
73.36497,0.09941998
74.37466,0.09980311
75.37908,0.1990402
76.3894,0.2497838
77.40175,0.1995188
78.41805,0.1986571
79.41872,0.2959068
80.43204,0.2475514
81.44235,0.2488551
82.45571,0.2474917
83.46674,0.249325
84.47279,0.2485505
85.49563,0.249759
86.5038,0.2462119
87.50645,0.2471942
88.51537,0.2462515
89.51965,0.2473668
90.54115,0.249434
91.55059,0.2495144
92.55706,0.2456729
93.56759,0.2492337
94.57934,0.2495132
95.58165,0.2446295
96.58795,0.2480968
97.59074,0.2443201
98.59471,0.2478814
99.61698,0.2496346
100.6207,0.2469334
101.6248,0.2451229
102.6379,0.2495536
103.6407,0.2472632
104.6504,0.2495154
105.6599,0.248758
106.6651,0.2477731
107.6683,0.2470274
108.6777,0.2463478
109.6972,0.2487003
110.6979,0.246791
111.7086,0.2465629
112.7133,0.248349
113.7352,0.24937
114.7459,0.2492302
115.746,0.2465791
116.7516,0.2454153
117.7614,0.3490222
118.7685,0.3979946
119.7739,0.3478918
120.7793,0.3468108
121.7892,0.3485337
122.8021,0.3497515
123.8172,0.3450314
124.8183,0.3455766
125.8257,0.3476993
126.8298,0.3430997
127.8384,0.3482368
128.856,0.3474494
129.8639,0.3479868
130.8753,0.3455202
131.884,0.3481242
132.9292,0.3110725
133.9344,0.3434136
134.9408,0.3473363
135.9429,0.3454873
136.946,0.346092
137.9686,0.3493972
138.9783,0.3484715
139.9927,0.2474007
140.9979,0.2453845
142.0128,0.2472498
143.0268,0.2494949
144.0276,0.2464423
145.0431,0.2480088
146.0518,0.2487481
147.0641,0.247587
148.0675,0.2473479
149.0812,0.2499923
150.0931,0.2479823
151.0962,0.244811
152.0999,0.2474896
153.1083,0.2485337
154.1107,0.2470186
155.1193,0.2487294
156.1212,0.2452113
157.1226,0.2468695
158.1231,0.2463821
159.1299,0.2482915
160.1386,0.2487572
161.1409,0.2463251
162.1431,0.1976456
163.1546,0.1480237
164.1668,0.1496933
165.1741,0.09943261
166.184,0.09957473
167.1945,0.1998655
168.202,0.1478024
169.2102,0.2494644
170.2239,0.2999667
171.232,0.2487323
172.2394,0.2460518
173.2519,0.2499143
174.2542,0.2476389
175.2684,0.2497892
176.2797,0.2492564
177.2893,0.2466027
178.291,0.2444895
179.2928,0.24693
