Time,X,Z
0.02,116.4492,15.19297
0.04,116.4492,15.19297
0.06,116.6489,15.47611
0.08,116.7964,15.68534
0.09999999,116.9538,15.90845
0.12,117.0304,16.01717
0.14,117.1864,16.23839
0.16,117.3204,16.42837
0.18,117.4028,16.54525
0.2,117.4567,16.6741
0.22,117.503,16.80431
0.24,117.5833,17.03016
0.26,117.6782,17.29684
0.28,117.7625,17.53383
0.3,117.8033,17.64832
0.32,117.8954,17.90719
0.34,117.9374,18.02519
0.36,117.9739,18.16118
0.38,117.9884,18.30368
0.4,118.0265,18.67925
0.42,118.0385,18.79677
0.4400001,118.068,19.08797
0.4600001,118.0803,19.2086
0.4800001,118.1086,19.48778
0.5000001,118.1215,19.61463
0.52,118.1337,19.75417
0.54,118.1394,19.90306
0.56,118.1541,20.28737
0.58,118.1586,20.40669
0.6,118.1693,20.68633
0.6199999,118.1738,20.80357
0.6399999,118.1844,21.08153
0.6599999,118.1893,21.21125
0.6799999,118.1945,21.35022
0.6999999,118.195,21.48919
0.7199998,118.1963,21.87202
0.7399998,118.1968,21.99139
0.7599998,118.1978,22.28176
0.7799998,118.1982,22.39926
0.7999998,118.1992,22.6824
0.8199998,118.1996,22.80128
0.8399997,118.1979,23.08322
0.8599997,118.1979,23.08322
0.8799997,118.1893,23.47069
0.8999997,118.1866,23.58767
0.9199997,118.1805,23.86333
0.9399996,118.1778,23.98199
0.9599996,118.1717,24.25721
0.9799996,118.1689,24.38461
0.9999996,118.1645,24.66423
1.02,118.1688,24.88248
1.04,118.1716,25.02559
1.06,118.1743,25.16593
1.08,118.1801,25.45995
1.1,118.1824,25.57693
1.12,118.1879,25.8571
1.14,118.1902,25.97687
1.159999,118.2162,26.25526
1.179999,118.2872,26.46851
1.199999,118.3316,26.60197
1.219999,118.3772,26.73896
1.239999,118.4665,27.0073
1.259999,118.5033,27.11805
1.279999,118.5918,27.3839
1.299999,118.6987,27.44716
1.319999,118.94,27.57907
1.339999,119.1268,27.68118
1.359999,119.2507,27.74889
1.379999,119.3697,27.81394
1.399999,119.6181,27.94972
1.419999,119.7332,27.98399
1.439999,120.0006,28.05909
1.459999,120.1127,28.09058
1.479999,120.3784,28.16522
1.499999,120.594,28.22577
1.519999,120.727,28.26314
1.539999,120.8712,28.30366
1.559999,121.0687,28.49892
1.579999,121.1488,28.58717
1.599999,121.3451,28.8035
1.619999,121.433,28.90034
1.639999,121.6208,29.10718
1.659999,121.7133,29.29664
1.679999,121.7343,29.43548
1.699999,121.7549,29.57213
1.719999,121.7978,29.85561
1.739999,121.8157,29.97386
1.759999,121.8575,30.25046
1.779999,121.8755,30.36934
1.799999,121.9162,30.64742
1.819999,121.9162,30.64742
1.839999,121.9177,31.03828
1.859999,121.9182,31.15792
1.879999,121.9193,31.43899
1.899999,121.9197,31.5561
1.919999,121.9208,31.82885
1.939999,121.9212,31.95572
1.959999,121.9223,32.23922
1.979999,121.9223,32.23922
1.999999,121.9315,32.51444
2.019999,121.9385,32.71093
2.039999,121.9451,32.89568
2.059999,121.9518,33.08447
2.079999,121.9581,33.26255
2.099999,121.9581,33.26255
2.119999,121.971,33.62605
2.139999,121.9902,33.83824
2.159999,122.0881,34.09777
2.179999,122.1859,34.35696
2.199999,122.2272,34.46628
2.219999,122.324,34.72284
2.239999,122.3652,34.83184
2.259999,122.5511,35.02349
2.279999,122.6563,35.07222
2.299999,122.7823,35.13058
2.319999,122.9984,35.23074
2.339998,123.252,35.34823
2.359998,123.3605,35.39851
2.379998,123.6345,35.4738
2.399998,123.7494,35.48108
2.419998,124.0325,35.49899
2.439998,124.1519,35.50656
2.459998,124.2936,35.51553
2.479998,124.5384,35.53102
2.499998,124.8207,35.54889
2.519998,124.9419,35.55656
2.539998,125.1665,35.57078
2.559998,125.2365,35.57521
2.579998,125.3517,35.5825
2.599998,125.3732,35.58386
2.619998,125.3821,35.58443
2.639998,125.3523,35.58254
2.659998,125.2475,35.5759
2.679998,125.1793,35.57159
2.699998,124.7894,35.65176
2.719998,124.5671,35.70686
2.739998,124.3006,35.84598
2.759998,124.196,35.90574
2.779998,124.0731,35.97596
2.799998,123.8589,36.09827
2.819998,123.6154,36.23739
2.839998,123.5113,36.29681
2.859998,123.2697,36.43482
2.879998,123.1723,36.49883
2.899998,122.9486,36.6813
2.919998,122.8592,36.75426
2.939998,122.7511,36.84243
2.959998,122.4633,37.07724
2.979998,122.3734,37.15058
2.999998,122.1498,37.33306
3.019998,122.0573,37.40851
3.039998,121.8431,37.58324
3.059998,121.7534,37.65594
3.079998,121.5351,37.83015
3.099998,121.5351,37.83015
3.119998,121.235,38.06953
3.139998,121.143,38.14293
3.159998,120.9273,38.31509
3.179998,120.8354,38.38837
3.199998,120.6155,38.5638
3.219998,120.5183,38.64141
3.239998,120.2822,38.78001
3.259998,120.0804,38.85426
3.279998,119.9491,38.90255
3.299998,119.8186,38.95056
3.319998,119.5522,39.04855
3.339998,119.4403,39.08974
3.359998,119.1836,39.18417
3.379997,119.0705,39.22577
3.399997,118.7972,39.2969
3.419997,118.5753,39.3056
3.439997,118.4346,39.31112
3.459997,118.2982,39.31646
3.479997,118.0186,39.32743
3.499997,117.7624,39.33747
3.519997,117.6418,39.34221
3.539997,117.5127,39.34727
3.559997,117.3374,39.40842
3.579997,117.262,39.50938
3.599997,117.2428,39.59445
3.619997,117.2685,39.82276
3.639997,117.3104,39.95396
3.659997,117.4634,40.28646
3.679997,117.5546,40.44958
3.699997,117.8217,40.88535
3.719997,117.9597,41.09608
3.739997,117.9892,41.34723
3.759997,117.9988,41.49416
3.779997,118.0174,41.77832
3.799997,118.0249,41.89397
3.819997,118.043,42.17092
3.839997,118.0512,42.29558
3.859997,118.0599,42.44532
3.879997,118.0666,42.59281
3.899997,118.0774,42.82859
3.919997,118.0902,43.10938
3.939997,118.0956,43.22691
3.959997,118.1087,43.51292
3.979997,118.1141,43.63152
3.999997,118.1269,43.91093
4.019997,118.1347,44.02834
4.039997,118.1405,44.16191
4.059997,118.1235,44.38093
4.079997,118.0575,44.63815
4.099997,118.0146,44.74418
4.119997,117.8797,44.98475
4.139997,117.808,45.08367
4.159997,117.6086,45.30601
4.179997,117.5032,45.40341
4.199997,117.3651,45.50481
4.219997,117.0427,45.6302
4.239997,116.8152,45.80367
4.259997,116.7236,45.87905
4.279997,116.4985,46.06447
4.299997,116.4098,46.13756
4.319997,116.1942,46.31517
4.339997,116.1021,46.39102
4.359997,115.9871,46.46851
4.379997,115.7569,46.52698
4.399997,115.4759,46.59838
4.419997,115.363,46.62707
4.439997,115.096,46.69493
4.459997,114.9808,46.72418
4.479997,114.7144,46.79187
4.499997,114.5919,46.823
4.519997,114.4456,46.85052
4.539997,114.064,46.87064
4.559997,113.9482,46.87674
4.579997,113.8085,46.8841
4.599997,113.5136,46.89965
4.619997,113.3941,46.90594
4.639997,113.117,46.92054
4.659997,112.9977,46.92683
4.679996,112.8573,46.93376
4.699996,112.4719,46.93494
4.719996,112.3545,46.9353
4.739996,112.0683,46.93619
4.759996,111.9534,46.93654
4.779996,111.6774,46.93739
4.799996,111.5579,46.93776
4.819996,111.2719,46.93864
4.839996,111.2719,46.93864
4.859996,110.896,46.92987
4.879996,110.7789,46.92677
4.899996,110.5024,46.91947
4.919996,110.3754,46.91611
4.939996,110.0962,46.90873
4.959996,109.9757,46.90555
4.979996,109.6914,46.89804
4.999996,109.4769,46.89175
5.019996,109.3272,46.88707
5.039996,109.1873,46.88269
5.059996,108.9091,46.874
5.079996,108.7906,46.87029
5.099996,108.513,46.86162
5.119996,108.3969,46.85799
5.139996,108.1054,46.84888
5.159996,107.8851,46.84333
5.179996,107.7472,46.84093
5.199996,107.4713,46.83614
5.219996,107.3555,46.83413
5.239996,107.0694,46.82917
5.259996,106.9557,46.82719
5.279996,106.6771,46.82235
5.299996,106.556,46.82025
5.319996,106.3214,46.81694
5.339996,106.1768,46.82933
5.359996,105.9125,46.87635
5.379996,105.8038,46.90531
5.399996,105.5466,46.99768
5.419996,105.4418,47.04538
5.439996,105.1896,47.18594
5.459996,105.0867,47.25434
5.479996,104.8841,47.4088
5.499996,104.7746,47.51791
5.519996,104.5749,47.79191
5.539996,104.4805,47.8595
5.559996,104.2436,48.02918
5.579996,104.1475,48.09804
5.599996,103.9213,48.26002
5.619996,103.8247,48.32923
5.639996,103.6346,48.46535
5.659996,103.4016,48.63223
5.679996,103.3123,48.70829
5.699996,103.1101,48.89642
5.719995,103.0233,48.9772
5.739995,102.8242,49.16242
5.759995,102.7315,49.24864
