Time,Novelty Score
0.9267723,0.3499553
1.929051,0.3466659
2.930473,0.3498311
3.931563,0.2997586
4.933396,0.2497688
5.935951,0.249992
6.936259,0.2495983
7.937029,0.2497576
8.938218,0.2496423
9.939685,0.2497527
10.94105,0.2498705
11.94188,0.2497409
12.94193,0.1996688
13.94458,0.1998348
14.94514,0.1994204
15.94622,0.1998696
16.94706,0.1998224
17.94715,0.1497553
18.94883,0.04999777
19.94946,0.04994064
20.9509,0.04998711
21.95151,0.04994335
22.95371,0.04998456
23.95444,0.04994813
24.9556,0.04997271
25.95619,0.0499463
26.9569,0.04990676
27.95716,0.04992736
28.95821,0.0499644
29.95913,0.04995878
30.96822,0.04982895
31.96986,0.04995269
32.97079,0.04995988
33.97126,0.04993965
34.97172,0.04994012
35.97219,0.04993877
36.97352,0.04998348
37.97578,0.04998158
38.97771,0.04998067
39.9787,0.04994574
40.97915,0.04991382
41.98001,0.0499371
42.98049,0.04991887
43.98072,0.0499047
44.98269,0.04999351
45.98592,0.04998346
46.99139,0.04968254
47.99208,0.04992835
48.99364,0.04997789
49.99768,0.0499269
50.99875,0.0499601
51.99908,0.04992646
52.99963,0.04993635
54.00133,0.04999916
55.00696,0.04970875
56.00832,0.04997482
57.00917,0.0499521
58.00919,0.04991094
59.0102,0.0499578
60.01048,0.04992178
61.01049,0.04991373
62.01205,0.04998994
63.01316,0.04996279
64.01551,0.04997014
65.01632,0.04994292
66.01801,0.04997784
67.0196,0.04997177
68.02133,0.04998015
69.02468,0.04997915
70.02563,0.04986765
71.02699,0.04947353
72.02711,0.0499106
73.02721,0.04990845
74.02883,0.04998541
75.02987,0.04995502
76.03036,0.04992545
77.03106,0.0499383
78.03302,0.04999889
79.0341,0.04995765
80.03581,0.04999614
81.03692,0.0499684
82.03811,0.0499491
83.03979,0.04982342
84.04023,0.04992511
85.04092,0.04994165
86.04148,0.04993923
87.04764,0.04969447
88.04871,0.04996185
89.04938,0.04994638
90.05,0.04994132
91.05113,0.0499711
92.05286,0.04999933
93.05396,0.04996684
94.0557,0.04999616
95.05621,0.04993351
96.0582,0.04999
97.05961,0.04997369
98.05997,0.0499231
99.0612,0.04996175
100.0617,0.04993553
101.0618,0.049916
102.0642,0.0499504
103.0699,0.04967203
104.0712,0.04997595
105.0717,0.04993811
106.0725,0.04993272
107.0742,0.04998693
108.0745,0.0499165
109.0746,0.04991079
110.0757,0.04995866
111.0773,0.04949692
112.0789,0.04997479
113.0819,0.0498885
114.0851,0.04998203
115.0866,0.04997684
116.0879,0.04995999
117.0897,0.04999758
118.0907,0.04995716
119.0922,0.04997873
120.0932,0.04996202
121.094,0.04994578
122.1051,0.04992889
123.1068,0.04998965
124.107,0.04991722
125.1077,0.04994226
126.1375,0.04962352
127.1384,0.04991866
128.1393,0.04995155
129.1403,0.04995927
130.1415,0.04997088
131.1437,0.04995843
132.1452,0.0498956
133.1462,0.1499749
134.2728,0
135.2744,0.2
136.2753,0.09994335
137.2764,0.04996073
138.2766,0.04992243
139.2779,0.04997931
140.2793,0.04997732
141.2797,0.04992762
142.2798,0.04991707
143.2811,0.04995102
144.2837,0.0499594
145.2845,0.0498676
146.2847,0.04984215
147.2855,0.04986403
148.2857,0.04991697
149.2858,0.0499126
150.2859,0.04991845
151.2873,0.04997293
152.2882,0.04996303
153.2883,0.04991367
154.2899,0.04993711
155.2916,0.04998237
156.293,0.0499711
157.2946,0.04996921
158.2958,0.04996501
159.2981,0.04991873
160.3281,0.04953546
161.3284,0.04991517
162.3297,0.04997121
163.3313,0.04999077
164.3327,0.04998414
165.3334,0.04994684
166.3353,0.04999904
167.3354,0.04991645
168.3361,0.3498909
169.3377,0.1996783
170.3376,0.1994253
171.3405,0.1999744
172.341,0.1995513
173.3425,0.1997002
174.3446,0.1995728
175.3454,0.1992846
176.3467,0.3994046
177.3471,0.2992675
178.3494,0.2997983
179.3497,0.3992726
