Time,X,Z
0.02,41.30997,15.47997
0.04,41.12848,15.79599
0.06,41.0322,15.96365
0.08,40.93229,16.13763
0.09999999,40.83022,16.31536
0.12,40.73572,16.47991
0.14,40.63131,16.66172
0.16,40.53321,16.83254
0.18,40.4405,16.99398
0.2,40.34273,17.17343
0.22,40.30459,17.26733
0.24,40.19917,17.52687
0.26,40.13472,17.68552
0.28,40.08999,17.79566
0.3,39.97273,18.08434
0.32,39.90329,18.25529
0.34,39.82722,18.44257
0.36,39.75638,18.61698
0.38,39.67491,18.81823
0.4,39.64381,18.99552
0.42,39.60866,19.19594
0.4400001,39.57422,19.39226
0.4600001,39.5392,19.59186
0.4800001,39.50568,19.78296
0.5000001,39.47422,19.96233
0.52,39.447,20.08598
0.54,39.35583,20.30572
0.56,39.24696,20.45661
0.58,39.11801,20.57596
0.6,38.94305,20.68578
0.6199999,38.75204,20.76592
0.6399999,38.54869,20.8223
0.6599999,38.28865,20.86495
0.6799999,38.02528,20.88417
0.6999999,37.71815,20.89272
0.7199998,37.54699,21.00755
0.7399998,37.38462,21.12787
0.7599998,37.23998,21.23505
0.7799998,37.07803,21.35505
0.7999998,36.90965,21.47982
0.8199998,36.79796,21.56258
0.8399997,36.58978,21.71684
0.8599997,36.42882,21.83611
0.8799997,36.26805,21.95524
0.8999997,36.12826,22.07861
0.9199997,35.97958,22.2111
0.9399996,35.82688,22.34716
0.9599996,35.68352,22.47491
0.9799996,35.53833,22.60428
0.9999996,35.39563,22.73144
1.02,35.232,22.87725
1.04,35.09081,23.00306
1.06,34.94682,23.13136
1.08,34.78407,23.24023
1.1,34.60175,23.34767
1.12,34.46093,23.43064
1.14,34.26176,23.548
1.159999,34.09668,23.64528
1.179999,33.91441,23.75268
1.199999,33.75136,23.84876
1.219999,33.57489,23.95275
1.239999,33.39917,24.03431
1.259999,33.19822,24.08426
1.279999,33.01006,24.13102
1.299999,32.82484,24.17705
1.319999,32.62033,24.22788
1.339999,32.4277,24.27575
1.359999,32.22764,24.32547
1.379999,32.0473,24.37029
1.399999,31.85092,24.42397
1.419999,31.66004,24.48149
1.439999,31.47278,24.53792
1.459999,31.26619,24.60017
1.479999,31.07652,24.65733
1.499999,30.89463,24.71214
1.519999,30.69173,24.77328
1.539999,30.5281,24.83167
1.559999,30.34712,24.95063
1.579999,30.25981,25.00801
1.599999,30.01647,25.16796
1.619999,29.85523,25.27394
1.639999,29.68363,25.38672
1.659999,29.51614,25.49681
1.679999,29.35502,25.60271
1.699999,29.20028,25.71944
1.719999,29.03874,25.8502
1.739999,28.88153,25.97746
1.759999,28.72518,26.10403
1.779999,28.57646,26.22442
1.799999,28.42686,26.34552
1.819999,28.26251,26.47856
1.839999,28.11378,26.59896
1.859999,27.95313,26.72889
1.879999,27.8657,26.79936
1.899999,27.65194,26.97164
1.919999,27.50138,27.09298
1.939999,27.33967,27.22331
1.959999,27.1859,27.34724
1.979999,27.02915,27.47357
1.999999,26.87924,27.59439
2.019999,26.74314,27.71787
2.039999,26.65569,27.85511
2.059999,26.62688,27.98573
2.079999,26.64758,28.13051
2.099999,26.72584,28.29087
2.119999,26.84918,28.44593
2.139999,27.04076,28.62389
2.159999,27.27338,28.798
2.179999,27.45653,28.95771
2.199999,27.78187,29.22501
2.219999,27.89356,29.42421
2.239999,27.93912,29.61083
2.259999,27.98912,29.81568
2.279999,28.0349,30.00325
2.299999,28.08229,30.19742
2.319999,28.11535,30.38819
2.339998,28.11723,30.57928
2.359998,28.11912,30.7709
2.379998,28.121,30.96199
2.399998,28.12309,31.17348
2.419998,28.12488,31.35598
2.439998,28.12679,31.54917
2.459998,28.12874,31.74758
2.479998,28.13046,31.92174
2.499998,28.12541,32.13482
2.519998,28.12052,32.34015
2.539998,28.11583,32.53752
2.559998,28.11116,32.73355
2.579998,28.10653,32.92838
2.599998,28.10196,33.12058
2.619998,28.09734,33.31476
2.639998,28.09261,33.51353
2.659998,28.0898,33.7165
2.679998,28.08751,33.90973
2.699998,28.08523,34.10245
2.719998,28.08289,34.3008
2.739998,28.08046,34.50628
2.759998,28.07815,34.70138
2.779998,28.07604,34.87959
2.799998,28.07354,35.09128
2.819998,28.07384,35.28918
2.839998,28.07583,35.47367
2.859998,28.07794,35.66929
2.879998,28.08005,35.86502
2.899998,28.08219,36.06264
2.919998,28.08434,36.26209
2.939998,28.08536,36.35709
2.959998,28.08862,36.65895
2.979998,28.09893,36.85347
2.999998,28.12704,37.04909
3.019998,28.15606,37.24655
3.039998,28.18607,37.44141
3.059998,28.21575,37.62579
3.079998,28.24889,37.82315
3.099998,28.28256,38.01544
3.119998,28.3177,38.20838
3.139998,28.35431,38.40179
3.159998,28.46352,38.54267
3.179998,28.62007,38.67318
3.199998,28.80107,38.78862
3.219998,28.96185,38.91426
3.239998,29.05552,38.99152
3.259998,29.27375,39.1715
3.279998,29.45815,39.21677
3.299998,29.66144,39.24534
3.319998,29.84719,39.27145
3.339998,30.05089,39.30008
3.359998,30.25568,39.32887
3.379997,30.45256,39.35654
3.399997,30.63088,39.3816
3.419997,30.83757,39.40426
3.439997,31.04776,39.40823
3.459997,31.23834,39.41182
3.479997,31.42998,39.41544
3.499997,31.64592,39.41951
3.519997,31.83096,39.423
3.539997,31.99352,39.42606
3.559997,32.23274,39.43058
3.579997,32.43604,39.43527
3.599997,32.63102,39.44633
3.619997,32.83537,39.45793
3.639997,33.04277,39.4697
3.659997,33.24614,39.48124
3.679997,33.43266,39.49183
3.699997,33.63877,39.50352
3.719997,33.84793,39.51539
3.739997,34.02414,39.55403
3.759997,34.21182,39.63712
3.779997,34.39534,39.71836
3.799997,34.56362,39.79286
3.819997,34.75717,39.87854
3.839997,34.92377,39.95229
3.859997,35.08619,40.07432
3.879997,35.16947,40.25695
3.899997,35.2525,40.43904
3.919997,35.33063,40.61037
3.939997,35.41574,40.79701
3.959997,35.49778,40.97692
3.979997,35.56988,41.144
3.999997,35.60271,41.23725
4.019997,35.6916,41.48977
4.039997,35.73629,41.61669
4.059997,35.76819,41.69465
4.079997,35.85115,41.69736
4.099997,35.95415,41.63869
4.119997,36.08285,41.5122
4.139997,36.21095,41.35006
4.159997,36.38714,41.08847
4.179997,36.55206,40.81525
4.199997,36.75431,40.45324
4.219997,36.92519,40.31385
4.239997,37.08127,40.20488
4.259997,37.25831,40.11295
4.279997,37.44358,40.03902
4.299997,37.55575,39.99427
4.319997,37.81784,39.88968
4.339997,37.98689,39.82223
4.359997,38.18521,39.74309
4.379997,38.37149,39.66876
4.399997,38.55513,39.59548
4.419997,38.74497,39.53584
4.439997,38.95823,39.51746
4.459997,39.15641,39.50039
4.479997,39.35436,39.48332
4.499997,39.55534,39.466
4.519997,39.75376,39.4489
4.539997,39.93837,39.43299
4.559997,40.13747,39.41583
4.579997,40.3363,39.40623
4.599997,40.49316,39.40805
4.619997,40.75088,39.41104
4.639997,40.95592,39.41342
4.659997,41.15308,39.41571
4.679996,41.34942,39.41799
4.699996,41.5411,39.42021
4.719996,41.75561,39.4227
4.739996,41.95546,39.42398
4.759996,42.1371,39.42386
4.779996,42.33622,39.42373
4.799996,42.55504,39.42358
4.819996,42.75115,39.42345
4.839996,42.95135,39.42332
4.859996,43.14851,39.42319
4.879996,43.33543,39.42307
4.899996,43.51721,39.42275
4.919996,43.7533,39.41906
4.939996,43.94828,39.41602
4.959996,44.14516,39.41294
4.979996,44.35139,39.40973
4.999996,44.55351,39.40657
5.019996,44.75094,39.40349
5.039996,44.9492,39.40039
5.059996,45.14233,39.39738
5.079996,45.34516,39.395
5.099996,45.55373,39.39254
5.119996,45.7542,39.39018
5.139996,45.95195,39.38785
5.159996,46.15235,39.38549
5.179996,46.34843,39.38319
5.199996,46.53379,39.381
5.219996,46.75044,39.37845
5.239996,46.94828,39.38198
5.259996,47.14666,39.38634
5.279996,47.34449,39.39069
5.299996,47.54058,39.395
5.319996,47.75004,39.39961
5.339996,47.94582,39.40392
5.359996,48.04287,39.40605
5.379996,48.34072,39.4126
5.399996,48.53574,39.42236
5.419996,48.74039,39.43481
5.439996,48.93765,39.44683
5.459996,49.13525,39.45886
5.479996,49.35312,39.47212
5.499996,49.54972,39.4841
5.519996,49.73069,39.49282
5.539996,49.89271,39.46976
5.559996,50.02689,39.40303
5.579996,50.12668,39.29353
5.599996,50.19283,39.14177
5.619996,50.2251,38.95685
5.639996,50.22774,38.74509
5.659996,50.21499,38.59017
5.679996,50.13857,38.16029
5.699996,50.04206,37.81271
5.719995,49.96457,37.47332
5.739995,49.98535,37.34561
5.759995,50.02549,37.09902
5.779995,50.05617,36.91057
5.799995,50.08605,36.727
5.819995,50.11831,36.52883
5.839995,50.15189,36.32253
5.859995,50.21895,36.13755
5.879995,50.30379,35.97453
5.899995,50.40355,35.78284
5.919995,50.49271,35.6115
5.939995,50.58413,35.43584
5.959995,50.64299,35.32274
5.979995,50.7692,35.08023
