Time,Novelty Score
0.6577367,0.09993211
1.659836,0.09993138
2.66236,0.09999641
3.66777,0.09930118
4.668918,0.09967288
5.669802,0.0996537
6.669915,0.09976142
7.671486,0.09997445
8.6731,0.09995402
9.673701,0.09976399
10.6743,0.09986311
11.68168,0.09956016
12.68366,0.09999334
13.68401,0.09984016
14.68453,0.04993317
15.68638,0.04992657
16.68731,0.04988002
17.68813,0.04987392
18.68914,0.04996316
19.68992,0.04946496
20.6902,0.04990534
21.69057,0.04990057
22.6928,0.04999368
23.69306,0.04988789
24.69315,0.049892
25.69344,0.04990138
26.69466,0.04995235
27.69545,0.149642
28.69698,0.09993228
29.69906,0.09999157
30.7007,0.09995873
31.7012,0.09981167
32.70304,0.09994743
33.70366,0.09983736
34.70737,0.09998081
35.70905,0.09976269
36.71061,0.09994525
37.71192,0.09990942
38.71289,0.09986569
39.71346,0.09983317
40.71885,0.09917611
41.72062,0.09995586
42.72251,0.09996452
43.72453,0.09996942
44.72506,0.0998268
45.72762,0.09988122
46.72913,0.09995856
47.73035,0.1999157
48.73868,0.1494865
49.7389,0.2497346
50.73958,0.1997401
51.73971,0.1996447
52.74066,0.1997733
53.74261,0.1999764
54.74323,0.1497857
55.74336,0.1496824
56.74442,0.09988904
57.74479,0.0998302
58.74712,0.09987575
59.74804,0.09971672
60.74948,0.09994156
61.75275,0.09903628
62.75451,0.09984987
63.7557,0.09989614
64.75746,0.1999051
65.75935,0.1499795
66.76054,0.2498783
67.76188,0.1999098
68.76262,0.1997596
69.77384,0.1999057
70.77402,0.1996735
71.77574,0.199948
72.77671,0.1997734
73.77878,0.199975
74.78002,0.1998264
75.78074,0.1997356
76.78077,0.1496871
77.79188,0.1498911
78.79208,0.09981588
79.79283,0.09983887
80.7933,0.09983425
81.7944,0.09990409
82.7959,0.09983853
83.79652,0.099739
84.79835,0.09988449
85.79897,0.0998624
86.80033,0.1999328
87.80067,0.1497489
88.80176,0.2498778
89.80389,0.1999681
90.80566,0.1978414
91.80739,0.1996339
92.82672,0.1979897
93.83157,0.1985968
94.83318,0.1499556
95.8338,0.1498316
96.83469,0.1498784
97.83517,0.1498104
98.83673,0.09998728
99.83745,0.1998499
100.8378,0.1497149
101.8381,0.1478828
102.8393,0.149853
103.84,0.2497886
104.8416,0.1999145
105.8426,0.19978
106.8427,0.1996032
107.8427,0.1994073
108.8428,0.1497222
109.8522,0.1496012
110.8543,0.1499718
111.8558,0.09994682
112.8564,0.09986317
113.8582,0.09997991
114.8592,0.09989736
115.8601,0.09989604
116.8622,0.09999973
117.8668,0.0992909
118.8682,0.09994485
119.8691,0.09988154
120.8696,0.04992304
121.8705,0.04989804
122.8709,0.04991606
123.8709,0.04989554
124.871,0.04987886
125.8816,0.0499426
126.8827,0.04995946
127.883,0.0499243
128.8831,0.0499081
129.8865,0.04998317
130.8872,0.04986859
131.8876,0.04984601
132.8876,0.04991087
133.8918,0.04961666
134.8921,0.04992817
135.8929,0.04989906
136.8951,0.0499679
137.8954,0.0498736
138.8991,0.04960975
139.8991,0.0499074
140.8998,0.0499448
141.9011,0.04998701
142.902,0.04996258
143.9024,0.04993383
144.9041,0.04992538
145.9063,0.04991904
146.9167,0.04979941
147.9176,0.0499316
148.9193,0.0499735
149.9201,0.049934
150.9203,0.04989951
151.921,0.04993975
152.9223,0.04996139
153.923,0.04993001
154.9362,0.04996856
155.9364,0.04990081
156.938,0.04996792
157.939,0.04994394
158.9402,0.04995867
159.9403,0.0498982
160.9415,0.04995268
161.9421,0.04992806
162.9432,0.04995941
163.9438,0.1499346
164.9457,0.09983519
165.946,0.0996716
166.9477,0.09997037
167.9535,0.09931362
168.9558,0.0999293
169.9557,0.09971167
170.9583,0.09997759
171.9585,0.09982333
172.9596,0.09990472
173.9604,0.09986749
174.961,0.09985377
175.9619,0.09986453
176.9638,0.09997435
177.9638,0.09980839
178.9662,0.09987546
179.9679,0.09996867
