Time,X,Z
0.02,64.06474,35.32113
0.04,64.27621,35.0744
0.06,64.41557,34.89523
0.08,64.50224,34.77595
0.09999999,64.54742,34.7111
0.12,64.54742,34.7111
0.14,64.80458,34.30034
0.16,64.91006,34.10651
0.18,65.02293,33.87756
0.2,65.09268,33.66174
0.22,65.13174,33.4477
0.24,65.16624,33.23784
0.26,65.22919,33.04864
0.28,65.29255,32.85823
0.3,65.34999,32.6856
0.32,65.41187,32.49961
0.34,65.48049,32.29338
0.36,65.52447,32.10296
0.38,65.54283,31.90619
0.4,65.56194,31.70135
0.42,65.5807,31.50046
0.4400001,65.59914,31.30285
0.4600001,65.6156,31.12643
0.4800001,65.63609,30.90692
0.5000001,65.65466,30.70792
0.52,65.6654,30.49706
0.54,65.66343,30.30013
0.56,65.66142,30.09969
0.58,65.65941,29.89752
0.6,65.65741,29.69733
0.6199999,65.65669,29.62609
0.6399999,65.65364,29.32009
0.6599999,65.65163,29.11907
0.6799999,65.64853,28.91636
0.6999999,65.64075,28.70953
0.7199998,65.63306,28.50484
0.7399998,65.62614,28.32065
0.7599998,65.61858,28.11959
0.7799998,65.61021,27.89667
0.7999998,65.60282,27.70024
0.8199998,65.59535,27.5015
0.8399997,65.5882,27.31777
0.8599997,65.56772,27.11792
0.8799997,65.54717,26.9175
0.8999997,65.52493,26.70059
0.9199997,65.51548,26.60838
0.9399996,65.48421,26.30329
0.9599996,65.46398,26.10594
0.9799996,65.44357,25.90682
0.9999996,65.38192,25.72346
1.02,65.27835,25.54847
1.04,65.18554,25.39166
1.06,65.0833,25.21891
1.08,64.98363,25.05051
1.1,64.88356,24.88144
1.12,64.72095,24.74493
1.14,64.53799,24.67385
1.159999,64.34929,24.60055
1.179999,64.16839,24.53027
1.199999,63.98854,24.4604
1.219999,63.85883,24.41001
1.239999,63.60646,24.30856
1.259999,63.42474,24.22661
1.279999,63.25117,24.14834
1.299999,63.06303,24.0635
1.319999,62.8857,23.98354
1.339999,62.69215,23.89626
1.359999,62.5323,23.79545
1.379999,62.44623,23.61143
1.399999,62.36613,23.44018
1.419999,62.27812,23.25199
1.439999,62.19721,23.079
1.459999,62.1162,22.90579
1.479999,62.03378,22.70871
1.499999,62.02181,22.51749
1.519999,62.01091,22.34353
1.539999,61.99596,22.10484
1.559999,61.98408,21.91515
1.579999,61.97163,21.71655
1.599999,61.95853,21.50737
1.619999,61.94661,21.31705
1.639999,61.93703,21.10909
1.659999,61.9326,20.90437
1.679999,61.92848,20.71355
1.699999,61.92419,20.51545
1.719999,61.91966,20.30573
1.739999,61.91553,20.1147
1.759999,61.91111,19.9102
1.779999,61.90698,19.7191
1.799999,61.89846,19.51995
1.819999,61.87176,19.33121
1.839999,61.84056,19.11069
1.859999,61.81388,18.92213
1.879999,61.78519,18.71938
1.899999,61.75696,18.51986
1.919999,61.73014,18.33037
1.939999,61.70058,18.12139
1.959999,61.60399,17.96104
1.979999,61.4781,17.80138
1.999999,61.35823,17.64935
2.019999,61.23342,17.49106
2.039999,61.10622,17.32975
2.059999,60.98837,17.18027
2.079999,60.80928,17.09107
2.099999,60.61049,17.02744
2.119999,60.43559,16.97147
2.139999,60.24297,16.90981
2.159999,60.04478,16.84638
2.179999,59.84927,16.78381
2.199999,59.6707,16.71791
2.219999,59.49444,16.62582
2.239999,59.31026,16.52959
2.259999,59.14251,16.44195
2.279999,59.04972,16.39347
2.299999,58.79148,16.25855
2.319999,58.63351,16.1305
2.339998,58.56417,15.94314
2.359998,58.49763,15.76329
2.379998,58.42619,15.57023
2.399998,58.36041,15.39248
2.419998,58.28696,15.19397
2.439998,58.22046,15.01427
2.459998,58.21257,14.80825
2.479998,58.20626,14.60148
2.499998,58.20046,14.4113
2.519998,58.19412,14.20332
2.539998,58.18806,14.00472
2.559998,58.18228,13.81517
