Time,Novelty Score
1.001946,0.1
2.007027,0.04973742
3.007103,0.04989269
4.008663,0.04994307
5.009552,0.04988988
6.01114,0.04992621
7.016584,0.04977585
8.01858,0.04995482
9.019813,0.04990374
10.02129,0.04993514
11.02197,0.04986044
12.03372,0.04997609
13.03593,0.04997361
14.03799,0.04995831
15.04153,0.04999964
16.04207,0.04985221
17.04677,0.04968607
18.04681,0.04976858
19.04916,0.04996655
20.04963,0.04988216
21.0513,0.04994132
22.05451,0.04956957
23.0553,0.04985031
24.05718,0.04994788
25.05883,0.04996213
26.06153,0.04995567
27.06671,0.0499612
28.06893,0.0499828
29.07041,0.04992353
30.07156,0.04993615
31.07333,0.049953
32.07459,0.04992968
33.075,0.04988984
34.07645,0.04994206
35.07746,0.04991995
36.07891,0.04995389
37.08044,0.04995023
38.0822,0.04995846
39.08224,0.04987219
40.08559,0.04995784
41.08765,0.04997308
42.08968,0.04997728
43.08997,0.04990023
44.0921,0.04998527
45.09334,0.04994983
46.09378,0.0498984
47.09625,0.04999899
48.09682,0.04990219
49.09798,0.04990494
50.10238,0.049987
51.10538,0.04996639
52.10613,0.04981415
53.11069,0.04967638
54.11104,0.0498415
55.11626,0.04855996
56.11642,0.04981713
57.11837,0.04995325
58.12577,0.04986878
59.12687,0.04992854
60.12747,0.0499213
61.12843,0.04992253
62.13033,0.04996999
63.13793,0.04985675
64.13799,0.049845
65.14055,0.04998169
66.14169,0.0499119
67.14604,0.04992788
68.14765,0.04984726
69.17017,0.04989132
70.17186,0.04994138
71.17659,0.049736
72.17688,0.04988292
73.17934,0.04997886
74.18017,0.04991655
75.18284,0.04998491
76.18683,0.04996005
77.18777,0.04990302
78.18867,0.0499091
79.19063,0.04997836
80.19083,0.04988207
81.19089,0.04973434
82.19259,0.0499065
83.19556,0.04998045
84.19809,0.04993017
85.20013,0.04993864
86.20032,0.04982961
87.2021,0.04991001
88.20529,0.04994234
89.20703,0.04979658
90.21146,0.04977633
91.21639,0.0497121
92.21852,0.04992151
93.22196,0.04999593
94.2252,0.04993594
95.22634,0.04981392
96.23397,0.1497703
97.23476,0.09974259
98.23766,0.09992676
99.24012,0.09996396
100.2421,0.09991585
101.2449,0.09983223
102.2453,0.09954736
103.2457,0.09955679
104.2488,0.09996293
105.2507,0.0998321
106.2508,0.09951133
107.253,0.1998722
108.2539,0.2495137
109.255,0.1994483
110.2557,0.1995441
111.2556,0.1979458
112.2581,0.1998758
113.2607,0.1998455
114.2631,0.1997182
115.2631,0.1992207
116.2659,0.1995186
117.2673,0.1993921
118.271,0.1994205
119.2724,0.199617
120.2739,0.199585
121.3753,0.1536163
122.377,0.1995208
123.3804,0.1999521
124.3827,0.1998725
125.383,0.1994664
126.3878,0.1998744
127.3886,0.1996069
128.3906,0.199696
129.4004,0.1999484
130.4012,0.1994302
131.4015,0.1995683
132.4056,0.1998913
133.4058,0.1990485
134.409,0.1997347
135.4103,0.1997032
136.4109,0.1995931
137.4116,0.2995514
138.4135,0.2499009
139.4152,0.1998957
140.4161,0.2996893
141.4176,0.2497734
142.4196,0.2494989
143.4205,0.1992525
144.4231,0.2998208
145.426,0.2495185
146.4306,0.199669
147.4316,0.1995796
148.433,0.1995694
149.4339,0.2995138
150.4352,0.1996507
151.437,0.1997572
152.4395,0.1999247
153.4398,0.1995925
154.441,0.1997493
155.4457,0.1999208
156.4464,0.1992632
157.4487,0.1999543
158.4501,0.1995624
159.4523,0.1997049
160.4532,0.1996588
161.4552,0.1984261
162.4568,0.1996952
163.4589,0.199789
164.4601,0.1994288
165.4626,0.1999171
166.4668,0.1988139
167.468,0.1996371
168.4686,0.1996304
169.4705,0.199934
170.4724,0.1998187
171.4733,0.1996235
172.479,0.1998091
173.4805,0.1998305
174.4811,0.1995825
175.4818,0.1995954
176.4845,0.1997063
177.4866,0.1994151
178.4874,0.1996657
179.489,0.1998346
