Time,Novelty Score
1.000642,0.5
2.00077,0.2492031
3.001722,0.2494203
4.009607,0.248669
5.011692,0.2497631
6.012854,0.249336
7.028405,0.2496974
8.029559,0.2494701
9.032333,0.24994
10.03352,0.2495878
11.03492,0.2496457
12.03611,0.2495647
13.03639,0.2487898
14.0384,0.2498037
15.03889,0.2494882
16.03989,0.2470838
17.04113,0.2496806
18.04136,0.249399
19.04521,0.2497714
20.04759,0.4499474
21.04869,0.3495403
22.05187,0.3471193
23.06281,0.3490942
24.06565,0.3493372
25.06787,0.3499129
26.07006,0.3461993
27.07166,0.349738
28.07281,0.3496062
29.075,0.3499004
30.07733,0.3498852
31.08847,0.349593
32.0892,0.3493577
33.08975,0.3492315
34.09093,0.3497076
35.09196,0.3494979
36.09248,0.3494056
37.09367,0.3497399
38.10483,0.3495284
39.10511,0.2988348
40.10622,0.2989197
41.10715,0.2996269
42.10811,0.1997164
43.11002,0.1999491
44.11139,0.1998282
45.11168,0.199586
46.11377,0.1999939
47.11485,0.199648
48.11564,0.1995094
49.11743,0.3997581
50.12001,0.2998013
51.12149,0.3995324
52.12537,0.3495962
53.12948,0.3495568
54.13219,0.3499559
55.13428,0.3496853
56.13556,0.349348
57.13731,0.3496235
58.13919,0.3495789
59.14183,0.3498484
60.14216,0.3489363
61.14534,0.3493709
62.14631,0.3485546
63.15582,0.3422027
64.16431,0.3482761
65.16747,0.3493832
66.16828,0.3493312
67.16949,0.3494924
68.17236,0.3466071
69.18217,0.3489681
70.18306,0.3451945
71.18636,0.349314
72.18941,0.2475417
73.18954,0.2492887
74.19013,0.2495468
75.20175,0.2498002
76.20251,0.2493755
77.20952,0.2499954
78.20994,0.2493867
79.21124,0.2473025
80.21333,0.2498174
81.21575,0.2498459
82.2267,0.2494959
83.22832,0.2498395
84.23109,0.2484509
85.2329,0.249866
86.23615,0.2470308
87.2362,0.2493664
88.23795,0.2493256
89.24847,0.2487633
90.25103,0.2499568
91.25129,0.2469256
92.25247,0.2496047
93.25517,0.2498374
94.2569,0.249794
95.26174,0.2496348
96.26603,0.249827
97.2682,0.2497114
98.27546,0.2481867
99.27584,0.4494445
100.2784,0.3499044
101.2795,0.3494222
102.2836,0.3498324
103.2837,0.3456638
104.2867,0.3495105
105.289,0.3497548
106.2912,0.3493513
107.2916,0.3493493
108.2939,0.3499325
109.2955,0.3497399
110.2982,0.349961
111.2987,0.349183
112.3052,0.3464554
113.3052,0.3483397
114.3201,0.3499926
115.321,0.3491202
116.3227,0.348573
117.33,0.3498066
118.3309,0.2993616
119.3332,0.24992
120.3348,0.249821
121.3351,0.2494349
122.3366,0.2466582
123.3391,0.2495967
124.3404,0.2496537
125.3423,0.2498169
126.3466,0.2498476
127.3471,0.2424007
128.3481,0.2495724
129.3501,0.2495693
130.3514,0.2497364
131.353,0.2498508
132.3652,0.2496015
133.3667,0.2491237
134.3723,0.2479153
135.3747,0.2497554
136.3841,0.2484922
137.3873,0.2494358
138.389,0.2498228
139.3905,0.2497202
140.3908,0.2492213
141.3923,0.2497463
142.3941,0.2497825
143.3957,0.2497874
144.3961,0.4494494
145.3974,0.3493431
146.3987,0.3495911
147.402,0.349968
148.4025,0.3491933
149.406,0.3496482
150.407,0.3494595
151.4163,0.3480238
152.417,0.3493251
153.4186,0.3494345
154.4188,0.3491054
155.421,0.3498444
156.43,0.348759
157.4329,0.349897
158.4363,0.3498922
159.4448,0.3475833
160.445,0.298593
161.45,0.2488566
162.4523,0.2498606
163.4532,0.2496794
164.4536,0.2494135
165.4601,0.2476445
166.4607,0.249612
167.4614,0.2494743
168.4649,0.2496252
169.4657,0.2489981
170.4761,0.2487442
171.4785,0.2499159
172.4788,0.2495155
173.4791,0.2495531
174.4807,0.24964
175.4902,0.2491045
176.4919,0.2498037
177.4923,0.2493823
178.4943,0.2496598
179.4971,0.2499639
