Time,X,Z
0.02,316.0523,132.6234
0.04,315.8174,132.7994
0.06,315.6637,132.9146
0.08,315.4418,133.0809
0.09999999,315.2839,133.1992
0.12,315.1231,133.3198
0.14,315.0064,133.4073
0.16,314.9051,133.4832
0.18,314.6543,133.6711
0.2,314.5164,133.8202
0.22,314.3964,133.9781
0.24,314.2819,134.1286
0.26,314.158,134.2916
0.28,314.0327,134.4563
0.3,313.9207,134.6037
0.32,313.8028,134.7586
0.34,313.6743,134.9276
0.36,313.5971,135.0292
0.38,313.5129,135.2816
0.4,313.4591,135.4778
0.42,313.4213,135.616
0.4400001,313.3652,135.8206
0.4600001,313.3035,136.0456
0.4800001,313.2541,136.2261
0.5000001,313.2003,136.4223
0.52,313.2003,136.4223
0.54,313.1385,136.7809
0.56,313.1247,137.0238
0.58,313.1128,137.233
0.6,313.1036,137.3936
0.6199999,313.0905,137.624
0.6399999,313.0787,137.8322
0.6599999,313.069,138.0027
0.6799999,313.0562,138.2286
0.6999999,313.0571,138.4363
0.7199998,313.0585,138.6116
0.7399998,313.0603,138.8204
0.7599998,313.062,139.0341
0.7799998,313.0635,139.2174
0.7999998,313.0653,139.4294
0.8199998,313.066,139.5186
0.8399997,313.0686,139.8305
0.8599997,313.0742,140.0101
0.8799997,313.0804,140.1684
0.8999997,313.0854,140.2989
0.9199997,313.0977,140.6214
0.9399996,313.1058,140.8306
0.9599996,313.1126,141.0087
0.9799996,313.1213,141.2343
0.9999996,313.129,141.4342
1.02,313.1356,141.6052
1.04,313.1407,141.7395
1.06,313.1453,141.8574
1.08,313.1477,141.9197
1.1,313.1036,141.9282
1.12,313.038,141.8939
1.14,312.8576,141.7568
1.159999,312.6596,141.5725
1.179999,312.419,141.3251
1.199999,312.1715,141.0544
1.219999,311.9652,140.9203
1.239999,311.773,140.8581
1.259999,311.5788,140.8245
1.279999,311.4006,140.7937
1.299999,311.1916,140.7576
1.319999,311.021,140.7281
1.339999,310.8226,140.6938
1.359999,310.6075,140.6566
1.379999,310.4145,140.6232
1.399999,310.2437,140.6159
1.419999,310.0787,140.61
1.439999,309.8445,140.6017
1.459999,309.635,140.5942
1.479999,309.4467,140.5874
1.499999,309.2581,140.5807
1.519999,309.1701,140.5775
1.539999,308.855,140.5663
1.559999,308.6599,140.566
1.579999,308.4619,140.5672
1.599999,308.2812,140.5683
1.619999,308.0861,140.5695
1.639999,307.8882,140.5708
1.659999,307.6711,140.5721
1.679999,307.4856,140.5733
1.699999,307.2928,140.5745
1.719999,307.0926,140.5777
1.739999,306.8868,140.5828
1.759999,306.7019,140.5874
1.779999,306.5161,140.592
1.799999,306.3057,140.5973
1.819999,306.1211,140.6019
1.839999,305.9293,140.6067
1.859999,305.7365,140.6115
1.879999,305.6067,140.6147
1.899999,305.3222,140.6218
1.919999,305.1332,140.6266
1.939999,304.9503,140.6311
1.959999,304.7335,140.6366
1.979999,304.5542,140.6411
1.999999,304.3648,140.6458
2.019999,304.1473,140.6512
2.039999,303.9626,140.6559
2.059999,303.7732,140.6586
2.079999,303.5592,140.6615
2.099999,303.3575,140.6642
2.119999,303.1692,140.6667
2.139999,302.9857,140.6691
2.159999,302.7856,140.6718
2.179999,302.6284,140.6739
2.199999,302.3745,140.6772
2.219999,302.1877,140.6769
2.239999,301.978,140.675
2.259999,301.7837,140.6733
2.279999,301.6019,140.6716
2.299999,301.3904,140.6697
2.319999,301.2073,140.6681
2.339998,300.9979,140.6662
2.359998,300.8034,140.6644
2.379998,300.5962,140.6605
2.399998,300.4072,140.6543
2.419998,300.2228,140.6483
2.439998,300.0255,140.6419
2.459998,299.8033,140.6347
2.479998,299.7165,140.6319
2.499998,299.4068,140.6218
2.519998,299.2208,140.6158
2.539998,299.0249,140.6093
2.559998,298.8033,140.6014
2.579998,298.6276,140.5952
2.599998,298.4106,140.5874
2.619998,298.2165,140.5805
2.639998,298.0803,140.5756
2.659998,297.8188,140.5663
2.679998,297.6184,140.5591
2.699998,297.4185,140.5523
2.719998,297.2159,140.5519
2.739998,297.0276,140.5516
2.759998,296.8238,140.5512
2.779998,296.6162,140.5508
2.799998,296.4272,140.5505
2.819998,296.2169,140.5501
2.839998,296.0055,140.5497
2.859998,295.8138,140.5494
2.879998,295.6053,140.5533
2.899998,295.4093,140.5576
2.919998,295.2292,140.5616
2.939998,295.0711,140.5651
2.959998,294.8152,140.5708
2.979998,294.6125,140.5753
2.999998,294.416,140.5797
3.019998,294.2274,140.6004
3.039998,294.0813,140.6618
3.059998,293.9775,140.7614
3.079998,293.9174,140.883
3.099998,293.8856,141.072
3.119998,293.8885,141.2131
3.139998,293.9454,141.5429
3.159998,294.0288,141.8243
3.179998,294.1488,142.141
3.199998,294.3094,142.5005
3.219998,294.3459,142.6608
3.239998,294.3405,142.9428
3.259998,294.3364,143.1566
3.279998,294.3329,143.3374
3.299998,294.3288,143.5491
3.319998,294.3251,143.7412
3.339998,294.322,143.9463
3.359998,294.3238,144.1633
3.379997,294.3251,144.3384
3.399997,294.326,144.4547
3.419997,294.3283,144.7386
3.439997,294.33,144.952
3.459997,294.3316,145.1539
3.479997,294.3333,145.363
3.499997,294.3347,145.5393
3.519997,294.3306,145.7497
3.539997,294.3058,145.9308
3.559997,294.2612,146.1047
3.579997,294.1795,146.3098
3.599997,294.0813,146.4861
3.619997,293.9759,146.6351
3.639997,293.8267,146.8059
3.659997,293.6606,146.9623
3.679997,293.4741,147.1101
3.699997,293.3401,147.1903
3.719997,293.113,147.3902
3.739997,293.0034,147.5199
3.759997,292.8656,147.683
3.779997,292.7261,147.8481
3.799997,292.6123,147.9827
3.819997,292.4763,148.1437
3.839997,292.3559,148.2862
3.859997,292.2084,148.4608
3.879997,292.0943,148.6083
3.899997,291.9731,148.7743
3.919997,291.8529,148.939
3.939997,291.7341,149.1017
3.959997,291.6148,149.265
3.979997,291.502,149.4194
3.999997,291.3869,149.5771
4.019997,291.2733,149.7328
4.039997,291.1482,149.904
4.059997,291.0832,150.0909
4.079997,291.0264,150.2743
4.099997,290.9688,150.4603
4.119997,290.9095,150.6515
4.139997,290.8541,150.8305
4.159997,290.8176,150.9482
4.179997,290.7317,151.2254
4.199997,290.6711,151.4211
4.219997,290.6487,151.6217
4.239997,290.6387,151.8325
4.259997,290.6302,152.0092
4.279997,290.6203,152.2188
4.299997,290.6101,152.4319
4.319997,290.6012,152.6183
4.339997,290.5912,152.8274
4.359997,290.583,153.001
4.379997,290.5819,153.2239
4.399997,290.5878,153.4276
4.419997,290.5928,153.6008
4.439997,290.5989,153.8127
4.459997,290.6031,153.9585
4.479997,290.6109,154.2305
4.499997,290.6164,154.4204
4.519997,290.6221,154.6199
4.539997,290.6287,154.8223
4.559997,290.6363,155.0235
4.579997,290.644,155.2284
4.599997,290.6512,155.4193
4.619997,290.6543,155.5034
4.639997,290.666,155.8135
4.659997,290.6736,156.017
4.679996,290.6808,156.209
4.699996,290.6871,156.4125
4.719996,290.6886,156.6255
4.739996,290.6899,156.8281
4.759996,290.6913,157.0258
4.779996,290.6925,157.2081
4.799996,290.6939,157.4073
4.819996,290.6953,157.617
4.839996,290.6967,157.8209
4.859996,290.698,158.0038
4.879996,290.6943,158.2193
4.899996,290.6908,158.417
4.919996,290.6887,158.5321
4.939996,290.6837,158.8108
4.959996,290.6802,159.0114
4.979996,290.6766,159.2113
4.999996,290.6729,159.4233
5.019996,290.6681,159.6268
5.039996,290.6617,159.813
5.059996,290.6522,160.0168
5.079996,290.6414,160.2009
5.099996,290.627,160.4058
5.119996,290.6098,160.6143
5.139996,290.5933,160.7893
5.159996,290.568,161.0259
5.179996,290.5468,161.2036
5.199996,290.5301,161.4034
5.219996,290.5281,161.5463
5.239996,290.5291,161.8244
5.259996,290.5297,162.0012
5.279996,290.5303,162.2055
5.299996,290.531,162.4152
5.319996,290.5316,162.6023
5.339996,290.5323,162.8123
5.359996,290.533,163.0027
5.379996,290.5364,163.2133
5.399996,290.5404,163.415
5.419996,290.5446,163.6178
5.439996,290.5486,163.8165
5.459996,290.5528,164.0243
5.479996,290.5564,164.2048
5.499996,290.5607,164.4145
5.519996,290.5569,164.591
5.539996,290.5285,164.7933
5.559996,290.476,164.9824
5.579996,290.3958,165.1709
5.599996,290.3089,165.322
5.619996,290.1877,165.4873
5.639996,290.0413,165.6474
5.659996,289.8737,165.798
5.679996,289.7953,165.86
5.699996,289.4541,166.0692
5.719995,289.3018,166.2225
5.739995,289.1847,166.3595
5.759995,289.0497,166.5171
5.779995,288.9166,166.6727
5.799995,288.796,166.8137
5.819995,288.664,166.9679
5.839995,288.525,167.1304
5.859995,288.4081,167.2669
5.879995,288.2836,167.4266
5.899995,288.1618,167.6008
5.919995,288.0427,167.7712
5.939995,287.9393,167.919
5.959995,287.823,168.0853
5.979995,287.7554,168.182
5.999995,287.5916,168.4164
6.019995,287.4807,168.5834
6.039995,287.3778,168.76
6.059995,287.2971,168.9179
6.079995,287.2114,169.1123
6.099995,287.1372,169.3127
6.119995,287.0818,169.4936
6.139995,287.0365,169.6741
6.159995,286.9956,169.8835
6.179995,287.0038,170.1037
6.199995,287.0339,170.3367
6.219995,287.0201,170.5273
6.239995,286.9988,170.733
6.259995,286.9776,170.9387
6.279995,286.9625,171.0855
6.299995,286.937,171.3331
6.319995,286.9203,171.5362
6.339995,286.9213,171.7216
6.359995,286.9226,171.9391
6.379995,286.9237,172.1353
6.399995,286.9249,172.338
6.419995,286.9259,172.5216
6.439995,286.9264,172.6052
6.459995,286.9282,172.918
6.479995,286.9293,173.1251
6.499995,286.9289,173.3372
6.519995,286.9179,173.5095
6.539995,286.8712,173.6907
6.559995,286.7955,173.8398
6.579995,286.6775,173.9824
6.599995,286.5201,174.1058
6.619995,286.3686,174.1885
6.639995,286.1378,174.2756
6.659995,285.8793,174.3384
6.679995,285.6288,174.376
6.699995,285.2861,174.4038
6.719995,285.0981,174.514
6.739995,285.0051,174.5907
6.759995,284.7905,174.7679
6.779994,284.6447,174.8882
6.799994,284.4904,175.0156
6.819994,284.3339,175.1448
6.839994,284.172,175.2784
6.859994,284.0155,175.4076
6.879994,283.8719,175.5262
6.899994,283.7083,175.6708
6.919994,283.578,175.7931
6.939994,283.4259,175.9359
6.959994,283.2776,176.0752
6.979994,283.1253,176.2181
6.999994,282.9918,176.3434
7.019994,282.8651,176.4843
7.039994,282.8014,176.6107
7.059994,282.7843,176.7681
7.079994,282.8301,176.9226
7.099994,282.9172,177.0576
7.119994,283.0794,177.2225
7.139994,283.2688,177.3671
7.159994,283.554,177.5005
7.179994,283.9361,177.5962
7.199994,284.1058,177.6304
7.219994,284.5905,177.7564
7.239994,284.7538,177.8254
7.259994,284.9432,177.9055
7.279994,285.132,177.9853
7.299994,285.3309,178.0171
7.319994,285.5116,178.0266
7.339994,285.7142,178.0373
7.359994,285.9279,178.0486
7.379994,286.1182,178.0586
7.399994,286.3155,178.069
7.419994,286.5235,178.08
7.439994,286.5749,178.0827
7.459994,286.9131,178.0908
7.479994,287.1133,178.0909
7.499994,287.2379,178.091
7.519994,287.5349,178.0912
7.539994,287.6372,178.0912
7.559994,287.9251,178.0914
7.579994,288.1231,178.0915
7.599994,288.3388,178.0927
7.619994,288.5206,178.1303
7.639994,288.731,178.1738
7.659994,288.9206,178.213
7.679994,289.1145,178.2531
7.699994,289.3093,178.2934
7.719994,289.5125,178.3354
7.739994,289.6966,178.3779
7.759994,289.8155,178.5247
7.779994,289.9529,178.6945
7.799994,290.0252,178.7839
7.819993,290.2092,179.0112
7.839993,290.3177,179.1453
7.859993,290.4468,179.3112
7.879993,290.5031,179.5179
7.899993,290.5544,179.706
7.919993,290.6062,179.8959
7.939993,290.6613,180.0978
7.959993,290.7105,180.2781
7.979993,290.7608,180.4626
7.999993,290.8329,180.6645
8.019994,290.9425,180.8108
8.039994,291.0748,180.9873
8.059995,291.1825,181.1311
8.079995,291.3153,181.3084
8.099996,291.3999,181.4213
8.119996,291.5694,181.5992
8.139997,291.7574,181.6618
8.159997,291.9467,181.7248
8.179997,292.1168,181.7814
8.199998,292.3131,181.8468
8.219998,292.5154,181.9141
8.239999,292.7028,181.9765
8.259999,292.875,182.0561
8.28,293.0572,182.1486
8.3,293.2444,182.2437
8.320001,293.4073,182.3265
8.340001,293.5898,182.4192
8.360002,293.7755,182.5135
8.380002,293.8789,182.6695
8.400002,293.9668,182.8615
8.420003,294.0453,183.0328
8.440003,294.1328,183.224
8.460004,294.2151,183.4037
8.480004,294.3019,183.5934
8.500005,294.3724,183.7688
8.520005,294.446,183.9618
8.540006,294.5137,184.1393
8.560006,294.5532,184.243
8.580007,294.6584,184.5191
8.600007,294.7256,184.6953
8.620008,294.8334,184.8537
8.640008,295.0038,184.9602
8.660008,295.1873,185.075
8.680009,295.3557,185.1802
8.700009,295.5247,185.2859
8.72001,295.6838,185.3853
8.74001,295.8767,185.472
8.760011,296.0593,185.5231
8.780011,296.2578,185.5786
