Time,X,Z
0.02,317,132.6
0.04,316.0259,132.6123
0.06,315.9683,132.6246
0.08,315.8559,132.6485
0.09999999,315.8559,132.6485
0.12,315.7395,132.6733
0.14,315.6939,132.6831
0.16,315.6258,132.6976
0.18,315.5729,132.7089
0.2,315.5077,132.7228
0.22,315.4579,132.7334
0.24,315.3945,132.7469
0.26,315.3405,132.7584
0.28,315.2778,132.7718
0.3,315.2247,132.7831
0.32,315.1659,132.7957
0.34,315.1357,132.8021
0.36,315.048,132.8208
0.38,314.9971,132.8317
0.4,314.9355,132.8448
0.42,314.8767,132.8573
0.4400001,314.8204,132.8693
0.4600001,314.7598,132.8823
0.4800001,314.7083,132.8932
0.5000001,314.6497,132.9057
0.52,314.5914,132.9182
0.54,314.5328,132.9306
0.56,314.4751,132.943
0.58,314.4162,132.9555
0.6,314.3564,132.9622
0.6199999,314.2975,132.9665
0.6399999,314.2591,132.9693
0.6599999,314.1792,132.9753
0.6799999,314.1234,132.9794
0.6999999,314.0634,132.9838
0.7199998,314.0069,132.988
0.7399998,313.9495,132.9922
0.7599998,313.8872,132.9968
0.7799998,313.8299,133.001
0.7999998,313.7696,133.0055
0.8199998,313.7131,133.0097
0.8399997,313.6551,133.014
0.8599997,313.5927,133.0186
0.8799997,313.5362,133.0227
0.8999997,313.4749,133.0273
0.9199997,313.42,133.0313
0.9399996,313.3718,133.0349
0.9599996,313.2999,133.0402
0.9799996,313.2416,133.0445
0.9999996,313.1859,133.0486
1.02,313.1266,133.053
1.04,313.1193,133.0535
1.06,313.1193,133.0535
1.08,312.9589,133.0654
1.1,312.8879,133.0706
1.12,312.8304,133.0749
1.14,312.773,133.0791
1.159999,312.7171,133.0789
1.179999,312.6567,133.0769
1.199999,312.5958,133.0748
1.219999,312.5409,133.0728
1.239999,312.4799,133.0707
1.259999,312.4178,133.0686
1.279999,312.3647,133.0667
1.299999,312.3027,133.0646
1.319999,312.2423,133.0625
1.339999,312.1832,133.0605
1.359999,312.1298,133.0586
1.379999,312.0691,133.0565
1.399999,312.0348,133.0553
1.419999,311.9525,133.0525
1.439999,311.8923,133.0504
1.459999,311.8366,133.0484
1.479999,311.7763,133.0464
1.499999,311.7156,133.0443
1.519999,311.6545,133.0421
1.539999,311.6011,133.0403
1.559999,311.5363,133.038
1.579999,311.483,133.0362
1.599999,311.4231,133.0341
1.619999,311.3609,133.032
1.639999,311.3065,133.0301
1.659999,311.2482,133.0281
1.679999,311.1909,133.0201
1.699999,311.144,133.0027
1.719999,311.0777,132.978
1.739999,311.021,132.9569
1.759999,310.9639,132.9356
1.779999,310.9142,132.9171
1.799999,310.8577,132.8961
1.819999,310.8001,132.8747
1.839999,310.7437,132.8537
1.859999,310.6914,132.8342
1.879999,310.6341,132.8129
1.899999,310.581,132.7931
1.919999,310.5249,132.7722
1.939999,310.4675,132.7509
1.959999,310.4115,132.73
1.979999,310.3613,132.7113
1.999999,310.3049,132.6904
2.019999,310.251,132.6703
2.039999,310.1958,132.6555
2.059999,310.1482,132.6569
2.079999,310.1125,132.6707
2.099999,310.0747,132.7038
2.119999,310.0465,132.7488
2.139999,310.0237,132.8094
2.159999,310.013,132.8519
2.179999,309.9957,132.9734
2.199999,309.9903,133.0801
2.219999,309.9911,133.2037
2.239999,309.9658,133.2622
2.259999,309.9426,133.3104
2.279999,309.9162,133.3651
2.299999,309.89,133.4196
2.319999,309.8651,133.4713
2.339998,309.8357,133.5323
2.359998,309.8127,133.58
2.379998,309.7858,133.6358
2.399998,309.7599,133.6894
2.419998,309.7339,133.7436
2.439998,309.708,133.7974
2.459998,309.6891,133.8366
2.479998,309.6552,133.907
2.499998,309.6284,133.9625
2.519998,309.6025,134.0163
2.539998,309.5794,134.0641
2.559998,309.5516,134.1219
2.579998,309.5281,134.1706
2.599998,309.5002,134.2286
2.619998,309.4749,134.2812
2.639998,309.4476,134.3377
2.659998,309.4214,134.3921
2.679998,309.3972,134.4397
2.699998,309.3632,134.4893
2.719998,309.3284,134.5402
2.739998,309.2947,134.5893
2.759998,309.2651,134.6326
2.779998,309.2275,134.6874
2.799998,309.1933,134.7374
2.819998,309.158,134.7889
2.839998,309.1231,134.8398
2.859998,309.0934,134.8833
2.879998,309.0579,134.935
2.899998,309.0233,134.9856
2.919998,308.9908,135.0331
2.939998,308.9582,135.0806
2.959998,308.9221,135.1333
2.979998,308.8908,135.179
2.999998,308.856,135.2297
3.019998,308.8208,135.2812
3.039998,308.7907,135.3251
3.059998,308.7561,135.3756
3.079998,308.7235,135.4232
3.099998,308.6883,135.4746
3.119998,308.6541,135.5246
3.139998,308.6198,135.5746
3.159998,308.5849,135.6256
3.179998,308.5505,135.6758
3.199998,308.5204,135.7197
3.219998,308.4955,135.7562
3.239998,308.453,135.8181
3.259998,308.4181,135.8692
3.279998,308.3833,135.92
3.299998,308.353,135.9642
3.319998,308.3153,136.0117
3.339998,308.2739,136.0572
3.359998,308.2327,136.1024
3.379997,308.1942,136.1446
3.399997,308.1521,136.1907
3.419997,308.111,136.2359
3.439997,308.0701,136.2807
3.459997,308.0352,136.319
3.479997,307.9948,136.3633
3.499997,307.954,136.4081
3.519997,307.9176,136.448
3.539997,307.8733,136.4966
3.559997,307.8323,136.5416
3.579997,307.7915,136.5864
3.599997,307.7511,136.6306
3.619997,307.7094,136.6764
3.639997,307.674,136.7152
3.659997,307.6324,136.7609
3.679997,307.5941,136.8029
3.699997,307.5529,136.848
3.719997,307.5116,136.8934
3.739997,307.4707,136.9382
3.759997,307.4292,136.9837
3.779997,307.3939,137.0225
3.799997,307.3532,137.0671
3.819997,307.3116,137.1128
3.839997,307.2731,137.1549
3.859997,307.2321,137.1999
3.879997,307.1905,137.2456
3.899997,307.1491,137.2909
3.919997,307.1087,137.3353
3.939997,307.0733,137.3797
3.959997,307.0371,137.4305
3.979997,307.0039,137.4769
3.999997,306.9683,137.5268
4.019997,306.9357,137.5724
4.039997,306.8994,137.6232
4.059997,306.8633,137.6724
4.079997,306.8312,137.7139
4.099997,306.792,137.7617
4.119997,306.7515,137.8083
4.139997,306.7123,137.8509
4.159997,306.6703,137.894
4.179997,306.627,137.9361
4.199997,306.5815,137.9778
4.219997,306.5419,138.0123
4.239997,306.4936,138.052
4.259997,306.4495,138.0959
4.279997,306.425,138.1217
4.299997,306.3676,138.1821
4.319997,306.33,138.2215
4.339997,306.2873,138.2664
4.359997,306.2435,138.3124
4.379997,306.2071,138.3506
4.399997,306.1643,138.3956
4.419997,306.1215,138.4406
4.439997,306.082,138.4821
4.459997,306.0381,138.5282
4.479997,306.0014,138.5667
4.499997,305.9586,138.6117
4.519997,305.9163,138.6561
4.539997,305.8796,138.6947
4.559997,305.8354,138.7411
4.579997,305.8041,138.7741
