Time,Novelty Score
0.596503,0.04994985
1.596511,0.04986472
2.597302,0.04990605
3.59862,0.04993385
4.603487,0.04962826
5.605867,0.04992618
6.606877,0.04980429
7.609057,0.04998974
8.610345,0.04991931
9.611578,0.04993592
10.61399,0.04999737
11.61496,0.04992544
12.61674,0.04996532
13.61712,0.04991221
14.6185,0.04997173
15.62,0.04998452
16.62022,0.04992253
17.62095,0.0494121
18.62164,0.04994293
19.6228,0.04995985
20.62285,0.04991231
21.62414,0.04964713
22.62536,0.04990547
23.62662,0.04989469
24.62805,0.04998386
25.63142,0.04954913
26.63387,0.04997799
27.63499,0.04991862
28.63649,0.0499486
29.63844,0.04996486
30.63894,0.04940318
31.63956,0.04990794
32.64003,0.04989855
33.64094,0.04991934
34.64125,0.04983792
35.64179,0.04989477
36.64283,0.04992493
37.64656,0.04998054
38.65203,0.04966098
39.65348,0.04995028
40.65387,0.0498997
41.6559,0.04993621
42.65707,0.04996109
43.65834,0.04995917
44.65928,0.04994485
45.66005,0.04994323
46.67206,0.04997984
47.67389,0.04999904
48.67533,0.04998185
49.67688,0.04998832
50.67691,0.04991693
51.67749,0.0499401
52.67803,0.04993802
53.6782,0.04991857
54.67997,0.04998101
55.68092,0.04995593
56.68177,0.04995422
57.68248,0.04994592
58.68267,0.04991617
59.68334,0.04990163
60.68634,0.04999114
61.68739,0.0499641
62.68914,0.04999571
63.69065,0.04998809
64.69165,0.04995981
65.69786,0.04968549
66.69827,0.04991449
67.69936,0.04995051
68.70077,0.04997527
69.70164,0.04994801
70.70193,0.04991943
71.70522,0.04999593
72.70582,0.04986987
73.70641,0.04986779
74.7067,0.04992444
75.70684,0.04991676
76.71753,0.04995392
77.71874,0.04997451
78.72039,0.04998744
79.72203,0.04999957
80.72498,0.04998908
81.72521,0.04985754
82.72629,0.0498876
83.72633,0.04984826
84.72784,0.04997859
85.72919,0.04996905
86.73117,0.04999974
87.73164,0.04992126
88.73238,0.04989183
89.73366,0.04996839
90.73559,0.04999893
91.73576,0.04991572
92.736,0.04991767
93.73666,0.04993306
94.73704,0.04992699
95.73864,0.04998146
96.7393,0.04994201
97.7403,0.04995662
98.74203,0.04999641
99.74507,0.04999166
100.7459,0.04989323
101.7459,0.04984584
102.7464,0.04985309
103.7545,0.04976505
104.7553,0.04995472
105.7556,0.04992945
106.7563,0.04994451
107.7579,0.04999147
108.7591,0.04997638
109.7603,0.04995432
110.7613,0.04989174
111.7624,0.04945788
112.7637,0.04995001
113.7665,0.04995515
114.7686,0.04999764
115.7702,0.04996768
116.7722,0.04995261
117.7726,0.04986604
118.7743,0.0499765
119.7746,0.04991124
120.7767,0.04999578
121.7787,0.04998517
122.7799,0.04995067
123.7814,0.04997372
124.7884,0.04976228
125.7903,0.04999766
126.7909,0.04993406
127.7918,0.04994573
128.7917,0.0499081
129.793,0.04996872
130.7939,0.04995155
131.7958,0.04999402
132.7973,0.04949165
133.7985,0.04995835
134.8004,0.04998703
135.8016,0.04995466
136.8049,0.04999965
137.8055,0.04987189
138.8062,0.04986978
139.8069,0.04993119
140.8138,0.04971977
141.8148,0.04996055
142.8154,0.04993407
143.8167,0.04997874
144.8177,0.04995828
145.8177,0.04991417
146.8185,0.04994973
147.8188,0.04991915
148.8218,0.04955509
149.8221,0.04973459
150.8256,0.04999562
151.8272,0.04998616
152.8273,0.0499
153.8289,0.0499783
154.8313,0.04997513
155.8325,0.04995982
156.8345,0.04999866
157.8358,0.04997573
158.8358,0.04990438
159.8362,0.04992379
160.8369,0.04993221
161.8382,0.04994674
162.8392,0.04995679
163.8402,0.0499563
164.8426,0.04999883
165.8454,0.04998362
166.8461,0.04987004
167.847,0.04996194
168.8474,0.04992788
169.848,0.04995014
170.8489,0.04995276
171.8502,0.04997506
172.8565,0.04973906
173.8581,0.04998824
174.8594,0.04997467
175.8602,0.04992103
176.8611,0.04994073
177.8612,0.04991366
178.8624,0.04997013
179.8656,0.04998783
