Time,X,Z
0.02,317,164.4
0.04,317,164.4
0.06,316.8748,164.556
0.08,316.8748,164.556
0.09999999,316.8748,164.556
0.12,316.4099,165.1641
0.14,316.4099,165.1641
0.16,316.2191,165.4277
0.18,316.2191,165.4277
0.2,316.0359,165.6895
0.22,316.0359,165.6895
0.24,315.7641,166.0608
0.26,315.5544,166.301
0.28,315.5544,166.301
0.3,315.3495,166.5282
0.32,315.1616,166.7365
0.34,315.1616,166.7365
0.36,314.9859,166.9313
0.38,314.9859,166.9313
0.4,314.9859,166.9313
0.42,314.9859,166.9313
0.4400001,314.3879,167.6615
0.4600001,314.264,167.8309
0.4800001,314.1529,167.9828
0.5000001,314.0504,168.123
0.52,313.9071,168.3189
0.54,313.7951,168.472
0.56,313.6795,168.63
0.58,313.5908,168.8138
0.6,313.5306,169.0129
0.6199999,313.4756,169.195
0.6399999,313.4155,169.3936
0.6599999,313.3637,169.5651
0.6799999,313.3003,169.7749
0.6999999,313.2462,169.9539
0.7199998,313.1873,170.1488
0.7399998,313.1493,170.3492
0.7599998,313.1394,170.5418
0.7799998,313.1289,170.7479
0.7999998,313.1202,170.9176
0.8199998,313.1085,171.1462
0.8399997,313.0981,171.3498
0.8599997,313.0882,171.5434
0.8799997,313.0776,171.7502
0.8999997,313.0718,171.9554
0.9199997,313.0759,172.1387
0.9399996,313.0804,172.3437
0.9599996,313.0824,172.434
0.9799996,313.0894,172.7452
0.9999996,313.0938,172.9456
1.02,313.0981,173.142
1.04,313.1026,173.3431
1.06,313.1073,173.5438
1.08,313.1151,173.7516
1.1,313.1226,173.9513
1.12,313.1298,174.1421
1.14,313.1372,174.3404
1.159999,313.1448,174.5416
1.179999,313.1526,174.7491
1.199999,313.1602,174.9496
1.219999,313.1675,175.1468
1.239999,313.1706,175.3446
1.259999,313.172,175.4523
1.279999,313.1759,175.7416
1.299999,313.1786,175.9422
1.319999,313.1812,176.1398
1.339999,313.1839,176.3382
1.359999,313.1866,176.5366
1.379999,313.1895,176.7537
1.399999,313.1885,176.9466
1.419999,313.1863,177.1385
1.439999,313.1841,177.3371
1.459999,313.1818,177.5367
1.479999,313.1794,177.7515
1.499999,313.1773,177.9388
1.519999,313.175,178.1422
1.539999,313.1727,178.3416
1.559999,313.1709,178.4826
1.579999,313.166,178.7444
1.599999,313.1622,178.9496
1.619999,313.1585,179.1484
1.639999,313.1548,179.3511
1.659999,313.1511,179.549
1.679999,313.1475,179.7454
1.699999,313.1438,179.9456
1.719999,313.1392,180.1515
1.739999,313.1329,180.3493
1.759999,313.1266,180.5442
1.779999,313.1203,180.7412
1.799999,313.114,180.9371
1.819999,313.1071,181.152
1.839999,313.1011,181.3396
1.859999,313.0954,181.5175
1.879999,313.0882,181.7444
1.899999,313.0547,181.9409
1.919999,313.0214,182.1365
1.939999,312.9873,182.3366
1.959999,312.9545,182.5285
1.979999,312.9215,182.7221
1.999999,312.8858,182.9311
2.019999,312.8543,183.116
2.039999,312.8209,183.312
2.059999,312.7308,183.4991
2.079999,312.6353,183.6717
