Time,Interest Value
0,0
0.5000001,1.13102E-06
0.9999996,1.13102E-06
1.499999,1.13102E-06
1.999999,1.13102E-06
2.499998,1.13102E-06
2.999998,0.1986132
3.499997,1.13102E-06
3.999997,0.1994921
4.499997,0.1981276
4.999996,0.1972105
5.499996,0.1965479
5.999995,0.1989148
6.499995,1.13102E-06
6.999994,1.13102E-06
7.499994,1.13102E-06
7.999993,1.13102E-06
8.500005,1.13102E-06
9.000016,1.13102E-06
9.500028,1.13102E-06
10.00004,1.13102E-06
10.50005,1.13102E-06
11.00006,1.13102E-06
11.50007,1.13102E-06
12.00008,1.13102E-06
12.5001,1.13102E-06
13.00011,1.13102E-06
13.50012,1.13102E-06
14.00013,1.13102E-06
14.50014,1.13102E-06
15.00015,0.1974491
15.50016,1.13102E-06
16.00018,1.13102E-06
16.50019,1.13102E-06
17.0002,1.13102E-06
17.50021,1.13102E-06
18.00022,0.198831
18.50023,1.13102E-06
19.00024,1.13102E-06
19.50026,1.13102E-06
20.00027,1.13102E-06
20.50028,1.13102E-06
21.00029,1.13102E-06
21.5003,1.13102E-06
22.00031,1.13102E-06
22.50032,1.13102E-06
23.00034,1.13102E-06
23.50035,1.13102E-06
24.00036,0.1991099
24.50037,0.1973947
25.00038,0.1966032
25.50039,0.1964588
26.0004,1.13102E-06
26.50042,1.13102E-06
27.00043,0.2002641
27.50044,0.000609942
28.00045,0.000609942
28.50046,0.000609942
29.00047,0.000609942
29.50048,0.000609942
30.0005,0.000609942
30.50051,0.000609942
31.00052,0.000609942
31.50053,0.000609942
32.00054,0.000609942
32.50055,0.000609942
33.00056,0.000609942
33.50058,0.000609942
34.00059,0.000609942
34.5006,0.000609942
35.00061,0.000609942
35.50062,0.000609942
36.00063,0.000609942
36.50064,0.000609942
37.00066,0.000609942
37.50067,0.000609942
38.00068,0.000609942
38.50069,0.000609942
39.0007,0.000609942
39.50071,0.000609942
40.00072,0.000609942
40.50074,0.000609942
41.00075,0.198178
41.50076,8.29282E-09
42.00077,8.29282E-09
42.50078,0.1974081
43.00079,8.29282E-09
43.5008,8.29282E-09
44.00082,8.29282E-09
44.50083,8.29282E-09
45.00084,8.29282E-09
45.50085,8.29282E-09
46.00086,8.29282E-09
46.50087,8.29282E-09
47.00089,8.29282E-09
47.5009,8.29282E-09
48.00091,8.29282E-09
48.50092,8.29282E-09
49.00093,8.29282E-09
49.50094,8.29282E-09
50.00095,0.1998186
50.50097,0.1980545
51.00098,0.1968759
51.50099,0.1989767
52.001,0.1973968
52.50101,0.1968317
53.00102,0.1977565
53.50103,0.1992694
54.00105,8.29282E-09
54.50106,8.29282E-09
55.00107,8.29282E-09
55.50108,8.29282E-09
56.00109,8.29282E-09
56.5011,8.29282E-09
57.00111,8.29282E-09
57.50113,8.29282E-09
58.00114,8.29282E-09
58.50115,8.29282E-09
59.00116,8.29282E-09
59.50117,8.29282E-09
60.00118,8.29282E-09
60.50119,8.29282E-09
61.00121,8.29282E-09
61.50122,8.29282E-09
62.00123,8.29282E-09
62.50124,8.29282E-09
63.00125,8.29282E-09
63.50126,8.29282E-09
64.00127,8.29282E-09
64.50119,8.29282E-09
65.00111,8.29282E-09
65.50102,8.29282E-09
66.00094,8.29282E-09
66.50085,0.1999846
67.00077,8.29282E-09
67.50069,0.1999177
68.0006,0.1990301
68.50052,0.1979779
69.00043,0.1984264
69.50035,0.1993501
70.00027,0.1989038
70.50018,0.1983798
71.0001,0.1982321
71.50002,8.29282E-09
71.99993,8.29282E-09
72.49985,8.29282E-09
72.99976,8.29282E-09
73.49968,8.29282E-09
73.9996,8.29282E-09
74.49951,8.29282E-09
74.99943,0.1989059
75.49934,8.29282E-09
75.99926,0.1990983
76.49918,0.1989886
76.99909,0.1984045
77.49901,0.1984254
77.99892,0.1996072
78.49884,0.1991954
78.99876,0.1988468
79.49867,8.29282E-09
79.99859,8.29282E-09
80.4985,8.29282E-09
80.99842,8.29282E-09
81.49834,8.29282E-09
81.99825,8.29282E-09
82.49817,0.1992591
82.99809,8.29282E-09
83.498,8.29282E-09
83.99792,8.29282E-09
84.49783,8.29282E-09
84.99775,8.29282E-09
85.49767,8.29282E-09
85.99758,8.29282E-09
86.4975,8.29282E-09
86.99741,8.29282E-09
87.49733,8.29282E-09
87.99725,8.29282E-09
88.49716,0.1984518
88.99708,0.1983436
89.49699,0.1981204
89.99691,0.1987387
90.49683,0.2004413
90.99674,0.001211911
91.49666,0.001211911
91.99657,0.001211911
92.49649,0.001211911
92.99641,0.001211911
93.49632,0.001211911
93.99624,0.001211911
94.49615,0.001211911
94.99607,0.1990172
95.49599,0.001211911
95.9959,0.001211911
96.49582,0.001211911
96.99574,0.001211911
97.49565,0.001211911
97.99557,0.001211911
98.49548,0.001211911
98.9954,0.001211911
99.49532,0.001211911
99.99523,0.001211911
100.4951,0.001211911
100.9951,0.001211911
101.495,0.001211911
101.9949,0.001211911
102.4948,0.001211911
102.9947,0.1997314
103.4946,0.1983525
103.9946,0.198495
104.4945,0.1998702
104.9944,0.001211911
105.4943,0.001211911
105.9942,0.001211911
106.4941,0.001211911
106.9941,0.001211911
107.494,0.001211911
107.9939,0.001211911
108.4938,0.001211911
108.9937,0.001211911
109.4936,0.001211911
109.9936,0.001211911
110.4935,0.001211911
110.9934,0.001211911
111.4933,0.001211911
111.9932,0.001211911
112.4931,0.001211911
112.993,0.001211911
113.493,0.001211911
113.9929,0.001211911
114.4928,0.001211911
114.9927,0.001211911
115.4926,0.001211911
115.9925,0.001211911
116.4925,0.001211911
116.9924,0.001211911
117.4923,0.001211911
117.9922,0.001211911
118.4921,0.1966154
118.992,0
119.492,0
119.9919,0
120.4918,0
120.9917,0
121.4916,0
121.9915,0
122.4915,0
122.9914,0
123.4913,0
123.9912,0
124.4911,0
124.991,0
125.491,0
125.9909,0
126.4908,0
126.9907,0
127.4906,0
127.9905,0.1992568
128.4906,0.198616
128.9907,0.1983192
129.4908,0.1981736
129.991,0.1995621
130.4911,0.198573
130.9912,0.1987085
131.4913,0
131.9914,0
132.4915,0
132.9916,0
133.4917,0
133.9918,0
134.4919,0
134.992,0
135.4921,0
135.9922,0
136.4923,0
136.9924,0
137.4926,0
137.9927,0
138.4928,0
138.9929,0
139.493,0.1993392
139.9931,0.1993418
140.4932,0
140.9933,0
141.4934,0
141.9935,0
142.4936,0
142.9937,0
143.4938,0
143.9939,0
144.494,0
144.9942,0
145.4943,0.1996825
145.9944,0.1979117
146.4945,0.1968179
146.9946,0.1988387
147.4947,0
147.9948,0
148.4949,0
148.995,0
149.4951,0
149.9952,0
150.4953,0
150.9954,0.1996141
151.4955,0.0001806326
151.9957,0.0001806326
152.4958,0.0001806326
152.9959,0.0001806326
153.496,0.0001806326
153.9961,0.2000166
154.4962,0.0011278
154.9963,0.0011278
155.4964,0.0011278
155.9965,0.0011278
156.4966,0.0011278
156.9967,0.0011278
157.4968,0.0011278
157.9969,0.0011278
158.497,0.0011278
158.9971,0.0011278
159.4973,0.0011278
159.9974,0.0011278
160.4975,0.0011278
160.9976,0.0011278
161.4977,0.0011278
161.9978,0.0011278
162.4979,0.0011278
162.998,0.0011278
163.4981,0.0011278
163.9982,0.0011278
164.4983,0.0011278
164.9984,0.0011278
165.4985,0.0011278
165.9986,0.0011278
166.4987,0.0011278
166.9989,0.0011278
167.499,0.2000015
167.9991,5.470748E-07
168.4992,5.470748E-07
168.9993,5.470748E-07
169.4994,5.470748E-07
169.9995,5.470748E-07
170.4996,5.470748E-07
170.9997,5.470748E-07
171.4998,5.470748E-07
171.9999,5.470748E-07
172.5,5.470748E-07
173.0001,5.470748E-07
173.5002,5.470748E-07
174.0004,5.470748E-07
174.5005,5.470748E-07
175.0006,5.470748E-07
175.5007,5.470748E-07
176.0008,0.2000046
176.5009,1.923076E-06
177.001,1.923076E-06
177.5011,1.923076E-06
178.0012,1.923076E-06
178.5013,1.923076E-06
179.0014,1.923076E-06
179.5015,1.923076E-06
180.0016,1.923076E-06
