Time,Novelty Score
0.65832,0.0499806
1.6598,0.2499526
2.659849,0.2495146
3.660517,0.1996502
4.662009,0.1996602
5.672996,0.1998067
6.675112,0.1999791
7.675196,0.3996064
8.676065,0.2996574
9.677701,0.2998897
10.67882,0.2997083
11.67886,0.2992019
12.68095,0.2995431
13.6828,0.2996629
14.68375,0.3994171
15.69283,0.348458
16.69548,0.3499181
17.69739,0.3496389
18.69836,0.3493252
19.69912,0.349326
20.7006,0.3495516
21.70288,0.3498104
22.70413,0.3494528
23.70887,0.3498883
24.71166,0.3499792
25.71371,0.3498359
26.71418,0.3492851
27.71613,0.3497635
28.71715,0.349451
29.71787,0.3494495
30.72023,0.3496302
31.72186,0.3497084
32.72392,0.3498555
33.73733,0.3493423
34.73756,0.3492825
35.73829,0.3494837
36.73965,0.2996993
37.7403,0.2495876
38.74215,0.2499062
39.74303,0.2496838
40.74775,0.2499433
41.74825,0.2488085
42.74986,0.249624
43.75109,0.2489158
44.75232,0.2497475
45.75351,0.2495483
46.7538,0.2494921
47.75672,0.2499944
48.75707,0.2494118
49.75721,0.2493263
50.7584,0.249663
51.76587,0.2488793
52.76612,0.2489789
53.76794,0.1994961
54.76801,0.1995821
55.76886,0.1498086
56.77024,0.09990884
57.77211,0.1999522
58.77304,0.3497992
59.77514,0.2499224
60.77716,0.2499575
61.77763,0.2495556
62.77929,0.2498745
63.77933,0.1995803
64.78653,0.1990831
65.78687,0.1992374
66.78819,0.09990758
67.7891,0.04994129
68.79092,0.04998918
69.79202,0.04995457
70.79217,0.04990673
71.79417,0.04999935
72.79528,0.04995434
73.79677,0.04997456
74.797,0.04987526
75.7999,0.04995553
76.80111,0.0499301
77.80132,0.1498804
78.80312,0.1999063
79.80532,0.2484673
80.80729,0.1994252
81.80995,0.1999558
82.81113,0.2997183
83.814,0.2497981
84.81735,0.2495689
85.81952,0.3498819
86.82002,0.2993748
87.82092,0.3995044
88.82211,0.3491879
89.82351,0.3495718
90.82728,0.3496279
91.82764,0.3484686
92.82771,0.3483881
93.8289,0.3495487
94.83226,0.2972864
95.83324,0.2496184
96.83337,0.2492322
97.83541,0.2497928
98.83657,0.2496905
99.84149,0.2482367
100.8416,0.3494247
101.8427,0.3996605
102.847,0.3498955
103.8481,0.3488347
104.8495,0.3496366
105.8504,0.3496312
106.8508,0.3493194
107.851,0.3491105
108.8521,0.3494985
109.8562,0.3497806
110.8576,0.2997444
111.8596,0.2999083
112.8598,0.2494439
113.861,0.2497276
114.8623,0.2497918
115.8634,0.2497305
116.8682,0.2498776
117.8808,0.2499566
118.8819,0.2494862
119.8829,0.2491008
120.887,0.2499495
121.8957,0.2499749
122.8964,0.2489029
123.8966,0.2495395
124.8985,0.2499463
125.8992,0.2496635
126.9001,0.2497306
127.9016,0.2498063
128.902,0.2495915
129.9042,0.2497949
130.9169,0.2496882
131.9185,0.2499165
132.919,0.2496423
133.9198,0.2496842
134.9205,0.2496131
135.9226,0.2499069
136.9269,0.2499065
137.929,0.2498799
138.9309,0.2496826
139.9315,0.2495932
140.9339,0.2498243
141.9358,0.2499203
142.938,0.2497943
143.9446,0.2486387
144.9476,0.249656
145.9482,0.2496128
146.9488,0.2487098
147.951,0.249917
148.9528,0.2472492
149.954,0.2496372
150.9549,0.249525
151.9553,0.2493713
152.9579,0.249941
153.9597,0.2491724
154.9606,0.249403
155.9619,0.249786
156.9632,0.2497214
157.9671,0.2497931
158.968,0.2492005
159.9685,0.2489485
160.9688,0.248936
161.9707,0.2499196
162.9707,0.2495183
163.9707,0.2495223
164.9712,0.2496144
165.9717,0.2495957
166.9805,0.2490973
167.9809,0.2491472
168.9858,0.2495634
169.9888,0.2494179
170.9895,0.2496603
171.9908,0.2498004
172.9917,0.2497117
173.993,0.249835
174.9952,0.2499828
175.9964,0.2497695
176.9964,0.2495156
177.9981,0.2497364
178.9987,0.2494468
179.9995,0.2492288
