Time,X,Z
0.02,48.45663,280.696
0.04,48.45663,280.696
0.06,48.70987,280.3204
0.08,48.83072,280.1411
0.09999999,48.88677,280.058
0.12,48.96872,279.9365
0.14,49.13142,279.6951
0.16,49.24957,279.5199
0.18,49.37735,279.3304
0.2,49.49704,279.1521
0.22,49.54614,279.0476
0.24,49.65291,278.8205
0.26,49.74345,278.6279
0.28,49.8351,278.433
0.3,49.8786,278.3405
0.32,50.02139,278.0367
0.34,50.06453,277.9449
0.36,50.16198,277.7377
0.38,50.25575,277.5382
0.4,50.30827,277.3293
0.42,50.35273,277.1103
0.4400001,50.39555,276.8994
0.4600001,50.43469,276.7066
0.4800001,50.45817,276.5909
0.5000001,50.5043,276.3637
0.52,50.5493,276.142
0.54,50.57158,276.0323
0.56,50.61296,275.7971
0.58,50.62408,275.581
0.6,50.6353,275.363
0.6199999,50.64532,275.1683
0.6399999,50.65772,274.9273
0.6599999,50.66289,274.8269
0.6799999,50.67495,274.5925
0.6999999,50.68611,274.3756
0.7199998,50.69584,274.1598
0.7399998,50.69586,273.9418
0.7599998,50.69587,273.8311
0.7799998,50.69588,273.6155
0.7999998,50.69589,273.3832
0.8199998,50.6959,273.1657
0.8399997,50.69592,272.9506
0.8599997,50.69593,272.7262
0.8799997,50.69594,272.6255
0.8999997,50.69111,272.3941
0.9199997,50.68785,272.2936
0.9399996,50.6772,271.9661
0.9599996,50.6703,271.7536
0.9799996,50.66303,271.5299
0.9999996,50.65982,271.431
1.02,50.65224,271.1978
1.04,50.64518,270.9804
1.06,50.63808,270.765
1.08,50.63146,270.5658
1.1,50.62354,270.3275
1.12,50.62027,270.2289
1.14,50.61256,269.9966
1.159999,50.60546,269.783
1.179999,50.5983,269.5674
1.199999,50.59084,269.3427
1.219999,50.58809,269.2413
1.239999,50.58524,269.0284
1.259999,50.58216,268.798
1.279999,50.57928,268.5833
1.299999,50.57644,268.3709
1.319999,50.57343,268.1459
1.339999,50.57051,267.9284
1.359999,50.56917,267.8282
1.379999,50.56753,267.706
1.399999,50.56898,267.3771
1.419999,50.57101,267.1648
1.439999,50.57315,266.9394
1.459999,50.5752,266.7248
1.479999,50.57612,266.6276
1.499999,50.5783,266.3986
1.519999,50.58039,266.179
1.539999,50.58253,265.9731
1.559999,50.58762,265.7434
1.579999,50.59,265.636
1.599999,50.59516,265.4031
1.619999,50.59991,265.189
1.639999,50.60487,264.9654
1.659999,50.60966,264.7491
1.679999,50.61196,264.6454
1.699999,50.61668,264.4323
1.719999,50.62099,264.2049
1.739999,50.62457,263.9898
1.759999,50.62829,263.7659
1.779999,50.63189,263.5493
1.799999,50.6355,263.332
1.819999,50.63715,263.2328
1.839999,50.6391,263.1156
1.859999,50.64474,262.7759
1.879999,50.64388,262.5572
1.899999,50.63984,262.3439
1.919999,50.63584,262.1319
1.939999,50.63395,262.0319
1.959999,50.62938,261.7905
1.979999,50.62512,261.5652
1.999999,50.62144,261.3701
2.019999,50.617,261.1357
2.039999,50.61514,261.0369
2.059999,50.61254,260.8073
2.079999,50.6101,260.5804
2.099999,50.60777,260.3628
2.119999,50.60545,260.1471
2.139999,50.60437,260.0457
2.159999,50.60209,259.834
2.179999,50.59963,259.6048
2.199999,50.59724,259.3814
2.219999,50.62038,259.1686
2.239999,50.64995,258.954
2.259999,50.67904,258.7428
2.279999,50.69305,258.6412
2.299999,50.70903,258.5252
2.319999,50.75441,258.1958
2.339998,50.7834,257.9854
2.359998,50.81237,257.7752
2.379998,50.85325,257.5614
2.399998,50.90709,257.3524
2.419998,50.93467,257.2454
2.439998,50.99257,257.0207
2.459998,51.041,256.8326
2.479998,51.09899,256.6075
2.499998,51.15344,256.3962
2.519998,51.17811,256.3004
2.539998,51.23879,256.0649
2.559998,51.28423,255.8541
2.579998,51.32341,255.6417
2.599998,51.3417,255.5426
2.619998,51.40145,255.2187
2.639998,51.42152,255.1099
2.659998,51.46336,254.8831
2.679998,51.50262,254.6703
2.699998,51.54205,254.4566
2.719998,51.58097,254.2457
2.739998,51.58891,254.139
2.759998,51.59731,254.0129
2.779998,51.61927,253.6834
2.799998,51.63354,253.4694
2.819998,51.6481,253.2509
2.839998,51.66243,253.0358
2.859998,51.66903,252.9369
2.879998,51.6851,252.6958
2.899998,51.69959,252.4783
2.919998,51.70552,252.2812
2.939998,51.7067,252.0483
2.959998,51.70781,251.8284
2.979998,51.70831,251.7296
2.999998,51.70951,251.4925
3.019998,51.71062,251.2736
3.039998,51.71171,251.0583
3.059998,51.71222,250.9573
3.079998,51.7133,250.7435
3.099998,51.71451,250.5047
3.119998,51.7157,250.2864
3.139998,51.7169,250.0689
3.159998,51.71809,249.8524
3.179998,51.7193,249.6331
3.199998,51.71985,249.533
3.219998,51.72056,249.4046
3.239998,51.72239,249.0731
3.259998,51.72358,248.8564
3.279998,51.72477,248.6418
3.299998,51.73172,248.5433
3.319998,51.77356,248.3096
3.339998,51.81216,248.094
3.359998,51.85008,247.8822
3.379997,51.88485,247.6881
3.399997,51.92554,247.4608
3.419997,51.94308,247.3629
3.439997,51.9856,247.1254
3.459997,52.02345,246.914
3.479997,52.10362,246.712
3.499997,52.20767,246.5255
3.519997,52.25626,246.4383
3.539997,52.36495,246.2434
3.559997,52.47978,246.0375
3.579997,52.58767,245.844
3.599997,52.69254,245.656
3.619997,52.80088,245.4617
3.639997,52.84968,245.3742
3.659997,52.99926,245.1869
3.679997,53.06647,245.1104
3.699997,53.28402,244.8628
3.719997,53.42753,244.6994
3.739997,53.49499,244.6226
3.759997,53.65389,244.4417
3.779997,53.79764,244.2781
3.799997,53.9458,244.1094
3.819997,54.09377,243.9491
3.839997,54.24483,243.8161
3.859997,54.33214,243.7393
3.879997,54.51924,243.5746
3.899997,54.68283,243.4306
3.919997,54.84667,243.2864
3.939997,54.92215,243.22
3.959997,55.09928,243.0641
3.979997,55.2743,242.91
3.999997,55.42835,242.7854
4.019997,55.63993,242.6877
4.039997,55.73307,242.6447
4.059997,55.94413,242.5471
4.079997,56.15091,242.4516
4.099997,56.34923,242.3599
4.119997,56.54581,242.2691
4.139997,56.63805,242.2265
4.159997,56.83185,242.1369
4.179997,57.05642,242.0895
4.199997,57.28119,242.0642
4.219997,57.4959,242.0399
4.239997,57.71247,242.0155
4.259997,57.81269,242.0042
4.279997,58.04612,241.9779
4.299997,58.15021,241.9661
4.319997,58.49509,241.9272
4.339997,58.59965,241.9243
4.359997,58.83616,241.9207
4.379997,59.05388,241.9173
4.399997,59.27119,241.914
4.419997,59.50274,241.9104
4.439997,59.60491,241.9088
4.459997,59.72451,241.907
4.479997,60.0588,241.9018
4.499997,60.2798,241.8976
4.519997,60.38089,241.8954
4.539997,60.63044,241.8898
4.559997,60.84746,241.885
4.579997,61.06817,241.8801
4.599997,61.28902,241.8752
4.619997,61.48647,241.8708
4.639997,61.61155,241.8681
4.659997,61.84863,241.8628
4.679996,62.06938,241.8579
4.699996,62.28832,241.8531
4.719996,62.50817,241.8482
4.739996,62.61981,241.8457
4.759996,62.8567,241.8405
4.779996,63.0599,241.836
4.799996,63.29587,241.8307
4.819996,63.39677,241.8285
4.839996,63.64156,241.8258
4.859996,63.86163,241.824
4.879996,64.08113,241.8223
4.899996,64.299,241.8206
4.919996,64.40201,241.8198
4.939996,64.61262,241.8182
4.959996,64.85421,241.8163
4.979996,65.06991,241.8146
4.999996,65.28839,241.8175
5.019996,65.38934,241.8192
5.039996,65.6303,241.8232
5.059996,65.85556,241.827
5.079996,65.96298,241.8288
5.099996,66.29318,241.8344
5.119996,66.3927,241.836
5.139996,66.62425,241.8399
5.159996,66.84453,241.8453
5.179996,67.07292,241.8529
5.199996,67.28883,241.8601
5.219996,67.50815,241.8674
5.239996,67.70639,241.8739
5.259996,67.82261,241.8778
5.279996,68.06632,241.8859
5.299996,68.28622,241.8932
5.319996,68.5069,241.9
5.339996,68.6121,241.903
5.359996,68.84667,241.9099
5.379996,69.07887,241.9166
5.399996,69.27676,241.9224
5.419996,69.39507,241.9258
5.439996,69.6265,241.9325
5.459996,69.84543,241.9389
5.479996,70.06258,241.9436
5.499996,70.28978,241.9432
5.519996,70.38927,241.9431
5.539996,70.62856,241.9426
5.559996,70.8239,241.9423
5.579996,71.05613,241.9419
5.599996,71.28485,241.9415
5.619996,71.50067,241.9411
5.639996,71.60264,241.9409
5.659996,71.83601,241.9368
5.679996,72.05556,241.932
5.699996,72.15688,241.9297
5.719995,72.49558,241.9222
5.739995,72.59512,241.92
5.759995,72.82781,241.9148
5.779995,73.04574,241.91
5.799995,73.26213,241.9052
5.819995,73.48634,241.9002
5.839995,73.59044,241.8979
5.859995,73.70705,241.8953
5.879995,74.03639,241.888
5.899995,74.25227,241.8833
5.919995,74.46999,241.8784
5.939995,74.69817,241.8734
5.959995,74.7983,241.8711
